## 1
## LH에 따르면 임대조건은 임대보증금 5000만 원, 월임대료 48만 원이다.
## <LH:ORG>에 따르면 임대조건은 임대보증금 <5000만 원:MNY>, 월임대료 <48만 원:MNY>이다.
LH	LH	SL	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
임대	임대	NNG	O
조건	조건	NNG	O
은	은	JX	O
_	_	_	O
임대	임대	NNG	O
보증금	보증금	NNG	O
_	_	_	O
5000	5000	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
월	월	NNG	O
임대료	임대료	NNG	O
_	_	_	O
48	48	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 중국에 있는 북한탈출자들의 처리문제에 대해 한장관은 『우선적으로 시베리아 벌목공 처리 문제가 진행되고 있다』며 『중국에서는 아직 러시아에서와 같은 귀순 요청이 없기 때문에 탈북자들의 귀순을 받아들일 계획이 없다』고 덧붙였다.
## <중국:ORG>에 있는 <북한:ORG>탈출자들의 처리문제에 대해 한장관은 『우선적으로 <시베리아:LOC> 벌목공 처리 문제가 진행되고 있다』며 『<중국:ORG>에서는 아직 <러시아:ORG>에서와 같은 귀순 요청이 없기 때문에 탈북자들의 귀순을 받아들일 계획이 없다』고 덧붙였다.
중국	중국	NNP	B-ORG
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
북한	북한	NNP	B-ORG
탈출	탈출	NNG	O
자	자	XSN	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
처리	처리	NNG	O
문제	문제	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
한	한	NNP	O
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
『	『	SS	O
우선적	우선적	NNG	O
으로	으로	JKB	O
_	_	_	O
시베리아	시베리아	NNP	B-LOC
_	_	_	O
벌목공	벌목공	NNG	O
_	_	_	O
처리	처리	NNG	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
진행되	진행되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
』	』	SS	O
며	며	EC	O
_	_	_	O
『	『	SS	O
중국	중국	NNP	B-ORG
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
아직	아직	MAG	O
_	_	_	O
러시아	러시아	NNP	B-ORG
에서	에서	JKB	O
와	와	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
귀순	귀순	NNG	O
_	_	_	O
요청	요청	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
탈북자	탈북자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
귀순	귀순	NNG	O
을	을	JKO	O
_	_	_	O
받아들일	받아들이+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 폭로 전문 사이트 위키리크스가 지난달 21일부터 2일까지 26차례에 걸쳐 폭로한 포데스타의 e메일은 총 4만3000여 건에 이른다.
## 폭로 전문 사이트 <위키리크스:ORG>가 지난달 <21일부터 2일:DUR>까지 <26차례:NOH>에 걸쳐 폭로한 <포데스타:PER>의 e메일은 총 <4만3000여 건:NOH>에 이른다.
폭로	폭로	NNG	O
_	_	_	O
전문	전문	NNG	O
_	_	_	O
사이트	사이트	NNG	O
_	_	_	O
위키리크스	위키리크스	NNG	B-ORG
가	가	JKS	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
21	21	SN	B-DUR
일	일	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
2	2	SN	I-DUR
일	일	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
26	26	SN	B-NOH
차례	차례	NNG	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
폭로한	폭로하+ㄴ	VV+ETM	O
_	_	_	O
포데스타	포데스타	NNP	B-PER
의	의	JKG	O
_	_	_	O
e	e	SL	O
메일	메일	NNG	O
은	은	JX	O
_	_	_	O
총	총	MM	O
_	_	_	O
4	4	SN	B-NOH
만	만	NR	I-NOH
3000	3000	SN	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
건	건	NNB	I-NOH
에	에	JKB	O
_	_	_	O
이른다	이르+ㄴ다	VV+EF	O
.	.	SF	O

## 4
