## 1
## 선생은 또다시 부인회 간부 42명과 함께 체포됐다.
## 선생은 또다시 부인회 간부 <42명:NOH>과 함께 체포됐다.
선생	선생	NNG	O
은	은	JX	O
_	_	_	O
또다시	또다시	MAG	O
_	_	_	O
부인회	부인회	NNG	O
_	_	_	O
간부	간부	NNG	O
_	_	_	O
42	42	SN	B-NOH
명	명	NNB	I-NOH
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
체포	체포되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편 아이유와 박명수의 '레옹'은 음원 공개 이후 15분 만에 각종 음원차트 1위를 차지하는 기염을 토했다.
## 한편 <아이유:PER>와 <박명수:PER>의 '<레옹:POH>'은 음원 공개 이후 <15분 만:NOH>에 각종 음원차트 <1위:NOH>를 차지하는 기염을 토했다.
한편	한편	MAG	O
_	_	_	O
아이유	아이유	NNP	B-PER
와	와	JC	O
_	_	_	O
박명수	박명수	NNP	B-PER
의	의	JKG	O
_	_	_	O
'	'	SS	O
레옹	레옹	NNP	B-POH
'	'	SS	O
은	은	JX	O
_	_	_	O
음원	음원	NNG	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
15	15	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	I-NOH
만	만	NNB	I-NOH
에	에	JKB	O
_	_	_	O
각종	각종	NNG	O
_	_	_	O
음원	음원	NNG	O
차트	차트	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지하	차지하	VV	O
는	는	ETM	O
_	_	_	O
기염	기염	NNG	O
을	을	JKO	O
_	_	_	O
토	토하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 가장 큰 변수는 호남이다.
## 가장 큰 변수는 <호남:LOC>이다.
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
변수	변수	NNG	O
는	는	JX	O
_	_	_	O
호남	호남	NNP	B-LOC
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 25일 JYP 엔터테인먼트 측은 공식 트위터를 통해 “미쓰에이 7집 앨범 ‘컬러스’ 티저 이미지, 미쓰에이 컬러스 수지”라는 글과 함께 수지의 티저 이미지 여러 장을 올렸다.
## <25일:DAT> <JYP 엔터테인먼트:ORG> 측은 공식 <트위터:POH>를 통해 “<미쓰에이:ORG> <7집:NOH> 앨범 ‘<컬러스:POH>’ 티저 이미지, <미쓰에이:ORG> <컬러스:POH> <수지:PER>”라는 글과 함께 <수지:PER>의 티저 <이미지:PER> 여러 장을 올렸다.
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
JYP	JYP	SL	B-ORG
_	_	_	I-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
_	_	_	O
측	측	NNB	O
