## 1
## 전날까지 이글 1개에 버디 13개, 보기는 단 2개 밖에 하지 않았던 그는 최종라운드 13번홀까지 버디 1개에 보기를 2개나 기록하면서 1타를 잃고 있었다.
## 전날까지 이글 <1개:NOH>에 버디 <13개:NOH>, 보기는 단 <2개:NOH> 밖에 하지 않았던 그는 최종라운드 <13번홀:NOH>까지 버디 <1개:NOH>에 보기를 <2개:NOH>나 기록하면서 <1타:NOH>를 잃고 있었다.
전날	전날	NNG	O
까지	까지	JX	O
_	_	_	O
이글	이글	NNG	O
_	_	_	O
1	1	SN	B-NOH
개	개	NNB	I-NOH
에	에	JKB	O
_	_	_	O
버디	버디	NNG	O
_	_	_	O
13	13	SN	B-NOH
개	개	NNB	I-NOH
,	,	SP	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
는	는	JX	O
_	_	_	O
단	단	MAG	O
_	_	_	O
2	2	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
밖에	밖에	JX	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
최종	최종	NNG	O
라운드	라운드	NNG	O
_	_	_	O
13	13	SN	B-NOH
번	번	NNB	I-NOH
홀	홀	NNG	I-NOH
까지	까지	JX	O
_	_	_	O
버디	버디	NNG	O
_	_	_	O
1	1	SN	B-NOH
개	개	NNB	I-NOH
에	에	JKB	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
를	를	JKO	O
_	_	_	O
2	2	SN	B-NOH
개	개	NNB	I-NOH
나	나	JX	O
_	_	_	O
기록하	기록하	VV	O
면서	면서	EC	O
_	_	_	O
1	1	SN	B-NOH
타	타	NNG	I-NOH
를	를	JKO	O
_	_	_	O
잃	잃	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이 구간은 4년간 잦은 교통사고로 20명이 사망하는 등 지난해 기준 전국 고속도로 사망 건수보다 1.9배 많았다.
## 이 구간은 <4년간:DUR> 잦은 교통사고로 <20명:NOH>이 사망하는 등 지난해 기준 전국 고속도로 사망 건수보다 <1.9배:PNT> 많았다.
이	이	MM	O
_	_	_	O
구간	구간	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
잦	잦	VA	O
은	은	ETM	O
_	_	_	O
교통사고	교통사고	NNG	O
로	로	JKB	O
_	_	_	O
20	20	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
사망하	사망하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
기준	기준	NNG	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
고속도로	고속도로	NNG	O
_	_	_	O
사망	사망	NNG	O
_	_	_	O
건수	건수	NNG	O
보다	보다	JKB	O
_	_	_	O
1.9	1.9	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이때 2005년 부산에서 아시아태평양경제협력체(APEC) 회의가 열리면서 길이 열렸다.
## 이때 <2005년:DAT> <부산:LOC>에서 <아시아태평양경제협력체:ORG>(<APEC:ORG>) 회의가 열리면서 길이 열렸다.
이때	이때	NNG	O
_	_	_	O
2005	2005	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
부산	부산	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
아시아	아시아	NNP	B-ORG
태평양	태평양	NNP	I-ORG
경제	경제	NNG	I-ORG
협력체	협력체	NNG	I-ORG
(	(	SS	O
APEC	APEC	SL	B-ORG
)	)	SS	O
_	_	_	O
회의	회의	NNG	O
가	가	JKS	O
_	_	_	O
열리	열리	VV	O
면서	면서	EC	O
_	_	_	O
길	길	NNG	O
이	이	JKS	O
_	_	_	O
열	열리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 안 지사는 이날 “‘인서울’이 아니면 ‘루저’가 되는 촌스러운 대한민국을 바꾸자”라며 자치 분권의 중요성을 거듭 강조했다.
