## 1
## 각 기업의 성격, 연령, 목적에 맞게 프로그램을 추천해주고 관리하는 것이죠. 실제로 프로그램에 참여했던 GWP(Great Work Place) 담당자는 “일상에서 벗어나 미술에서 주는 심적으로 힐링의 시간이었고 그룹장과 직원들이 이런 GWP 행사는 처음이었다고 한다”고 전했습니다.
## 각 기업의 성격, 연령, 목적에 맞게 프로그램을 추천해주고 관리하는 것이죠. 실제로 프로그램에 참여했던 <GWP:POH>(<Great Work Place:POH>) 담당자는 “일상에서 벗어나 미술에서 주는 심적으로 힐링의 시간이었고 그룹장과 직원들이 이런 <GWP:POH> 행사는 처음이었다고 한다”고 전했습니다.
각	각	MM	O
_	_	_	O
기업	기업	NNG	O
의	의	JKG	O
_	_	_	O
성격	성격	NNG	O
,	,	SP	O
_	_	_	O
연령	연령	NNG	O
,	,	SP	O
_	_	_	O
목적	목적	NNG	O
에	에	JKB	O
_	_	_	O
맞	맞	VV	O
게	게	EC	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
추천해	추천하+여	VV+EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
관리하	관리하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
실제로	실제로	MAG	O
_	_	_	O
프로그램	프로그램	NNG	O
에	에	JKB	O
_	_	_	O
참여	참여하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
GWP	GWP	SL	B-POH
(	(	SS	O
Great	Great	SL	B-POH
_	_	_	I-POH
Work	Work	SL	I-POH
_	_	_	I-POH
Place	Place	SL	I-POH
)	)	SS	O
_	_	_	O
담당자	담당자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
일상	일상	NNG	O
에서	에서	JKB	O
_	_	_	O
벗어나	벗어나+아	VV+EC	O
_	_	_	O
미술	미술	NNG	O
에서	에서	JKB	O
_	_	_	O
주	주	VV	O
는	는	ETM	O
_	_	_	O
심적	심적	NNG	O
으로	으로	JKB	O
_	_	_	O
힐링	힐링	NNG	O
의	의	JKG	O
_	_	_	O
시간	시간	NNG	O
이	이	VCP	O
었	었	EP	O
고	고	EC	O
_	_	_	O
그룹	그룹	NNG	O
장	장	XSN	O
과	과	JC	O
_	_	_	O
직원	직원	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
GWP	GWP	SL	B-POH
_	_	_	O
행사	행사	NNG	O
는	는	JX	O
_	_	_	O
처음	처음	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EC	O
고	고	JKQ	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 2
## NBA 스테픈 커리 ‘만장일치 MVP’ 새 역사 쓰다
## <NBA:ORG> <스테픈 커리:PER> ‘만장일치 MVP’ 새 역사 쓰다
NBA	NBA	SL	B-ORG
_	_	_	O
스테픈	스테픈	NNP	B-PER
_	_	_	I-PER
커리	커리	NNP	I-PER
_	_	_	O
‘	‘	SS	O
만장일치	만장일치	NNG	O
_	_	_	O
MVP	MVP	SL	O
’	’	SS	O
_	_	_	O
새	새	MM	O
_	_	_	O
역사	역사	NNG	O
_	_	_	O
쓰	쓰	VV	O
다	다	EF	O

## 3
## 그러니 J여사가 사교계에서 ‘얄미운 X’이란 질시를 한 몸에 받지 않겠는가.J여사는 중년에 접어들었어도 여전히 ‘쭉쭉 빵빵’이다.
## 그러니 <J:PER>여사가 사교계에서 ‘얄미운 X’이란 질시를 한 몸에 받지 않겠는가.<J:PER>여사는 중년에 접어들었어도 여전히 ‘쭉쭉 빵빵’이다.
그러	그러	VV	O
니	니	EC	O
_	_	_	O
J	J	SL	B-PER
여사	여사	NNG	O
가	가	JKS	O
_	_	_	O
사교계	사교계	NNG	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
얄미	얄밉	VA	O
운	ㄴ	ETM	O
_	_	_	O
X	X	SL	O
’	’	SS	O
이	이	VCP	O
란	란	ETM	O
_	_	_	O
질시	질시	NNG	O
를	를	JKO	O
_	_	_	O
한	한	MM	O
_	_	_	O
몸	몸	NNG	O
에	에	JKB	O
_	_	_	O
받	받	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
겠	겠	EP	O
는가	는가	EF	O
.	.	SF	O
J	J	SL	B-PER
여사	여사	NNG	O
는	는	JX	O
_	_	_	O
중년	중년	NNG	O
에	에	JKB	O
_	_	_	O
접어들	접어들	VV	O
었	었	EP	O
어도	어도	EC	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
‘	‘	SS	O
쭉쭉	쭉쭉	MAG	O
_	_	_	O
빵빵	빵빵	MAG	O
’	’	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 엄마들의 육아카페에는 유치원 추첨을 놓고 “한국을 떠나고 싶다”는 분노의 글이 넘치고 있다.
## 엄마들의 육아카페에는 유치원 추첨을 놓고 “<한국:ORG>을 떠나고 싶다”는 분노의 글이 넘치고 있다.
엄마	엄마	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
육아	육아	NNG	O
카페	카페	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
유치원	유치원	NNG	O
_	_	_	O
추첨	추첨	NNG	O
을	을	JKO	O
_	_	_	O
놓	놓	VV	O
고	고	EC	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
떠나	떠나	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
분노	분노	NNG	O
의	의	JKG	O
_	_	_	O
글	글	NNG	O
이	이	JKS	O
_	_	_	O
넘치	넘치	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
