## 1
## 지하 1층∼지상 28층, 전용면적 74∼84m², 18개 동, 1520채 규모다.
## 지하 <1층:NOH>∼지상 <28층:NOH>, 전용면적 <74:NOH>∼<84m²:NOH>, <18개:NOH> 동, <1520채:NOH> 규모다.
지하	지하	NNG	O
_	_	_	O
1	1	SN	B-NOH
층	층	NNG	I-NOH
∼	∼	SO	O
지상	지상	NNG	O
_	_	_	O
28	28	SN	B-NOH
층	층	NNG	I-NOH
,	,	SP	O
_	_	_	O
전용면적	전용면적	NNG	O
_	_	_	O
74	74	SN	B-NOH
∼	∼	SO	O
84	84	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
,	,	SP	O
_	_	_	O
18	18	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
동	동	NNG	O
,	,	SP	O
_	_	_	O
1520	1520	SN	B-NOH
채	채	NNB	I-NOH
_	_	_	O
규모	규모+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 러닝타임 145분 동안 조명은 총 450번, 1분에 3.1번꼴로 바뀐다.
## 러닝타임 <145분 동안:DUR> 조명은 총 <450번:NOH>, <1분:NOH>에 <3.1번:NOH>꼴로 바뀐다.
러닝	러닝	NNG	O
타임	타임	NNG	O
_	_	_	O
145	145	SN	B-DUR
분	분	NNB	I-DUR
_	_	_	I-DUR
동안	동안	NNG	I-DUR
_	_	_	O
조명	조명	NNG	O
은	은	JX	O
_	_	_	O
총	총	MM	O
_	_	_	O
450	450	SN	B-NOH
번	번	NNB	I-NOH
,	,	SP	O
_	_	_	O
1	1	SN	B-NOH
분	분	NNB	I-NOH
에	에	JKB	O
_	_	_	O
3.1	3.1	SN	B-NOH
번	번	NNB	I-NOH
꼴	꼴	XSN	O
로	로	JKB	O
_	_	_	O
바뀐다	바뀌+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 또 합의 과정에는 국민연금 개혁에 대표성을 지니는 사람들이 들어가 있지 않았다.
## 또 합의 과정에는 <국민연금:ORG> 개혁에 대표성을 지니는 사람들이 들어가 있지 않았다.
또	또	MAG	O
_	_	_	O
합의	합의	NNG	O
_	_	_	O
과정	과정	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
국민	국민	NNG	B-ORG
연금	연금	NNG	I-ORG
_	_	_	O
개혁	개혁	NNG	O
에	에	JKB	O
_	_	_	O
대표성	대표성	NNG	O
을	을	JKO	O
_	_	_	O
지니	지니	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
들어가	들어가+아	VV+EC	O
_	_	_	O
있	있	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ”(문형표 보건복지부 장관) “국민연금 보험료율(내는 돈) 인상 규모보다 소득대체율(받는 돈)을 얼마나 올릴지를 먼저 발표하는 건 우선순위가 잘못 정해진 것이다.
## ”(<문형표:PER> 보건복지부 장관) “<국민연금:ORG> 보험료율(내는 돈) 인상 규모보다 소득대체율(받는 돈)을 얼마나 올릴지를 먼저 발표하는 건 우선순위가 잘못 정해진 것이다.
”	”	SS	O
(	(	SS	O
문형표	문형표	NNP	B-PER
_	_	_	O
보건복지부	보건복지부	NNG	O
_	_	_	O
장관	장관	NNG	O
)	)	SS	O
_	_	_	O
“	“	SS	O
국민	국민	NNG	B-ORG
연금	연금	NNG	I-ORG
_	_	_	O
보험료율	보험료율	NNG	O
(	(	SS	O
내	내	VV	O
는	는	ETM	O
_	_	_	O
돈	돈	NNG	O
)	)	SS	O
_	_	_	O
인상	인상	NNG	O
_	_	_	O
규모	규모	NNG	O
