## 1
## 한국 LG화학도 부푼 꿈을 안고 2015년 중국 동부 난징에, 삼성SDI도 시안에 배터리 공장을 세웠다.
## <한국 LG화학:ORG>도 부푼 꿈을 안고 <2015년:DAT> <중국 동부 난징:LOC>에, <삼성SDI:ORG>도 <시안:LOC>에 배터리 공장을 세웠다.
한국	한국	NNP	B-ORG
_	_	_	I-ORG
LG	LG	SL	I-ORG
화학	화학	NNG	I-ORG
도	도	XSN	O
_	_	_	O
부푼	부풀+ㄴ	VV+ETM	O
_	_	_	O
꿈	꿈	NNG	O
을	을	JKO	O
_	_	_	O
안	안	VV	O
고	고	EC	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	I-LOC
동부	동부	NNG	I-LOC
_	_	_	I-LOC
난징	난징	NNP	I-LOC
에	에	JKB	O
,	,	SP	O
_	_	_	O
삼성	삼성	NNP	B-ORG
SDI	SDI	SL	I-ORG
도	도	JX	O
_	_	_	O
시안	시안	NNG	B-LOC
에	에	JKB	O
_	_	_	O
배터리	배터리	NNG	O
_	_	_	O
공장	공장	NNG	O
을	을	JKO	O
_	_	_	O
세	세우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 우리 돈으로 4천만 원이 넘는다.
## 우리 돈으로 <4천만 원:MNY>이 넘는다.
우리	우리	NP	O
_	_	_	O
돈	돈	NNG	O
으로	으로	JKB	O
_	_	_	O
4	4	SN	B-MNY
천만	천만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
는다	는다	EF	O
.	.	SF	O

## 3
## 한 이사장은 “장학재단은 전문대의 제도적 장점을 널리 알리고 우수한 이공계 인재를 지원하는 데 목적이 있다”며 “대학원생에 한해 지원하지만 차츰 대학생까지 확대할 예정”이라고 말했다.
## <한:PER> 이사장은 “장학재단은 전문대의 제도적 장점을 널리 알리고 우수한 이공계 인재를 지원하는 데 목적이 있다”며 “대학원생에 한해 지원하지만 차츰 대학생까지 확대할 예정”이라고 말했다.
한	한	MM	B-PER
_	_	_	O
이사장	이사장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
장학재단	장학재단	NNP	O
은	은	JX	O
_	_	_	O
전문대	전문대	NNG	O
의	의	JKG	O
_	_	_	O
제도적	제도적	NNG	O
_	_	_	O
장점	장점	NNG	O
을	을	JKO	O
_	_	_	O
널리	널리	MAG	O
_	_	_	O
알리	알리	VV	O
고	고	EC	O
_	_	_	O
우수한	우수하+ㄴ	VA+ETM	O
_	_	_	O
이공	이공	NNG	O
계	계	XSN	O
_	_	_	O
인재	인재	NNG	O
를	를	JKO	O
_	_	_	O
지원하	지원하	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
목적	목적	NNG	O
