## 1
## 북의 인권탄압을 애써 모른다 하고 못본체하는 것이 「진보」요 「리버럴」이 아니지 않겠는가.
## <북:ORG>의 인권탄압을 애써 모른다 하고 못본체하는 것이 「진보」요 「리버럴」이 아니지 않겠는가.
북	북	NNP	B-ORG
의	의	JKG	O
_	_	_	O
인권	인권	NNG	O
탄압	탄압	NNG	O
을	을	JKO	O
_	_	_	O
애	애쓰	VV	O
써	어	EC	O
_	_	_	O
모른다	모르+ㄴ다	VV+EC	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
못	못	MAG	O
본	보+ㄴ	VV+ETM	O
체	체	NNB	O
하	하	XSV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
「	「	SS	O
진보	진보	NNG	O
」	」+이	SS+VCP	O
요	요	EC	O
_	_	_	O
「	「	SS	O
리버럴	리버럴	NNG	O
」	」	SS	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
지	지	EC	O
_	_	_	O
않	않	VX	O
겠	겠	EP	O
는가	는가	EF	O
.	.	SF	O

## 2
## 특히 김승원은 수비에서도 4개의 블록슛을 기록하며 골밑을 든든하게 지켰다.
## 특히 <김승원:PER>은 수비에서도 <4개:NOH>의 블록슛을 기록하며 골밑을 든든하게 지켰다.
특히	특히	MAG	O
_	_	_	O
김승원	김승원	NNP	B-PER
은	은	JX	O
_	_	_	O
수비	수비	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
블록	블록	NNG	O
슛	슛	NNG	O
을	을	JKO	O
_	_	_	O
기록하	기록하	VV	O
며	며	EC	O
_	_	_	O
골	골	NNG	O
밑	밑	NNG	O
을	을	JKO	O
_	_	_	O
든든하	든든하	VA	O
게	게	EC	O
_	_	_	O
지	지키	VV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 어두운 뒷골목 할렘에서 방황하던 청소년도 미국프로농구(NBA)에서 영웅이 된다.
## 어두운 뒷골목 할렘에서 방황하던 청소년도 <미국프로농구:ORG>(<NBA:ORG>)에서 영웅이 된다.
어두	어둡	VA	O
운	ㄴ	ETM	O
_	_	_	O
뒷골목	뒷골목	NNG	O
_	_	_	O
할렘	할렘	NNP	O
에서	에서	JKB	O
_	_	_	O
방황하	방황하	VV	O
던	던	ETM	O
_	_	_	O
청소년	청소년	NNG	O
도	도	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
프로	프로	NNG	I-ORG
농구	농구	NNG	I-ORG
(	(	SS	O
NBA	NBA	SL	B-ORG
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
영웅	영웅	NNG	O
이	이	JKC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 한국에 사는 일본인과 한 달 전에 약속을 하고 그 이후 한 번도 연락하지 않다가 한 달 뒤 약속 장소에서 딱 만나니 좀 무섭게 느껴졌다.
## <한국:LOC>에 사는 일본인과 <한 달:DUR> 전에 약속을 하고 그 이후 <한 번:NOH>도 연락하지 않다가 <한 달:NOH> 뒤 약속 장소에서 딱 만나니 좀 무섭게 느껴졌다.
한국	한국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
사	살	VV	O
는	는	ETM	O
_	_	_	O
일본인	일본인	NNG	O
과	과	JC	O
_	_	_	O
한	한	MM	B-DUR
_	_	_	I-DUR
달	달	NNB	I-DUR
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
약속	약속	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
그	그	MM	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
도	도	JX	O
_	_	_	O
연락하	연락하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다가	다가	EC	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
달	달	NNB	I-NOH
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
약속	약속	NNG	O
_	_	_	O
장소	장소	NNG	O
에서	에서	JKB	O
_	_	_	O
딱	딱	MAG	O
_	_	_	O
만나	만나	VV	O
니	니	EC	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
무섭	무섭	VA	O
게	게	EC	O
_	_	_	O
느껴	느끼+어+지	VV+EC+VX	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
