## 1
## 홍준표 자유한국당 대선후보가 21일 이른바 ‘성범죄 모의’ 논란과 관련해 “들은 얘기일 뿐 관여하지 않았다”고 해명했지만, 홍 후보에 대한 비난과 분노 여론이 들끓고 있다.
## <홍준표:PER> <자유한국당:ORG> 대선후보가 <21일:DAT> 이른바 ‘성범죄 모의’ 논란과 관련해 “들은 얘기일 뿐 관여하지 않았다”고 해명했지만, <홍:PER> 후보에 대한 비난과 분노 여론이 들끓고 있다.
홍준표	홍준표	NNP	B-PER
_	_	_	O
자유	자유	NNG	B-ORG
한국	한국	NNP	I-ORG
당	당	XSN	I-ORG
_	_	_	O
대선	대선	NNG	O
후보	후보	NNG	O
가	가	JKS	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
이른바	이른바	MAG	O
_	_	_	O
‘	‘	SS	O
성범죄	성범죄	NNG	O
_	_	_	O
모의	모의	NNG	O
’	’	SS	O
_	_	_	O
논란	논란	NNG	O
과	과	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
“	“	SS	O
들	듣	VV	O
은	은	ETM	O
_	_	_	O
얘기	얘기	NNG	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
뿐	뿐	NNB	O
_	_	_	O
관여하	관여하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
해명	해명하	VV	O
했	였	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
홍	홍	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
비난	비난	NNG	O
과	과	JC	O
_	_	_	O
분노	분노	NNG	O
_	_	_	O
여론	여론	NNG	O
이	이	JKS	O
_	_	_	O
들끓	들끓	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 【헬싱키=구성재기자】
## 【<헬싱키:LOC>=<구성재:PER>기자】
【	【	SS	O
헬싱키	헬싱키	NNP	B-LOC
=	=	SW	O
구성재	구성재	NNG	B-PER
기자	기자	NNG	O
】	】	SS	O

## 3
## 6달러가 레귤러 사이즈로 가장 많이 찾는데 우리 돈 4828원이다.
## <6달러:MNY>가 레귤러 사이즈로 가장 많이 찾는데 우리 돈 <4828원:MNY>이다.
6	6	SN	B-MNY
달러	달러	NNB	I-MNY
가	가	JKS	O
_	_	_	O
레귤러	레귤러	NNG	O
_	_	_	O
사이즈	사이즈	NNG	O
로	로	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
찾	찾	VV	O
는데	는데	EC	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
돈	돈	NNG	O
_	_	_	O
4828	4828	SN	B-MNY
원	원	NNB	I-MNY
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 검찰은 이와 관련, 북구부평1동 강신영법무사사무소 직원 이선미씨(21)가 93년5월부터 올8월까지 양씨와 짜고 1억여원 상당의 등록세영수증 40장을 위조해 이중 1천여만원을 받은 혐의로 구속영장을 청구하고 강씨의 관련여부를 조사중이다.
