## 1
## 권선택 시장은 “오늘은 집안에 있던 물건들이 새 주인을 만나는 날”이라며 “시민 참여가 많을수록 기부액이 많아진다”며 참가를 독려했다.
## <권선택:PER> 시장은 “오늘은 집안에 있던 물건들이 새 주인을 만나는 날”이라며 “시민 참여가 많을수록 기부액이 많아진다”며 참가를 독려했다.
권선택	권선택	NNP	B-PER
_	_	_	O
시장	시장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
오늘	오늘	NNG	O
은	은	JX	O
_	_	_	O
집안	집안	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
던	던	ETM	O
_	_	_	O
물건	물건	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
새	새	MM	O
_	_	_	O
주인	주인	NNG	O
을	을	JKO	O
_	_	_	O
만나	만나	VV	O
는	는	ETM	O
_	_	_	O
날	날	NNG	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
시민	시민	NNG	O
_	_	_	O
참여	참여	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
을수록	을수록	EC	O
_	_	_	O
기부	기부	NNG	O
액	액	XSN	O
이	이	JKS	O
_	_	_	O
많아진다	많아지+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
참가	참가	NNG	O
를	를	JKO	O
_	_	_	O
독려	독려하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 대구시 중구 국채보상운동기념공원에서 열린 대구 위아자 나눔장터는 ‘어린이 상인’들로 북적거렸다.
## <대구시:LOC> <중구:LOC> <국채보상운동기념공원:LOC>에서 열린 <대구:LOC> 위아자 나눔장터는 ‘어린이 상인’들로 북적거렸다.
대구시	대구시	NNP	B-LOC
_	_	_	O
중	중	NNG	B-LOC
구	구	NNG	I-LOC
_	_	_	O
국채보상운동기념공원	국채보상운동기념공원	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
대구	대구	NNP	B-LOC
_	_	_	O
위	위	NNB	O
아자	아자	NNG	O
_	_	_	O
나눔	나눔	NNP	O
장터	장터	NNG	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
어린이	어린이	NNG	O
_	_	_	O
상인	상인	NNG	O
’	’	SS	O
들	들	XSN	O
로	로	JKB	O
_	_	_	O
북적거	북적거리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 영등포(0.19%), 서대문구(0.19%) 등 중소형 주택이 많은 지역의 상승폭도 전달보다 커졌다.
## <영등포:LOC>(<0.19%:PNT>), <서대문구:LOC>(<0.19%:PNT>) 등 중소형 주택이 많은 지역의 상승폭도 전달보다 커졌다.
영등포	영등포	NNP	B-LOC
(	(	SS	O
0.19	0.19	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
서대문구	서대문구	NNP	B-LOC
(	(	SS	O
0.19	0.19	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
중소형	중소형	NNG	O
_	_	_	O
주택	주택	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
지역	지역	NNG	O
의	의	JKG	O
_	_	_	O
상승	상승	NNG	O
폭	폭	NNG	O
도	도	JX	O
_	_	_	O
전달	전달	NNG	O
보다	보다	JKB	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 과거 MBC ‘무한도전’에서는 멤버들이 ‘브라질 월드컵’ 한국 대표팀을 응원하기 위해 브라질을 방문하기 전에 포르투갈어를 배우는 모습이 그려졌다.
## 과거 <MBC:POH> ‘<무한도전:POH>’에서는 멤버들이 ‘<브라질 월드컵:POH>’ <한국 대표팀:ORG>을 응원하기 위해 <브라질:LOC>을 방문하기 전에 포르투갈어를 배우는 모습이 그려졌다.
과거	과거	NNG	O
_	_	_	O
MBC	MBC	SL	B-POH
_	_	_	O
‘	‘	SS	O
무한도전	무한도전	NNP	B-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
멤버	멤버	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
브라질	브라질	NNP	B-POH
_	_	_	I-POH
월드컵	월드컵	NNG	I-POH
’	’	SS	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	I-ORG
대표	대표	NNG	I-ORG
팀	팀	NNG	I-ORG
을	을	JKO	O
_	_	_	O
응원하	응원하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
브라질	브라질	NNP	B-LOC
을	을	JKO	O
_	_	_	O
방문하	방문하	VV	O
기	기	ETN	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
포르투갈	포르투갈	NNP	O
어	어	XSN	O
를	를	JKO	O
_	_	_	O
배우	배우	VV	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
그려	그리+어+지	VV+EC+VX	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 당국은 이러한 지표상의 성과가 금융실명제 실시와 우루과이 라운드(UR)협상 타결이라는 변혁의 와중에서 이룩된 것이라는 점에서 더 큰 의미를 부여하고 있다.
## 당국은 이러한 지표상의 성과가 금융실명제 실시와 <우루과이 라운드:POH>(<UR:POH>)협상 타결이라는 변혁의 와중에서 이룩된 것이라는 점에서 더 큰 의미를 부여하고 있다.
당국	당국	NNG	O
은	은	JX	O
_	_	_	O
이러한	이러하+ㄴ	VA+ETM	O
_	_	_	O
지표	지표	NNG	O
상	상	XSN	O
의	의	JKG	O
_	_	_	O
성과	성과	NNG	O
가	가	JKS	O
_	_	_	O
금융	금융	NNG	O
실명제	실명제	NNG	O
_	_	_	O
실시	실시	NNG	O
와	와	JC	O
_	_	_	O
우루과이	우루과이	NNP	B-POH
_	_	_	I-POH
라운드	라운드	NNG	I-POH
(	(	SS	O
UR	UR	SL	B-POH
)	)	SS	O
협상	협상	NNG	O
_	_	_	O
타결	타결	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
변혁	변혁	NNG	O
의	의	JKG	O
_	_	_	O
와중	와중	NNG	O
에서	에서	JKB	O
_	_	_	O
이룩된	이룩되+ㄴ	VV+ETM	O
