## 1
## 북한에는 여씨의 삼촌과 외가친척 외에는 남아 있지 않으며, 남한에는 친척이 없는 것으로 알려졌다.
## <북한:ORG>에는 <여:PER>씨의 삼촌과 외가친척 외에는 남아 있지 않으며, <남한:ORG>에는 친척이 없는 것으로 알려졌다.
북한	북한	NNP	B-ORG
에	에	JKB	O
는	는	JX	O
_	_	_	O
여씨	여씨	NNP	O
의	의	JKG	O
_	_	_	O
삼촌	삼촌	NNG	O
과	과	JC	O
_	_	_	O
외가	외가	NNG	O
친척	친척	NNG	O
_	_	_	O
외	외	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
남	남	VV	O
아	아	EC	O
_	_	_	O
있	있	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
남한	남한	NNP	B-ORG
에	에	JKB	O
는	는	JX	O
_	_	_	O
친척	친척	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그렇게 2007년 본사를 인수할 수 있었어요.
## 그렇게 <2007년:DAT> 본사를 인수할 수 있었어요.
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
본사	본사	NNG	O
를	를	JKO	O
_	_	_	O
인수할	인수하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
어요	어요	EF	O
.	.	SF	O

## 3
## ‘땅콩회항’ 조현아, 오늘 선고… 집행유예 석방 가능성 제기
## ‘땅콩회항’ <조현아:PER>, 오늘 선고… 집행유예 석방 가능성 제기
‘	‘	SS	O
땅콩	땅콩	NNG	O
회항	회항	NNG	O
’	’	SS	O
_	_	_	O
조현아	조현아	NNP	B-PER
,	,	SP	O
_	_	_	O
오늘	오늘	NNG	O
_	_	_	O
선고	선고	NNG	O
…	…	SE	O
_	_	_	O
집행	집행	NNG	O
유예	유예	NNG	O
_	_	_	O
석방	석방	NNG	O
_	_	_	O
가능성	가능성	NNG	O
_	_	_	O
제기	제기	NNG	O

## 4
