## 1
## Ingredients생미역 ½컵, 달걀 1개, 물 4컵, 닭가슴살 1쪽, 대파 1대(10cm), 마늘 3쪽, 간장 1작은술, 소금 · 녹말물 약간씩How to make1 미역은 흐르는 물에 씻어 먹기 좋은 크기로 썬다.
## Ingredients생미역 <½컵:NOH>, 달걀 <1개:NOH>, 물 <4컵:NOH>, 닭가슴살 <1쪽:NOH>, 대파 <1대:NOH>(<10cm:NOH>), 마늘 <3쪽:NOH>, 간장 <1작은술:NOH>, 소금 · 녹말물 약간씩How to make<1:NOH> 미역은 흐르는 물에 씻어 먹기 좋은 크기로 썬다.
Ingredients	Ingredients	SL	O
생미역	생미역	NNG	O
_	_	_	O
½	½	SW	B-NOH
컵	컵	NNG	I-NOH
,	,	SP	O
_	_	_	O
달걀	달걀	NNG	O
_	_	_	O
1	1	SN	B-NOH
개	개	NNB	I-NOH
,	,	SP	O
_	_	_	O
물	물	NNG	O
_	_	_	O
4	4	SN	B-NOH
컵	컵	NNG	I-NOH
,	,	SP	O
_	_	_	O
닭	닭	NNG	O
가슴살	가슴살	NNG	O
_	_	_	O
1	1	SN	B-NOH
쪽	쪽	NNB	I-NOH
,	,	SP	O
_	_	_	O
대	대	XPN	O
파	파	NNG	O
_	_	_	O
1	1	SN	B-NOH
대	대	NNB	I-NOH
(	(	SS	O
10	10	SN	B-NOH
cm	cm	SL	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
마늘	마늘	NNG	O
_	_	_	O
3	3	SN	B-NOH
쪽	쪽	NNG	I-NOH
,	,	SP	O
_	_	_	O
간장	간장	NNG	O
_	_	_	O
1	1	SN	B-NOH
작	작	VA	I-NOH
은	은	ETM	I-NOH
술	술	NNB	I-NOH
,	,	SP	O
_	_	_	O
소금	소금	NNG	O
_	_	_	O
·	·	SP	O
_	_	_	O
녹말	녹말	NNG	O
물	물	NNG	O
_	_	_	O
약간	약간	NNG	O
씩	씩	XSN	O
How	How	SL	O
_	_	_	O
to	to	SL	O
_	_	_	O
make	make	SL	O
1	1	SN	B-NOH
_	_	_	O
미역	미역	NNG	O
은	은	JX	O
_	_	_	O
흐르	흐르	VV	O
는	는	ETM	O
_	_	_	O
물	물	NNG	O
에	에	JKB	O
_	_	_	O
씻	씻	VV	O
어	어	EC	O
_	_	_	O
먹	먹	VV	O
기	기	ETN	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
크기	크기	NNG	O
로	로	JKB	O
_	_	_	O
썬다	썰+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 2 달걀은 푼 뒤 체에 내린다.
## <2:NOH> 달걀은 푼 뒤 체에 내린다.
2	2	SN	B-NOH
_	_	_	O
달걀	달걀	NNG	O
은	은	JX	O
_	_	_	O
푼	풀+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
체	체	NNG	O
에	에	JKB	O
_	_	_	O
내린다	내리+ㄴ다	VV+EF	O
.	.	SF	O

## 3
