## 1
## 당일만 해도 블링켄베르 변호사는 로이터통신과 인터뷰를 가지며 “송환 문제를 법원으로 가져가 싸우겠다”고 밝혔으나 이후 돌연 숨진 것이다.
## 당일만 해도 <블링켄베르:PER> 변호사는 <로이터통신:ORG>과 인터뷰를 가지며 “송환 문제를 법원으로 가져가 싸우겠다”고 밝혔으나 이후 돌연 숨진 것이다.
당일	당일	NNG	O
만	만	JX	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
블	블	NNG	B-PER
링	링	NNG	I-PER
켄	켄	NNP	I-PER
베르	베르	NNG	I-PER
_	_	_	O
변호사	변호사	NNG	O
는	는	JX	O
_	_	_	O
로이터통신	로이터통신	NNP	B-ORG
과	과	JKB	O
_	_	_	O
인터뷰	인터뷰	NNG	O
를	를	JKO	O
_	_	_	O
가지	가지	VV	O
며	며	EC	O
_	_	_	O
“	“	SS	O
송환	송환	NNG	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
법원	법원	NNG	O
으로	으로	JKB	O
_	_	_	O
가져가	가져가+아	VV+EC	O
_	_	_	O
싸우	싸우	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
으나	으나	EC	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
돌연	돌연	MAG	O
_	_	_	O
숨진	숨지+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 블링켄베르 변호사는 얀 슈나이더 변호사 이후 정씨가 덴마크에서 두 번째로 채용한 변호인이다.
## <블링켄베르:PER> 변호사는 <얀 슈나이더:PER> 변호사 이후 <정:PER>씨가 <덴마크:ORG>에서 두 번째로 채용한 변호인이다.
블	블	NNG	B-PER
링	링	NNG	I-PER
켄	켄	NNP	I-PER
베르	베르	NNG	I-PER
_	_	_	O
변호사	변호사	NNG	O
는	는	JX	O
_	_	_	O
얀	얀	NNP	B-PER
_	_	_	I-PER
슈나이더	슈나이더	NNP	I-PER
_	_	_	O
변호사	변호사	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
정	정	NNP	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
덴마크	덴마크	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
두	두	MM	O
_	_	_	O
번째	번째	NNB	O
로	로	JKB	O
_	_	_	O
채용한	채용하+ㄴ	VV+ETM	O
_	_	_	O
변호인	변호인	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 블링켄베르 변호사의 형제인 크리스티안은 “고인의 생전 가장 큰 아쉬움은 자식들이 어린데도 너무 많은 일을 했다는 것이었다”고 말했다.
## <블링켄베르:PER> 변호사의 형제인 <크리스티안:PER>은 “고인의 생전 가장 큰 아쉬움은 자식들이 어린데도 너무 많은 일을 했다는 것이었다”고 말했다.
블	블	NNG	B-PER
링	링	NNG	I-PER
켄	켄	NNP	I-PER
베르	베르	NNG	I-PER
_	_	_	O
변호사	변호사	NNG	O
의	의	JKG	O
_	_	_	O
형제	형제	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
크리스티안	크리스티안	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
고인	고인	NNG	O
의	의	JKG	O
_	_	_	O
생전	생전	NNG	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
