## 1
## 부동산전문가들은 “청약통장 1순위 조건이 완화되면서 우수한 입지를 갖춘 수원 영통의 첫 분양단지인 영통 라온 프라이빗의 1순위 청약열기가 더욱 뜨거워질 것으로 보인다”며 “또한 오는 4월부터 민간택지의 분양가상한제 폐지에 따른 수혜단지로도 각광받고 있다”고 설명했다.
## 부동산전문가들은 “청약통장 <1순위:NOH> 조건이 완화되면서 우수한 입지를 갖춘 <수원:LOC> <영통:LOC>의 첫 분양단지인 <영통 라온 프라이빗:ORG>의 <1순위:NOH> 청약열기가 더욱 뜨거워질 것으로 보인다”며 “또한 오는 <4월:DAT>부터 민간택지의 분양가상한제 폐지에 따른 수혜단지로도 각광받고 있다”고 설명했다.
부동산	부동산	NNG	O
전문가	전문가	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
청약	청약	NNG	O
통장	통장	NNG	O
_	_	_	O
1	1	SN	B-NOH
순위	순위	NNG	I-NOH
_	_	_	O
조건	조건	NNG	O
이	이	JKS	O
_	_	_	O
완화되	완화되	VV	O
면서	면서	EC	O
_	_	_	O
우수한	우수하+ㄴ	VA+ETM	O
_	_	_	O
입지	입지	NNG	O
를	를	JKO	O
_	_	_	O
갖춘	갖추+ㄴ	VV+ETM	O
_	_	_	O
수원	수원	NNP	B-LOC
_	_	_	O
영통	영통	NNP	B-LOC
의	의	JKG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
분양	분양	NNG	O
단지	단지	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
영통	영통	NNP	B-ORG
_	_	_	I-ORG
라온	라온	NNG	I-ORG
_	_	_	I-ORG
프라이빗	프라이빗	NNG	I-ORG
의	의	JKG	O
_	_	_	O
1	1	SN	B-NOH
순위	순위	NNG	I-NOH
_	_	_	O
청약	청약	NNG	O
열기	열기	NNG	O
가	가	JKS	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
뜨거워질	뜨거워지+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
또한	또한	MAG	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
민간	민간	NNG	O
택지	택지	NNG	O
의	의	JKG	O
_	_	_	O
분양가	분양가	NNG	O
상한	상한	NNG	O
제	제	XPN	O
_	_	_	O
폐지	폐지	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
수혜	수혜	NNP	O
단지	단지	NNG	O
로	로	JKB	O
도	도	JX	O
_	_	_	O
각광	각광	NNG	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 2013년 은퇴한 장미란은 현재 자신이 만든 ‘장미란재단’을 통해 비인기종목 선수들을 후원하거나 유소년 선수들을 지원하는 공익 활동을 하고 있다.
## <2013년:DAT> 은퇴한 <장미란:PER>은 현재 자신이 만든 ‘<장미란재단:POH>’을 통해 비인기종목 선수들을 후원하거나 유소년 선수들을 지원하는 공익 활동을 하고 있다.
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
은퇴한	은퇴하+ㄴ	VV+ETM	O
_	_	_	O
장미란	장미란	NNP	B-PER
은	은	JX	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
장미란	장미란	NNP	B-POH
재단	재단	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
비	비	XPN	O
인기	인기	NNG	O
종목	종목	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
후원하	후원하	VV	O
거나	거나	EC	O
_	_	_	O
유소년	유소년	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
지원하	지원하	VV	O
는	는	ETM	O
_	_	_	O
공익	공익	NNG	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## “저 자리에 서 있는 것만도 대단한 거죠” 리우데자네이루 올림픽은 장미란이 12년 만에 처음으로 주인공이 아닌 관중으로 지켜보는 올림픽이다.
## “저 자리에 서 있는 것만도 대단한 거죠” <리우데자네이루 올림픽:POH>은 <장미란:PER>이 <12년 만:NOH>에 처음으로 주인공이 아닌 관중으로 지켜보는 올림픽이다.
“	“	SS	O
저	저	MM	O
_	_	_	O
자리	자리	NNG	O
에	에	JKB	O
_	_	_	O
서	서+어	VV+EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
만	만	JX	O
도	도	JX	O
_	_	_	O
대단한	대단하+ㄴ	VA+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
죠	죠	EF	O
”	”	SS	O
_	_	_	O
리우데자네이루	리우데자네이루	NNP	B-POH
_	_	_	I-POH
올림픽	올림픽	NNG	I-POH
은	은	JX	O
_	_	_	O
장미란	장미란	NNP	B-PER
이	이	JKS	O
_	_	_	O
12	12	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	I-NOH
만	만	NNB	I-NOH
에	에	JKB	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
주인공	주인공	NNG	O
이	이	JKC	O
_	_	_	O
