## 1
## 벨기에 브뤼셀 공항에서 21일(현지시간) 원인 불명의 연쇄 폭발 사고가 발생했다.
## <벨기에:LOC> <브뤼셀 공항:LOC>에서 <21일:DAT>(현지시간) 원인 불명의 연쇄 폭발 사고가 발생했다.
벨기에	벨기에	NNP	B-LOC
_	_	_	O
브뤼셀	브뤼셀	NNP	B-LOC
_	_	_	I-LOC
공항	공항	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
원인	원인	NNG	O
_	_	_	O
불명	불명	NNG	O
의	의	JKG	O
_	_	_	O
연쇄	연쇄	NNG	O
_	_	_	O
폭발	폭발	NNG	O
_	_	_	O
사고	사고	NNG	O
가	가	JKS	O
_	_	_	O
발생	발생하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이에 나가미네 대사는 “한국에 있는 대사관 직원들과 함께 바로 판단할 문제가 많이 있다.
## 이에 <나가미네:PER> 대사는 “<한국:LOC>에 있는 대사관 직원들과 함께 바로 판단할 문제가 많이 있다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
나가	나가	NNP	B-PER
미	미+이	NNP+VCP	I-PER
네	네	EC	I-PER
_	_	_	O
대사	대사	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
대사관	대사관	NNG	O
_	_	_	O
직원	직원	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
판단할	판단하+ㄹ	VV+ETM	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 아베 총리와 부인 아키에 여사는 30일까지 워싱턴에 머무는 동안 백악관 영빈관인 블레어하우스에 머문다.
## <아베:PER> 총리와 부인 <아키에:PER> 여사는 <30일:DAT>까지 <워싱턴:LOC>에 머무는 동안 <백악관:LOC> 영빈관인 <블레어하우스:LOC>에 머문다.
아베	아베	NNP	B-PER
_	_	_	O
총리	총리	NNG	O
와	와	JC	O
_	_	_	O
부인	부인	NNG	O
_	_	_	O
아키에	아키에	NNP	B-PER
_	_	_	O
여사	여사	NNG	O
는	는	JX	O
_	_	_	O
30	30	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
워싱턴	워싱턴	NNP	B-LOC
에	에	JKB	O
_	_	_	O
머무	머물	VV	O
는	는	ETM	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
백악관	백악관	NNP	B-LOC
_	_	_	O
영빈관	영빈관	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
블레어	블레어	NNP	B-LOC
하우스	하우스	NNG	I-LOC
에	에	JKB	O
_	_	_	O
머문다	머물+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## ‘크라임씬 PD 살인사건’은 실제와 가상을 오가는 페이크 다큐 형식으로 진행된다.
## ‘<크라임씬 PD 살인사건:POH>’은 실제와 가상을 오가는 페이크 다큐 형식으로 진행된다.
‘	‘	SS	O
크라임	크라임	NNG	B-POH
씬	씬	NNP	I-POH
_	_	_	I-POH
PD	PD	SL	I-POH
_	_	_	I-POH
살인	살인	NNG	I-POH
사건	사건	NNG	I-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
실제	실제	NNG	O
와	와	JC	O
_	_	_	O
가상	가상	NNG	O
을	을	JKO	O
_	_	_	O
오가	오가	VV	O
는	는	ETM	O
_	_	_	O
페이크	페이크	NNG	O
_	_	_	O
다큐	다큐	NNG	O
_	_	_	O
형식	형식	NNG	O
으로	으로	JKB	O
_	_	_	O
진행된다	진행되+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## ‘해노랑’은 태양과 바다를 동시에 뜻하는 ‘해’와 주재료인 속노랑 고구마에서 따왔다.
## ‘<해노랑:POH>’은 태양과 바다를 동시에 뜻하는 ‘해’와 주재료인 속노랑 고구마에서 따왔다.
‘	‘	SS	O
해	해	NNG	B-POH
노랑	노랑	NNG	I-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
태양	태양	NNG	O
과	과	JC	O
_	_	_	O
바다	바다	NNG	O
를	를	JKO	O
_	_	_	O
동시	동시	NNG	O
