## 1
## 스포트라이트팀이 취재한 결과 2012년부터 서울과 경기도, 경상도에서 집단감염이 4개 병원에서 발생해 사망자는 3명, 감염자는 126명에 달했다.
## 스포트라이트팀이 취재한 결과 <2012년:DAT>부터 <서울:LOC>과 <경기도:LOC>, <경상도:LOC>에서 집단감염이 <4개:NOH> 병원에서 발생해 사망자는 <3명:NOH>, 감염자는 <126명:NOH>에 달했다.
스포트라이트	스포트라이트	NNG	O
팀	팀	NNG	O
이	이	JKS	O
_	_	_	O
취재한	취재하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
서울	서울	NNP	B-LOC
과	과	JC	O
_	_	_	O
경기도	경기도	NNP	B-LOC
,	,	SP	O
_	_	_	O
경상도	경상도	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
집단	집단	NNG	O
감염	감염	NNG	O
이	이	JKS	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
병원	병원	NNG	O
에서	에서	JKB	O
_	_	_	O
발생해	발생하+여	VV+EC	O
_	_	_	O
사망자	사망자	NNG	O
는	는	JX	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
감염자	감염자	NNG	O
는	는	JX	O
_	_	_	O
126	126	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
달	달하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 일본 언론에서는 수도권의 요양시설 부족으로 서비스의 질을 담보할 수 없게 된 것이 이번 사건의 근본 원인이라고 분석한다.
## <일본 언론:ORG>에서는 수도권의 요양시설 부족으로 서비스의 질을 담보할 수 없게 된 것이 이번 사건의 근본 원인이라고 분석한다.
일본	일본	NNP	B-ORG
_	_	_	I-ORG
언론	언론	NNG	I-ORG
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
수도권	수도권	NNG	O
의	의	JKG	O
_	_	_	O
요양	요양	NNG	O
시설	시설	NNG	O
_	_	_	O
부족	부족	NNG	O
으로	으로	JKB	O
_	_	_	O
서비스	서비스	NNG	O
의	의	JKG	O
_	_	_	O
질	질	NNG	O
을	을	JKO	O
_	_	_	O
담보할	담보하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
게	게	EC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
사건	사건	NNG	O
의	의	JKG	O
_	_	_	O
근본	근본	NNG	O
_	_	_	O
원인	원인	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
분석한다	분석하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 현재 마이너리그 유망주 중에서도 거포가 없어 장타자가 필요하다.
## 현재 <마이너리그:POH> 유망주 중에서도 거포가 없어 장타자가 필요하다.
현재	현재	MAG	O
_	_	_	O
마이너리그	마이너리그	NNG	B-POH
_	_	_	O
유망주	유망주	NNG	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
거포	거포	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
장타자	장타자	NNG	O
가	가	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 앞서 이들은 같은 방식으로 2014년 7월부터 2015년 9월까지 이 화백 서명이 위조된 그림 4점을 판매해 모두 33억원을 받아 챙긴 혐의로 구속기소돼 재판을 받고 있다.
## 앞서 이들은 같은 방식으로 <2014년 7월부터 2015년 9월:DUR>까지 <이:PER> 화백 서명이 위조된 그림 <4점:NOH>을 판매해 모두 <33억원:MNY>을 받아 챙긴 혐의로 구속기소돼 재판을 받고 있다.
앞서	앞서+어	VV+EC	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
방식	방식	NNG	O
으로	으로	JKB	O
_	_	_	O
2014	2014	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
7	7	SN	I-DUR
월	월	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
2015	2015	SN	I-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
9	9	SN	I-DUR
월	월	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
이	이	MM	B-PER
_	_	_	O
화백	화백	NNG	O
_	_	_	O
서명	서명	NNG	O
이	이	JKS	O
_	_	_	O
위조된	위조되+ㄴ	VV+ETM	O
_	_	_	O
그림	그림	NNG	O
_	_	_	O
4	4	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
판매해	판매하+여	VV+EC	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
33	33	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
챙긴	챙기+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
구속	구속	NNG	O
기소돼	기소되+어	VV+EC	O
_	_	_	O
재판	재판	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 【서울=뉴시스】
## 【<서울:LOC>=<뉴시스:POH>】
【	【	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴시스	뉴시스	NNP	B-POH
】	】	SS	O

## 6
## ‘홍채 인증 ATM’은 고객이 홍채 정보를 등록하면 통장이나 카드가 없어도 금융 거래를 할 수 있는 방식으로 이날부터 기업은행은 직원을 대상으로 시범운영을 한 뒤 확대 여부를 결정할 계획이다.
## ‘홍채 인증 ATM’은 고객이 홍채 정보를 등록하면 통장이나 카드가 없어도 금융 거래를 할 수 있는 방식으로 이날부터 <기업은행:ORG>은 직원을 대상으로 시범운영을 한 뒤 확대 여부를 결정할 계획이다.
‘	‘	SS	O
홍채	홍채	NNG	O
_	_	_	O
인증	인증	NNG	O
_	_	_	O
ATM	ATM	SL	O
’	’	SS	O
은	은	JX	O
_	_	_	O
고객	고객	NNG	O
이	이	JKS	O
_	_	_	O
홍채	홍채	NNG	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
등록하	등록하	VV	O
면	면	EC	O
_	_	_	O
통장	통장	NNG	O
이나	이나	JC	O
_	_	_	O
카드	카드	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
어도	어도	EC	O
_	_	_	O
금융	금융	NNG	O
_	_	_	O
거래	거래	NNG	O
를	를	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
방식	방식	NNG	O
으로	으로	JKB	O
_	_	_	O
이날	이날	NNG	O
부터	부터	JX	O
_	_	_	O
기업은행	기업은행	NNP	B-ORG
은	은	JX	O
_	_	_	O
직원	직원	NNG	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
시범	시범	NNG	O
운영	운영	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
확대	확대	NNG	O
_	_	_	O
여부	여부	NNG	O
를	를	JKO	O
_	_	_	O
결정할	결정하+ㄹ	VV+ETM	O
_	_	_	O
