## 1
## 아울러 우승자에게는 상금 5,000만 원과 게임 내 해당 선수의 구단 정보를 바탕으로 한 '우승자 팀 컬러' 적용 영예가 주어지며, 준우승자에게는 2,000만 원의 상금이 지급된다.개막 경기부터 흥미로운 대전이 이어진다.
## 아울러 우승자에게는 상금 <5,000만 원:MNY>과 게임 내 해당 선수의 구단 정보를 바탕으로 한 '우승자 팀 컬러' 적용 영예가 주어지며, 준우승자에게는 <2,000만 원:MNY>의 상금이 지급된다.개막 경기부터 흥미로운 대전이 이어진다.
아울러	아울러	MAG	O
_	_	_	O
우승자	우승자	NNG	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
상금	상금	NNG	O
_	_	_	O
5,000	5,000	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
과	과	JC	O
_	_	_	O
게임	게임	NNG	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
해당	해당	NNG	O
_	_	_	O
선수	선수	NNG	O
의	의	JKG	O
_	_	_	O
구단	구단	NNG	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
바탕	바탕	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
'	'	SS	O
우승자	우승자	NNG	O
_	_	_	O
팀	팀	NNG	O
_	_	_	O
컬러	컬러	NNG	O
'	'	SS	O
_	_	_	O
적용	적용	NNG	O
_	_	_	O
영예	영예	NNG	O
가	가	JKS	O
_	_	_	O
주어지	주어지	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
준	준	XPN	O
우승자	우승자	NNG	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
2,000	2,000	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
상금	상금	NNG	O
이	이	JKS	O
_	_	_	O
지급된다	지급되+ㄴ다	VV+EF	O
.	.	SF	O
개막	개막	NNG	O
_	_	_	O
경기	경기	NNG	O
부터	부터	JX	O
_	_	_	O
