## 1
## 사고가 난 해리슨포드는 현재 긴급구조팀에 의 해 병원으로 옮겨져 치료를 받고 있다.
## 사고가 난 <해리슨포드:PER>는 현재 긴급구조팀에 의 해 병원으로 옮겨져 치료를 받고 있다.
사고	사고	NNG	O
가	가	JKS	O
_	_	_	O
난	나+ㄴ	VV+ETM	O
_	_	_	O
해리슨	해리슨	NNP	B-PER
포드	포드	NNP	I-PER
는	는	JX	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
긴급	긴급	NNG	O
구조	구조	NNG	O
팀	팀	NNG	O
에	에	JKB	O
_	_	_	O
의	의	JKG	O
_	_	_	O
해	하+여	VV+EC	O
_	_	_	O
병원	병원	NNG	O
으로	으로	JKB	O
_	_	_	O
옮겨	옮기+어	VV+EC	O
져	지+어	VX+EC	O
_	_	_	O
치료	치료	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 이날 해리슨포드는 제2차 세계대전 당시 사용된 경비행기를 직접 몰고 캘리포니아 주에 위치한 한 골프장에 착륙을 시도하다 지상과 충돌하면서 파편이 튀어 머리에 상처를 입은 것으로 알려졌다.
## 이날 <해리슨포드:PER>는 <제2차 세계대전:POH> 당시 사용된 경비행기를 직접 몰고 <캘리포니아 주:LOC>에 위치한 한 골프장에 착륙을 시도하다 지상과 충돌하면서 파편이 튀어 머리에 상처를 입은 것으로 알려졌다.
이날	이날	NNG	O
_	_	_	O
해리슨	해리슨	NNP	B-PER
포드	포드	NNP	I-PER
는	는	JX	O
_	_	_	O
제	제	XPN	B-POH
2	2	SN	I-POH
차	차	NNB	I-POH
_	_	_	I-POH
세계	세계	NNG	I-POH
대전	대전	NNG	I-POH
_	_	_	O
당시	당시	NNG	O
_	_	_	O
사용된	사용되+ㄴ	VV+ETM	O
_	_	_	O
경비행기	경비행기	NNG	O
를	를	JKO	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
몰	몰	VV	O
고	고	EC	O
_	_	_	O
캘리포니아	캘리포니아	NNP	B-LOC
_	_	_	I-LOC
주	주	NNG	I-LOC
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
한	한	MM	O
_	_	_	O
골프장	골프장	NNG	O
에	에	JKB	O
_	_	_	O
착륙	착륙	NNG	O
을	을	JKO	O
_	_	_	O
시도하	시도하	VV	O
다	다	EC	O
_	_	_	O
지상	지상	NNG	O
과	과	JKB	O
_	_	_	O
충돌하	충돌하	VV	O
면서	면서	EC	O
_	_	_	O
파편	파편	NNG	O
이	이	JKS	O
_	_	_	O
튀	튀	VV	O
어	어	EC	O
_	_	_	O
머리	머리	NNG	O
에	에	JKB	O
_	_	_	O
상처	상처	NNG	O
를	를	JKO	O
_	_	_	O
입	입	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 해리슨포드의 아들 벤 포드는 6일 자신의 트위터를 통해 “아버지는 다치긴 했지만 괜찮다”며“아버지는 믿기지 않을 만큼 강한 사람이다.
## 한편 <해리슨포드:PER>의 아들 <벤 포드:PER>는 <6일:DAT> 자신의 <트위터:POH>를 통해 “아버지는 다치긴 했지만 괜찮다”며“아버지는 믿기지 않을 만큼 강한 사람이다.
한편	한편	MAG	O
_	_	_	O
해리슨	해리슨	NNP	B-PER
포드	포드	NNP	I-PER
의	의	JKG	O
