## 1
## 메이저리그 동양인 최다승(124승)에 빛나는 박찬호의 경험을 듣는 것만 해도 어린 선수들에게는 엄청난 간접체험이다.
## <메이저리그:POH> 동양인 최다승(<124승:NOH>)에 빛나는 <박찬호:PER>의 경험을 듣는 것만 해도 어린 선수들에게는 엄청난 간접체험이다.
메이저리그	메이저리그	NNG	B-POH
_	_	_	O
동양인	동양인	NNG	O
_	_	_	O
최	최	XPN	O
다승	다승	NNG	O
(	(	SS	O
124	124	SN	B-NOH
승	승	NNB	I-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
빛나	빛나	VV	O
는	는	ETM	O
_	_	_	O
박찬호	박찬호	NNP	B-PER
의	의	JKG	O
_	_	_	O
경험	경험	NNG	O
을	을	JKO	O
_	_	_	O
듣	듣	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
만	만	JX	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
엄청난	엄청나+ㄴ	VA+ETM	O
_	_	_	O
간접	간접	NNG	O
체험	체험	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 그는 19세기 유럽과 미국 역사의 동인을 '자유'와 '조직'으로 설명한다.
## 그는 <19세기:DUR> <유럽:ORG>과 <미국:ORG> 역사의 동인을 '자유'와 '조직'으로 설명한다.
그	그	NP	O
는	는	JX	O
_	_	_	O
19	19	SN	B-DUR
세기	세기	NNG	I-DUR
_	_	_	O
유럽	유럽	NNP	B-ORG
과	과	JC	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
역사	역사	NNG	O
의	의	JKG	O
_	_	_	O
동인	동인	NNG	O
을	을	JKO	O
_	_	_	O
'	'	SS	O
자유	자유	NNG	O
'	'	SS	O
와	와	JKB	O
_	_	_	O
'	'	SS	O
조직	조직	NNG	O
'	'	SS	O
으로	으로	JKB	O
_	_	_	O
설명한다	설명하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 한국소비자원에서 추천한 일반인을 심사위원단에 포함하고, 추가 인력이 필요할 경우 과거 호텔 근무 경력 여부를 일반인 심사위원의 자격 요건으로 삼겠다는 것이다.
## <한국소비자원:ORG>에서 추천한 일반인을 심사위원단에 포함하고, 추가 인력이 필요할 경우 과거 호텔 근무 경력 여부를 일반인 심사위원의 자격 요건으로 삼겠다는 것이다.
한국소비자원	한국소비자원	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
추천한	추천하+ㄴ	VV+ETM	O
_	_	_	O
일반인	일반인	NNG	O
을	을	JKO	O
_	_	_	O
심사	심사	NNG	O
위원단	위원단	NNG	O
에	에	JKB	O
_	_	_	O
포함하	포함하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
인력	인력	NNG	O
이	이	JKS	O
_	_	_	O
필요할	필요하+ㄹ	VA+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
호텔	호텔	NNG	O
_	_	_	O
근무	근무	NNG	O
_	_	_	O
경력	경력	NNG	O
_	_	_	O
여부	여부	NNG	O
를	를	JKO	O
_	_	_	O
일반인	일반인	NNG	O
_	_	_	O
심사	심사	NNG	O
위원	위원	NNG	O
의	의	JKG	O
_	_	_	O
자격	자격	NNG	O
_	_	_	O
요건	요건	NNG	O
으로	으로	JKB	O
_	_	_	O
삼	삼	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 당시 이명박 후보의 독주 체제 속에 보수 진영은 이명박 이회창 후보로, 진보 진영은 정동영 문국현 권영길 후보로 표심이 갈렸다.
## 당시 <이명박:PER> 후보의 독주 체제 속에 보수 진영은 <이명박:PER> <이회창:PER> 후보로, 진보 진영은 <정동영:PER> <문국현:PER> <권영길:PER> 후보로 표심이 갈렸다.
당시	당시	NNG	O
_	_	_	O
이명박	이명박	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
의	의	JKG	O
_	_	_	O
독주	독주	NNG	O
_	_	_	O
체제	체제	NNG	O
_	_	_	O
속	속	NNG	O
에	에	JKB	O
_	_	_	O
보수	보수	NNG	O
_	_	_	O
진영	진영	NNG	O
은	은	JX	O
_	_	_	O
이명박	이명박	NNP	B-PER
_	_	_	O
이회창	이회창	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
로	로	JKB	O
,	,	SP	O
_	_	_	O
진보	진보	NNG	O
_	_	_	O
진영	진영	NNG	O
은	은	JX	O
_	_	_	O
정동영	정동영	NNP	B-PER
_	_	_	O
문국현	문국현	NNP	B-PER
_	_	_	O
권영길	권영길	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
로	로	JKB	O
_	_	_	O
표	표	NNG	O
심	심	XSN	O
이	이	JKS	O
_	_	_	O
갈	갈리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 포지션은 2루수. 주전 유격수는 올해 초 뉴욕 양키스에 입단한 1년 후배 박효준에게 넘겼다.
## 포지션은 <2루수:NOH>. 주전 유격수는 올해 초 <뉴욕 양키스:ORG>에 입단한 <1년:NOH> 후배 <박효준:PER>에게 넘겼다.
포지션	포지션	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
루수	루수	NNG	I-NOH
.	.	SF	O
_	_	_	O
주전	주전	NNG	O
_	_	_	O
유격수	유격수	NNG	O
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
초	초	NNB	O
_	_	_	O
뉴욕	뉴욕	NNP	B-ORG
_	_	_	I-ORG
