## 1
## 정 원내대표는 “우 수석이 기관 증인으로 채택됐으니 나오는 게 원칙이고 증언을 해주는 것이 지금으로선 맞다고 생각한다”고 말했다.
## <정:PER> 원내대표는 “<우:PER> 수석이 기관 증인으로 채택됐으니 나오는 게 원칙이고 증언을 해주는 것이 지금으로선 맞다고 생각한다”고 말했다.
정	정	NNP	B-PER
_	_	_	O
원내	원내	NNG	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
우	우	IC	B-PER
_	_	_	O
수석	수석	NNG	O
이	이	JKS	O
_	_	_	O
기관	기관	NNG	O
_	_	_	O
증인	증인	NNG	O
으로	으로	JKB	O
_	_	_	O
채택	채택되	VV	O
됐	었	EP	O
으니	으니	EC	O
_	_	_	O
나오	나오	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
원칙	원칙	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
증언	증언	NNG	O
을	을	JKO	O
_	_	_	O
해	하+여	VV+EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
지금	지금	NNG	O
으로선	으로서+ㄴ	JKB+JX	O
_	_	_	O
맞	맞	VV	O
다고	다고	EC	O
_	_	_	O
생각한다	생각하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 내부 심사를 통해 후보 10명을 선발하며 이들 10명을 대상으로 카메라 테스트와 SNS 소셜투표를 진행해 최종 3명의 모델을 선정한다.
## 내부 심사를 통해 후보 <10명:NOH>을 선발하며 이들 <10명:NOH>을 대상으로 카메라 테스트와 SNS 소셜투표를 진행해 최종 <3명:NOH>의 모델을 선정한다.
내부	내부	NNG	O
_	_	_	O
심사	심사	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
후보	후보	NNG	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
선발하	선발하	VV	O
며	며	EC	O
