## 1
## 올스타 15회 선정된 농구계 전설“여정을 함께해 고마웠다”며 작별 또 한 명의 미국프로농구(NBA) 전설이 코트를 떠난다.
## 올스타 <15회:NOH> 선정된 농구계 전설“여정을 함께해 고마웠다”며 작별 또 한 명의 <미국프로농구:ORG>(<NBA:ORG>) 전설이 코트를 떠난다.
올스타	올스타	NNG	O
_	_	_	O
15	15	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
선정된	선정되+ㄴ	VV+ETM	O
_	_	_	O
농구	농구	NNG	O
계	계	NNG	O
_	_	_	O
전설	전설	NNG	O
“	“	SS	O
여정	여정	NNG	O
을	을	JKO	O
_	_	_	O
함께해	함께하+여	VV+EC	O
_	_	_	O
고마	고맙	VA	O
웠	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
작별	작별	NNG	O
_	_	_	O
또	또	MAG	O
_	_	_	O
한	한	MM	O
_	_	_	O
명	명	NNB	O
의	의	JKG	O
_	_	_	O
미국	미국	NNP	B-ORG
프로	프로	NNG	I-ORG
농구	농구	NNG	I-ORG
(	(	SS	O
NBA	NBA	SL	B-ORG
)	)	SS	O
_	_	_	O
전설	전설	NNG	O
이	이	JKS	O
_	_	_	O
코트	코트	NNG	O
를	를	JKO	O
_	_	_	O
떠난다	떠나+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 황 씨는 “근처에 버섯 종균을 사러 왔다가 나뭇가지 사이에 흰색 물체가 움직이는 게 보여서 조용히 다가가 살펴보니 참새였다”며 “흰색 참새는 태어나서 처음 보는 것이라 신기했고, 한동안 참새가 움직이지 않아 찍을 수 있었다”고 말했다.
## <황:PER> 씨는 “근처에 버섯 종균을 사러 왔다가 나뭇가지 사이에 흰색 물체가 움직이는 게 보여서 조용히 다가가 살펴보니 참새였다”며 “흰색 참새는 태어나서 처음 보는 것이라 신기했고, 한동안 참새가 움직이지 않아 찍을 수 있었다”고 말했다.
황	황	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
근처	근처	NNG	O
에	에	JKB	O
_	_	_	O
버섯	버섯	NNG	O
_	_	_	O
종균	종균	NNG	O
을	을	JKO	O
_	_	_	O
사	사	VV	O
러	러	EC	O
_	_	_	O
왔	+았	+EP	O
다가	다가	EC	O
_	_	_	O
나뭇가지	나뭇가지	NNG	O
_	_	_	O
사이	사이	NNG	O
에	에	JKB	O
_	_	_	O
흰색	흰색	NNG	O
_	_	_	O
물체	물체	NNG	O
가	가	JKS	O
_	_	_	O
움직이	움직이	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
보	보이	VV	O
여서	어서	EC	O
_	_	_	O
조용히	조용히	MAG	O
_	_	_	O
