## 1
## 재계에선 이 부회장이 추후 삼성전자 이사회 의장은 맡되 대표이사(CEO)는 맡지 않을 것이란 추측도 나온다.
## 재계에선 <이:PER> 부회장이 추후 <삼성전자 이사회:ORG> 의장은 맡되 대표이사(CEO)는 맡지 않을 것이란 추측도 나온다.
재계	재계	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
이	이	MM	B-PER
_	_	_	O
부회장	부회장	NNG	O
이	이	JKS	O
_	_	_	O
추후	추후	NNG	O
_	_	_	O
삼성전자	삼성전자	NNP	B-ORG
_	_	_	I-ORG
이사회	이사회	NNG	I-ORG
_	_	_	O
의장	의장	NNG	O
은	은	JX	O
_	_	_	O
맡	맡	VV	O
되	되	EC	O
_	_	_	O
대표	대표	NNG	O
이사	이사	NNG	O
(	(	SS	O
CEO	CEO	SL	O
)	)	SS	O
는	는	JX	O
_	_	_	O
맡	맡	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
란	란	ETM	O
_	_	_	O
추측	추측	NNG	O
도	도	JX	O
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 인도 최대 기업 중 하나인 릴라이언스 인더스트리(Reliance Industries)의 무케시 암바니 회장은 “다수 종업원을 대상으로 양질의 교육을 전파하는 가장 효율적인 수단은 바로 기술”이라고 말했다.
## <인도:LOC> 최대 기업 중 <하나:NOH>인 <릴라이언스 인더스트리:ORG>(<Reliance Industries:ORG>)의 <무케시 암바니:PER> 회장은 “다수 종업원을 대상으로 양질의 교육을 전파하는 가장 효율적인 수단은 바로 기술”이라고 말했다.
인도	인도	NNP	B-LOC
_	_	_	O
최대	최대	NNG	O
_	_	_	O
기업	기업	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NNG	B-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
릴	릴	NNG	B-ORG
라이언스	라이언스	NNG	I-ORG
_	_	_	I-ORG
인더스트리	인더스트리	NNG	I-ORG
(	(	SS	O
Reliance	Reliance	SL	B-ORG
_	_	_	I-ORG
Industries	Industries	SL	I-ORG
)	)	SS	O
