## 1
## 광복군이 독립을 염원하며 서명한 임시의정원 태극기를 재현해 애국선열에 대한 감사, 통일에 대한 염원 등 시민들의 메시지가 적혀 있다.
## <광복군:ORG>이 독립을 염원하며 서명한 임시의정원 태극기를 재현해 애국선열에 대한 감사, 통일에 대한 염원 등 시민들의 메시지가 적혀 있다.
광복군	광복군	NNG	B-ORG
이	이	JKS	O
_	_	_	O
독립	독립	NNG	O
을	을	JKO	O
_	_	_	O
염원하	염원하	VV	O
며	며	EC	O
_	_	_	O
서명한	서명하+ㄴ	VV+ETM	O
_	_	_	O
임시	임시	NNG	O
의정원	의정원	NNG	O
_	_	_	O
태극기	태극기	NNG	O
를	를	JKO	O
_	_	_	O
재현해	재현하+여	VV+EC	O
_	_	_	O
애국선열	애국선열	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
감사	감사	NNG	O
,	,	SP	O
_	_	_	O
통일	통일	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
염원	염원	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
시민	시민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
메시지	메시지	NNG	O
가	가	JKS	O
_	_	_	O
적혀	적히+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## [멘털갑] 최태웅 감독은 어떻게 선수 마음을 사로잡았나
## [멘털갑] <최태웅:PER> 감독은 어떻게 선수 마음을 사로잡았나
[	[	SS	O
멘털	멘털	NNG	O
갑	갑	NNG	O
]	]	SS	O
_	_	_	O
최태웅	최태웅	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
선수	선수	NNG	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
사로잡	사로잡	VV	O
았	았	EP	O
나	나	JC	O

## 3
## 1차 캠프를 마무리한 이 감독은 “훈련 때 예의와 자세 등의 중요성에 대해서 항상 강조하고 있는데 선수들이 잘 이해해주고 행동으로 보여주고 있다.
## <1차:NOH> 캠프를 마무리한 <이:PER> 감독은 “훈련 때 예의와 자세 등의 중요성에 대해서 항상 강조하고 있는데 선수들이 잘 이해<해주:LOC>고 행동으로 보여주고 있다.
1	1	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
캠프	캠프	NNG	O
를	를	JKO	O
_	_	_	O
마무리한	마무리하+ㄴ	VV+ETM	O
_	_	_	O
이	이	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
