## 1
## 세율은 증여가액에서 5억 원을 공제한 액수에 대해 10%로 적용된다.
## 세율은 증여가액에서 <5억 원:MNY>을 공제한 액수에 대해 <10%:PNT>로 적용된다.
세율	세율	NNG	O
은	은	JX	O
_	_	_	O
증여	증여	NNG	O
가액	가액	NNG	O
에서	에서	JKB	O
_	_	_	O
5	5	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
공제한	공제하+ㄴ	VV+ETM	O
_	_	_	O
액수	액수	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
10	10	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
적용된다	적용되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 청와대는 앞으로 개헌 논의를 주도해 나가겠다는 뜻도 밝혔다.
## <청와대:ORG>는 앞으로 개헌 논의를 주도해 나가겠다는 뜻도 밝혔다.
청와대	청와대	NNP	B-ORG
는	는	JX	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
개헌	개헌	NNG	O
_	_	_	O
논의	논의	NNG	O
를	를	JKO	O
_	_	_	O
주도해	주도하+여	VV+EC	O
_	_	_	O
나가	나가	VX	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
뜻	뜻	NNG	O
도	도	JX	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이에 앞서 여야가 합의했던 국회 규칙안에는 2일 실무기구 합의문이 첨부돼 있었지만 새 합의에는 첨부되지 않는다.
## 이에 앞서 여야가 합의했던 국회 규칙안에는 <2일:DAT> 실무기구 합의문이 첨부돼 있었지만 새 합의에는 첨부되지 않는다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
여야	여야	NNG	O
가	가	JKS	O
_	_	_	O
합의	합의하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
국회	국회	NNG	O
_	_	_	O
규칙	규칙	NNG	O
안	안	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
2	2	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
실무	실무	NNG	O
기구	기구	NNG	O
_	_	_	O
합의	합의	NNG	O
문	문	XSN	O
이	이	JKS	O
_	_	_	O
첨부돼	첨부되+어	VV+EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
지만	지만	EC	O
_	_	_	O
새	새	MM	O
_	_	_	O
합의	합의	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
첨부되	첨부되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는다	는다	EF	O
.	.	SF	O

## 4
