## 1
## 스포츠 세단 ‘재규어 XE’ 한국 판매 시작
## 스포츠 세단 ‘<재규어 XE:POH>’ <한국:LOC> 판매 시작
스포츠	스포츠	NNG	O
_	_	_	O
세단	세단	NNG	O
_	_	_	O
‘	‘	SS	O
재규어	재규어	NNG	B-POH
_	_	_	I-POH
XE	XE	SL	I-POH
’	’	SS	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
판매	판매	NNG	O
_	_	_	O
시작	시작	NNG	O

## 2
## 홍 후보는 "모두가 뛰어난 인재로 성장하는 창의적 교육, 교사가 학생을 열심히 가르치고 이런 교사가 인정받는 교육현장, 학부모가 자녀를 믿고 맡기는 학교를 만들어 학생·교사·학부모가 모두 행복해지는 교육대개혁을 반드시 이루겠다"고 말했다.
## <홍:PER> 후보는 "모두가 뛰어난 인재로 성장하는 창의적 교육, 교사가 학생을 열심히 가르치고 이런 교사가 인정받는 교육현장, 학부모가 자녀를 믿고 맡기는 학교를 만들어 학생·교사·학부모가 모두 행복해지는 교육대개혁을 반드시 이루겠다"고 말했다.
홍	홍	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
"	"	SS	O
모두	모두	NNG	O
가	가	JKS	O
_	_	_	O
뛰어난	뛰어나+ㄴ	VA+ETM	O
_	_	_	O
인재	인재	NNG	O
로	로	JKB	O
_	_	_	O
성장하	성장하	VV	O
는	는	ETM	O
_	_	_	O
창의적	창의적	NNG	O
_	_	_	O
교육	교육	NNG	O
,	,	SP	O
_	_	_	O
교사	교사	NNG	O
가	가	JKS	O
_	_	_	O
학생	학생	NNG	O
을	을	JKO	O
_	_	_	O
열심히	열심히	MAG	O
_	_	_	O
가르치	가르치	VV	O
고	고	EC	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
교사	교사	NNG	O
가	가	JKS	O
_	_	_	O
인정받	인정받	VV	O
는	는	ETM	O
_	_	_	O
교육	교육	NNG	O
현장	현장	NNG	O
,	,	SP	O
_	_	_	O
학부모	학부모	NNG	O
가	가	JKS	O
_	_	_	O
자녀	자녀	NNG	O
를	를	JKO	O
_	_	_	O
믿	믿	VV	O
고	고	EC	O
_	_	_	O
맡기	맡기	VV	O
는	는	ETM	O
_	_	_	O
학교	학교	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
_	_	_	O
학생	학생	NNG	O
·	·	SP	O
교사	교사	NNG	O
·	·	SP	O
학부모	학부모	NNG	O
가	가	JKS	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
행복해	행복하+여	VA+EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
교육대	교육대	NNG	O
개혁	개혁	NNG	O
을	을	JKO	O
_	_	_	O
반드시	반드시	MAG	O
_	_	_	O
이루	이루	VV	O
겠	겠	EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 오랜 기간 천문역리학을 연구해 온 이 씨는 ‘역법의 역사와 역리학의 바른 이해’ 등 3권의 관련 서적을 저술했으며 방송 출연과 신문 기고 등을 통해 생활 역법과 풍수를 알리고 있다.
## 오랜 기간 천문역리학을 연구해 온 <이:PER> 씨는 ‘역법의 역사와 역리학의 바른 이해’ 등 <3권:NOH>의 관련 서적을 저술했으며 방송 출연과 신문 기고 등을 통해 생활 역법과 풍수를 알리고 있다.
오랜	오랜	MM	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
천문	천문	NNG	O
역리	역리	NNG	O
학	학	XSN	O
을	을	JKO	O
_	_	_	O
연구해	연구하+여	VV+EC	O
_	_	_	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
이	이	MM	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
역법	역법	NNG	O
의	의	JKG	O
_	_	_	O
역사	역사	NNG	O
와	와	JC	O
_	_	_	O
역리	역리	NNG	O
학	학	XSN	O
의	의	JKG	O
_	_	_	O
바른	바르+ㄴ	VA+ETM	O
_	_	_	O
이해	이해	NNG	O
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
3	3	SN	B-NOH
권	권	NNB	I-NOH
의	의	JKG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
서적	서적	NNG	O
을	을	JKO	O
_	_	_	O
저술	저술하	VV	O
했	였	EP	O
으며	으며	EC	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
출연	출연	NNG	O
과	과	JC	O
_	_	_	O
신문	신문	NNG	O
_	_	_	O
기고	기고	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
생활	생활	NNG	O
_	_	_	O
역법	역법	NNG	O
과	과	JC	O
_	_	_	O
풍수	풍수	NNG	O
를	를	JKO	O
_	_	_	O
알리	알리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 전용 85㎡ 이하 중소형 주택 1가구를 보유해도 조합원 자격이 주어진다.
## 전용 <85㎡:NOH> 이하 중소형 주택 1가구를 보유해도 조합원 자격이 주어진다.
전용	전용	NNG	O
_	_	_	O
85	85	SN	B-NOH
㎡	㎡	SW	I-NOH
_	_	_	O
이하	이하	NNG	O
_	_	_	O
중소형	중소형	NNG	O
_	_	_	O
주택	주택	NNG	O
_	_	_	O
1	1	SN	O
가구	가구	NNG	O
를	를	JKO	O
_	_	_	O
보유해도	보유하+여도	VV+EC	O
_	_	_	O
조합원	조합원	NNG	O
_	_	_	O
자격	자격	NNG	O
이	이	JKS	O
_	_	_	O
주어진다	주어지+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## [2016 한국산업대상/동반성장 부문]창조경영과 사회공헌으로 한국사회를 불 밝히다
## [<2016:DAT> <한국산업대상:POH>/동반성장 부문]창조경영과 사회공헌으로 <한국:ORG>사회를 불 밝히다
[	[	SS	O
2016	2016	SN	B-DAT
_	_	_	O
한국	한국	NNP	B-POH
산업	산업	NNG	I-POH
대상	대상	NNG	I-POH
/	/	SP	O
동반	동반	NNG	O
성장	성장	NNG	O
_	_	_	O
