## 1
## 기존엔 도로 폭이 8m가 넘으면 공동관리가 불가능했지만 앞으로는 도로의 지하로 아파트 단지가 연결되면 공동관리가 가능해진다.
## 기존엔 도로 폭이 <8m:NOH>가 넘으면 공동관리가 불가능했지만 앞으로는 도로의 지하로 아파트 단지가 연결되면 공동관리가 가능해진다.
기존	기존	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
도로	도로	NNG	O
_	_	_	O
폭	폭	NNG	O
이	이	JKS	O
_	_	_	O
8	8	SN	B-NOH
m	m	SL	I-NOH
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
으면	으면	EC	O
_	_	_	O
공동	공동	NNG	O
관리	관리	NNG	O
가	가	JKS	O
_	_	_	O
불가능	불가능하	VA	O
했	었	EP	O
지만	지만	EC	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
는	는	JX	O
_	_	_	O
도로	도로	NNG	O
의	의	JKG	O
_	_	_	O
지하	지하	NNG	O
로	로	XSN	O
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
단지	단지	NNG	O
가	가	JKS	O
_	_	_	O
연결되	연결되	VV	O
면	면	EC	O
_	_	_	O
공동	공동	NNG	O
관리	관리	NNG	O
가	가	JKS	O
_	_	_	O
가능해	가능하+여	VA+EC	O
진다	지+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 이같은 활동상은 일본 외무성의 「한국민족운동사료」에도 기록돼 일본 당국도 그의 활동에 주목하고 있었음을 보여주고 있다.
## 이같은 활동상은 <일본 외무성:ORG>의 「<한국민족운동사료:POH>」에도 기록돼 <일본:ORG> 당국도 그의 활동에 주목하고 있었음을 보여주고 있다.
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
활동	활동	NNG	O
상	상	NNG	O
은	은	JX	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	I-ORG
외무성	외무성	NNG	I-ORG
의	의	JKG	O
_	_	_	O
「	「	SS	O
한국	한국	NNP	B-POH
민족	민족	NNG	I-POH
운동사	운동사	NNG	I-POH
료	료	XSN	I-POH
」	」	SS	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
기록돼	기록되+어	VV+EC	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	O
당국	당국	NNG	O
도	도	JX	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
활동	활동	NNG	O
에	에	JKB	O
_	_	_	O
주목하	주목하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
음	음	ETN	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## ‘복면가왕’, ‘마이 리틀 텔레비전’ 같은 정말 혁신적인 프로그램을 만나서 좋았고, ‘세바퀴’도 기억해주셨으면 하고, ‘능력자들’도 열심히 해보겠다”고 말했다.
## ‘<복면가왕:POH>’, ‘<마이 리틀 텔레비전:POH>’ 같은 정말 혁신적인 프로그램을 만나서 좋았고, ‘<세바퀴:POH>’도 기억해주셨으면 하고, ‘<능력자들:POH>’도 열심히 해보겠다”고 말했다.
‘	‘	SS	O
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
마이	마이	NNG	B-POH
_	_	_	I-POH
리틀	리틀	NNG	I-POH
_	_	_	I-POH
텔레비전	텔레비전	NNG	I-POH
’	’	SS	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
정말	정말	MAG	O
_	_	_	O
혁신적	혁신적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
만나서	만나+아서	VV+EC	O
_	_	_	O
좋	좋	VA	O
았	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
세	세	NNB	B-POH
바퀴	바퀴	NNG	I-POH
’	’	SS	O
도	도	JX	O
_	_	_	O
기억해	기억하+여	VV+EC	O
주	주+시	VX+EP	O
셨	었	EP	O
으면	으면	EC	O
_	_	_	O
하	하	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
능력자	능력자	NNG	B-POH
들	들	XSN	I-POH
’	’	SS	O
도	도	JX	O
_	_	_	O
열심히	열심히	MAG	O
_	_	_	O
해	하+여	VV+EC	O
보	보	VX	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 마지막으로 그는 “MC그리 보고 있냐?”며 “너 잘하고 있다”고 아들에 대한 애정을 드러냈다.
## 마지막으로 그는 “<MC그리:PER> 보고 있냐?”며 “너 잘하고 있다”고 아들에 대한 애정을 드러냈다.
마지막	마지막	NNG	O
으로	으로	JKB	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
MC	MC	SL	B-PER
그리	그리	MAG	I-PER
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
냐	냐	EF	O
?	?	SF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
너	너	NP	O
_	_	_	O
잘하	잘하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
