## 1
## 이완영 의원은 이날도 위증 지시 의혹을 거듭 부인하며 “정 이사장과의 만남도 모두 그쪽에서 먼저 연락해 보게 된 것”이라고 주장했다.
## <이완영:PER> 의원은 이날도 위증 지시 의혹을 거듭 부인하며 “<정:PER> 이사장과의 만남도 모두 그쪽에서 먼저 연락해 보게 된 것”이라고 주장했다.
이완영	이완영	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
도	도	JX	O
_	_	_	O
위증	위증	NNG	O
_	_	_	O
지시	지시	NNG	O
_	_	_	O
의혹	의혹	NNG	O
을	을	JKO	O
_	_	_	O
거듭	거듭	MAG	O
_	_	_	O
부인하	부인하	VV	O
며	며	EC	O
_	_	_	O
“	“	SS	O
정	정	MAG	B-PER
_	_	_	O
이사장	이사장	NNG	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
만남	만남	NNG	O
도	도	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
그쪽	그쪽	NP	O
에서	에서	JKB	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
연락해	연락하+여	VV+EC	O
_	_	_	O
보	보	VV	O
게	게	EC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 하지만 북한의 무모한 도발 앞에 이런 선택지를 아예 배제할 수는 없다.
## 하지만 <북한:ORG>의 무모한 도발 앞에 이런 선택지를 아예 배제할 수는 없다.
하지만	하지만	MAJ	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
무모한	무모하+ㄴ	VA+ETM	O
_	_	_	O
도발	도발	NNG	O
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
선택지	선택지	NNG	O
를	를	JKO	O
_	_	_	O
아예	아예	MAG	O
_	_	_	O
배제할	배제하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
는	는	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 추미애 더불어민주당 대표가 ‘반올림’(반도체 노동자의 건강과 인권 지킴이) 폄하 발언으로 논란을 빚은 양향자 최고위원에게 ‘구두경고’를 했다.
## <추미애:PER> <더불어민주당:ORG> 대표가 ‘<반올림:ORG>’(<반도체 노동자의 건강과 인권 지킴이:ORG>) 폄하 발언으로 논란을 빚은 <양향자:PER> 최고위원에게 ‘구두경고’를 했다.
추미애	추미애	NNP	B-PER
_	_	_	O
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
대표	대표	NNG	O
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
반올림	반올림	NNG	B-ORG
’	’	SS	O
(	(	SS	O
반도체	반도체	NNG	B-ORG
_	_	_	I-ORG
노동자	노동자	NNG	I-ORG
의	의	JKG	I-ORG
_	_	_	I-ORG
건강	건강	NNG	I-ORG
과	과	JC	I-ORG
_	_	_	I-ORG
인권	인권	NNG	I-ORG
_	_	_	I-ORG
지킴이	지킴이	NNG	I-ORG
)	)	SS	O
_	_	_	O
폄하	폄하	NNG	O
_	_	_	O
발언	발언	NNG	O
으로	으로	JKB	O
_	_	_	O
논란	논란	NNG	O
을	을	JKO	O
_	_	_	O
빚	빚	VV	O
은	은	ETM	O
_	_	_	O
양향자	양향자	NNP	B-PER
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
에게	에게	JKB	O
_	_	_	O
‘	‘	SS	O
구두	구두	NNG	O
경고	경고	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 박경미 당 대변인은 8일 국회에서 가진 브리핑에서 “양 최고위원의 삼성 직업병 피해 노동자를 위한 단체, 반올림에 대한 발언과 관련해 사과드린다”며 “양 최고위원의 진의는 반올림을 폄하하기 위한 것은 아니었다.
## <박경미:PER> 당 대변인은 <8일:DAT> 국회에서 가진 브리핑에서 “<양:PER> 최고위원의 <삼성:ORG> 직업병 피해 노동자를 위한 단체, <반올림:ORG>에 대한 발언과 관련해 사과드린다”며 “<양:PER> 최고위원의 진의는 <반올림:ORG>을 폄하하기 위한 것은 아니었다.
박경미	박경미	NNP	B-PER
_	_	_	O
당	당	NNG	O
_	_	_	O
대변인	대변인	NNG	O
은	은	JX	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국회	국회	NNG	O
에서	에서	JKB	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
브리핑	브리핑	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
양	양	NNG	B-PER
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
의	의	JKG	O
_	_	_	O
삼성	삼성	NNP	B-ORG
_	_	_	O
직업병	직업병	NNG	O
_	_	_	O
피해	피하+여	VV+EC	O
_	_	_	O
노동자	노동자	NNG	O
를	를	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
단체	단체	NNG	O
,	,	SP	O
_	_	_	O
반올림	반올림	NNG	B-ORG
