## 1
## 서울대가 올해 자연과학대학 신입생을 대상으로 글쓰기 능력 평가를 실시한다.
## <서울대:ORG>가 올해 자연과학대학 신입생을 대상으로 글쓰기 능력 평가를 실시한다.
서울대	서울대	NNP	B-ORG
가	가	JKS	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
자연	자연	NNG	O
과학	과학	NNG	O
대학	대학	NNG	O
_	_	_	O
신입생	신입생	NNG	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
글쓰기	글쓰기	NNG	O
_	_	_	O
능력	능력	NNG	O
_	_	_	O
평가	평가	NNG	O
를	를	JKO	O
_	_	_	O
실시한다	실시하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 3월 출시된 ‘크로스 퍼터’(Cross Putter·사진)는 편안하고 쉬운 어드레스와 정확한 퍼팅이 기본 콘셉트다.
## <3월:DAT> 출시된 ‘<크로스 퍼터:POH>’(<Cross Putter:POH>·사진)는 편안하고 쉬운 어드레스와 정확한 퍼팅이 기본 콘셉트다.
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
출시된	출시되+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
크로스	크로스	NNG	B-POH
_	_	_	I-POH
퍼터	퍼터	NNG	I-POH
’	’	SS	O
(	(	SS	O
Cross	Cross	SL	B-POH
_	_	_	I-POH
Putter	Putter	SL	I-POH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
는	는	JX	O
_	_	_	O
편안하	편안하	VA	O
고	고	EC	O
_	_	_	O
쉬	쉽	VA	O
운	ㄴ	ETM	O
_	_	_	O
어드레스	어드레스	NNG	O
와	와	JC	O
_	_	_	O
정확한	정확하+ㄴ	VA+ETM	O
_	_	_	O
퍼팅	퍼팅	NNG	O
이	이	JKS	O
_	_	_	O
기본	기본	NNG	O
_	_	_	O
콘셉트	콘셉트	NNG	O
다	다	NNG	O
.	.	SF	O

## 3
## 방송이 나가고 2주 뒤인 지난 9월 19일, 한상훈 셰프가 ‘조용히’ 운영 중이라는 신사동 레스토랑에서 그를 만났다.
## 방송이 나가고 <2주:DUR> 뒤인 지난 <9월 19일:DAT>, <한상훈:PER> 셰프가 ‘조용히’ 운영 중이라는 <신사동:LOC> 레스토랑에서 그를 만났다.
방송	방송	NNG	O
이	이	JKS	O
_	_	_	O
나가	나가	VV	O
고	고	EC	O
_	_	_	O
2	2	SN	B-DUR
주	주	NNB	I-DUR
_	_	_	O
뒤	뒤	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
19	19	SN	I-DAT
일	일	NNB	I-DAT
,	,	SP	O
_	_	_	O
한상훈	한상훈	NNP	B-PER
_	_	_	O
셰프	셰프	NNG	O
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
조용히	조용히	MAG	O
’	’	SS	O
_	_	_	O
운영	운영	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
신사동	신사동	NNP	B-LOC
_	_	_	O
레스토랑	레스토랑	NNG	O
에서	에서	JKB	O
_	_	_	O
그	그	NP	O
를	를	JKO	O
_	_	_	O
만났	만나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
