## 1
## 박총장도 이 모임에 참석, 파장을 불러일으킨 이번 발언의 경위와 배경을 설명할 예정이다.
## <박:PER>총장도 이 모임에 참석, 파장을 불러일으킨 이번 발언의 경위와 배경을 <설:DAT>명할 예정이다.
박	박	NNP	B-PER
총장	총장	NNG	O
도	도	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
모임	모임	NNG	O
에	에	JKB	O
_	_	_	O
참석	참석	NNG	O
,	,	SP	O
_	_	_	O
파장	파장	NNG	O
을	을	JKO	O
_	_	_	O
불러일으킨	불러일으키+ㄴ	VV+ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
발언	발언	NNG	O
의	의	JKG	O
_	_	_	O
경위	경위	NNG	O
와	와	JC	O
_	_	_	O
배경	배경	NNG	O
을	을	JKO	O
_	_	_	O
설명할	설명하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 1985년 아버지의 화과자 전문점이 도산했다.
## <1985년:DAT> 아버지의 화과자 전문점이 도산했다.
1985	1985	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
아버지	아버지	NNG	O
의	의	JKG	O
_	_	_	O
화	화	NNG	O
과자	과자	NNG	O
_	_	_	O
전문점	전문점	NNG	O
이	이	JKS	O
_	_	_	O
도산	도산하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 누리과정 예산과 역사 교과서 국정화 등 주요 현안을 두고 교육부와 대립각을 세웠던 것과는 달라진 모습이다.
## 누리과정 예산과 역사 교과서 국정화 등 주요 현안을 두고 <교육부:ORG>와 대립각을 세웠던 것과는 달라진 모습이다.
누리	누리	NNG	O
과정	과정	NNG	O
_	_	_	O
예산	예산	NNG	O
과	과	JC	O
_	_	_	O
역사	역사	NNG	O
_	_	_	O
교과서	교과서	NNG	O
_	_	_	O
국정	국정	NNG	O
화	화	XSN	O
_	_	_	O
등	등	NNB	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
현안	현안	NNG	O
을	을	JKO	O
_	_	_	O
두	두	VV	O
고	고	EC	O
_	_	_	O
교육부	교육부	NNG	B-ORG
와	와	JC	O
_	_	_	O
대립각	대립각	NNG	O
을	을	JKO	O
_	_	_	O
세	세우	VV	O
웠	었	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
과	과	JKB	O
는	는	JX	O
_	_	_	O
달라진	달라지+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 심지어는 헐리우드로 가버린 배우도 초밥을 먹기위해 헬기를 타고 스튜디오로 돌아온다.
## 심지어는 <헐리우드:ORG>로 가버린 배우도 초밥을 먹기위해 헬기를 타고 스튜디오로 돌아온다.
심지어	심지어	MAG	O
는	는	JX	O
_	_	_	O
헐리우드	헐리우드	NNP	B-ORG
로	로	JKB	O
_	_	_	O
가	가+아	VV+EC	O
버린	버리+ㄴ	VX+ETM	O
_	_	_	O
배우	배우	NNG	O
도	도	JX	O
_	_	_	O
초밥	초밥	NNG	O
을	을	JKO	O
_	_	_	O
먹	먹	VV	O
기	기	ETN	O
위해	위하+여	VV+EC	O
_	_	_	O
헬기	헬기	NNG	O
를	를	JKO	O
_	_	_	O
타	타	VV	O
고	고	EC	O
_	_	_	O
스튜디오	스튜디오	NNG	O
로	로	JKB	O
_	_	_	O
돌아온다	돌아오+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 모싯잎 송편으로 유명한 전남 영광군에 있는 사회적기업 ‘산머루마을’이 설 명절을 앞두고 설·추석 절기 음식 등을 함께 담은 선물세트를 준비했다.
## 모싯잎 송편으로 유명한 <전남:LOC> <영광군:LOC>에 있는 사회적기업 ‘<산머루마을:ORG>’이 <설:DAT> 명절을 앞두고 <설:DAT>·<추석:DAT> 절기 음식 등을 함께 담은 선물세트를 준비했다.
모싯잎	모싯잎	NNG	O
_	_	_	O
송편	송편	NNG	O
으로	으로	JKB	O
_	_	_	O
유명한	유명하+ㄴ	VA+ETM	O
_	_	_	O
전남	전남	NNP	B-LOC
_	_	_	O
영광군	영광군	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
사회적	사회적	NNG	O
기업	기업	NNG	O
_	_	_	O
‘	‘	SS	O
산머루	산머루	NNG	B-ORG
마을	마을	NNG	I-ORG
’	’	SS	O
이	이	JKS	O
_	_	_	O
설	설	NNG	B-DAT
_	_	_	O
명절	명절	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
설	서+ㄹ	VV+ETM	B-DAT
·	·	SP	O
추석	추석	NNG	B-DAT
_	_	_	O
절기	절기	NNG	O
_	_	_	O
음식	음식	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
담	담	VV	O
은	은	ETM	O
_	_	_	O
선물	선물	NNG	O
세트	세트	NNG	O
를	를	JKO	O
_	_	_	O
준비	준비하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 테크니션 40은 당일 산행 및 중거리 산행에 적합한 40리터짜리 배낭으로 밀레가 자체 개발해 특허를 출원한 젤 컴포트(Gel Comfort) 시스템을 장착했다.
## <테크니션 40:POH>은 당일 산행 및 중거리 산행에 적합한 <40리터:NOH>짜리 배낭으로 <밀레:ORG>가 자체 개발해 특허를 출원한 <젤 컴포트:POH>(<Gel Comfort:POH>) 시스템을 장착했다.
테크니션	테크니션	NNG	B-POH
_	_	_	I-POH
40	40	SN	I-POH
은	은	JX	O
_	_	_	O
당일	당일	NNG	O
_	_	_	O
산행	산행	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
중거리	중거리	NNG	O
_	_	_	O
산행	산행	NNG	O
에	에	JKB	O
_	_	_	O
적합한	적합하+ㄴ	VA+ETM	O
_	_	_	O
40	40	SN	B-NOH
리터	리터	NNB	I-NOH
짜리	짜리	XSN	O
_	_	_	O
배낭	배낭	NNG	O
으로	으로	JKB	O
_	_	_	O
밀레	밀레	NNP	B-ORG
가	가	JKS	O
_	_	_	O
자체	자체	NNG	O
_	_	_	O
개발해	개발하+여	VV+EC	O
_	_	_	O
특허	특허	NNG	O
를	를	JKO	O
