## 1
## 1995년생 삼총사가 3년 만에 국내 무대에서 재격돌한다는 점은 새로운 흥행요소로 손꼽히고 있다.
## <1995년:DAT>생 <삼총사:NOH>가 <3년:DUR> 만에 국내 무대에서 재격돌한다는 점은 새로운 흥행요소로 손꼽히고 있다.
1995	1995	SN	B-DAT
년	년	NNB	I-DAT
생	생	XSN	O
_	_	_	O
삼총사	삼총사	NNG	B-NOH
가	가	JKS	O
_	_	_	O
3	3	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
무대	무대	NNG	O
에서	에서	JKB	O
_	_	_	O
재격돌한다는	재격돌하+ㄴ다는	VV+ETM	O
_	_	_	O
점	점	NNG	O
은	은	JX	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
흥행	흥행	NNG	O
요소	요소	NNG	O
로	로	JKB	O
_	_	_	O
손꼽히	손꼽히	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 기자는 작년에 패션스쿨로 유명한 뉴욕의 FIT(Fashion Institute of Technology)를 취재했을 때 한국인 박진배 교수에게 “FIT의 경쟁력은 어머니의 마음으로 학생들을 대하는 것”이라는 말을 듣고 놀란 적이 있었다.
## 기자는 작년에 패션스쿨로 유명한 <뉴욕:LOC>의 <FIT:ORG>(<Fashion Institute of Technology:ORG>)를 취재했을 때 <한국:LOC>인 <박진배:PER> 교수에게 “<FIT:ORG>의 경쟁력은 어머니의 마음으로 학생들을 대하는 것”이라는 말을 듣고 놀란 적이 있었다.
기자	기자	NNG	O
는	는	JX	O
_	_	_	O
작년	작년	NNG	O
에	에	JKB	O
_	_	_	O
패션	패션	NNG	O
스쿨	스쿨	NNG	O
로	로	JKB	O
_	_	_	O
유명한	유명하+ㄴ	VA+ETM	O
_	_	_	O
뉴욕	뉴욕	NNP	B-LOC
의	의	JKG	O
_	_	_	O
FIT	FIT	SL	B-ORG
(	(	SS	O
Fashion	Fashion	SL	B-ORG
_	_	_	I-ORG
Institute	Institute	SL	I-ORG
_	_	_	I-ORG
of	of	SL	I-ORG
_	_	_	I-ORG
Technology	Technology	SL	I-ORG
)	)	SS	O
를	를	JKO	O
_	_	_	O
취재	취재하	VV	O
했	였	EP	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
한국인	한국인	NNG	O
_	_	_	O
박진배	박진배	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
FIT	FIT	SL	B-ORG
의	의	JKG	O
_	_	_	O
경쟁력	경쟁력	NNG	O
은	은	JX	O
_	_	_	O
어머니	어머니	NNG	O
의	의	JKG	O
_	_	_	O
마음	마음	NNG	O
으로	으로	JKB	O
_	_	_	O
학생	학생	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
대하	대하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
듣	듣	VV	O
고	고	EC	O
_	_	_	O
놀란	놀라+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 사헌부뿐만 아니라 의금부·형조·포도청·한성부 등도 수사권을 갖고 있었다.
## <사헌부:ORG>뿐만 아니라 <의금부:ORG>·<형조:ORG>·<포도청:ORG>·<한성부:ORG> 등도 수사권을 갖고 있었다.
사헌부	사헌부	NNG	B-ORG
뿐	뿐	JX	O
만	만	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
의금부	의금부	NNG	B-ORG
·	·	SP	O
형조	형조	NNG	B-ORG
·	·	SP	O
포도청	포도청	NNG	B-ORG
·	·	SP	O
한성부	한성부	NNG	B-ORG
_	_	_	O
등	등	NNB	O
도	도	JX	O
_	_	_	O
수사권	수사권	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 그는 “중국 경제는 정부의 적극적인 경제 띄우기에도 어려움을 겪을 수 있다”며 “내년 중국 국내총생산(GDP) 성장률이 7% 아래로 떨어질 수 있다”고 말했다.
## 그는 “<중국:ORG> 경제는 <정부:ORG>의 적극적인 경제 띄우기에도 어려움을 겪을 수 있다”며 “내년 <중국:ORG> 국내총생산(GDP) 성장률이 <7%:PNT> 아래로 떨어질 수 있다”고 말했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
중국	중국	NNP	B-ORG
_	_	_	O
경제	경제	NNG	O
는	는	JX	O
_	_	_	O
정부	정부	NNG	B-ORG
의	의	JKG	O
_	_	_	O
적극적	적극적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
띄우	띄우	VV	O
기	기	ETN	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
어려움	어려움	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
내년	내년	NNG	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
국내	국내	NNG	O
총	총	XPN	O
생산	생산	NNG	O
(	(	SS	O
GDP	GDP	SL	O
)	)	SS	O
_	_	_	O
성장률	성장률	NNG	O
이	이	JKS	O
_	_	_	O
7	7	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
아래	아래	NNG	O
로	로	JKB	O
_	_	_	O
떨어질	떨어지+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 가난한 뭄바이에서 최고 부자의 뉴욕에 이르기까지 선진국과 후진국, 부자와 빈자를 가르지 않고 애용되니 과연 진정한 세계화와 빈부 통합을 이루었고, 남자와 여자가 똑같이 입으니 진정한 남녀평등을 이루었으며, 청년에서 노년까지 두루 입으니 세대를 화해시켰다.
## 가난한 <뭄바이:LOC>에서 최고 부자의 <뉴욕:LOC>에 이르기까지 선진국과 후진국, 부자와 빈자를 가르지 않고 애용되니 과연 진정한 세계화와 빈부 통합을 이루었고, 남자와 여자가 똑같이 입으니 진정한 남녀평등을 이루었으며, 청년에서 노년까지 두루 입으니 세대를 화해시켰다.
가난한	가난하+ㄴ	VA+ETM	O
_	_	_	O
뭄바이	뭄바이	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
부자	부자	NNG	O
의	의	JKG	O
_	_	_	O
뉴욕	뉴욕	NNP	B-LOC
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
기	기	ETN	O
까지	까지	JX	O
_	_	_	O
선진국	선진국	NNG	O
과	과	JC	O
_	_	_	O
후진국	후진국	NNG	O
,	,	SP	O
_	_	_	O
부자	부자	NNG	O
와	와	JC	O
_	_	_	O
빈자	빈자	NNG	O
를	를	JKO	O
_	_	_	O
가르	가르	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
애용되	애용되	VV	O
니	니	EC	O
_	_	_	O
과연	과연	MAG	O
_	_	_	O
진정한	진정하+ㄴ	VA+ETM	O
_	_	_	O
세계화	세계화	NNG	O
와	와	JC	O
_	_	_	O
빈부	빈부	NNG	O
_	_	_	O
통합	통합	NNG	O
을	을	JKO	O
_	_	_	O
이루	이루	VV	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
남자	남자	NNG	O
와	와	JC	O
_	_	_	O
여자	여자	NNG	O
가	가	JKS	O
_	_	_	O
똑같이	똑같이	MAG	O
_	_	_	O
입	입	VV	O
으니	으니	EC	O
_	_	_	O
진정한	진정하+ㄴ	VA+ETM	O
_	_	_	O
남녀평등	남녀평등	NNG	O
을	을	JKO	O
_	_	_	O
이루	이루	VV	O
었	었	EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
청년	청년	NNG	O
에서	에서	JKB	O
_	_	_	O
노년	노년	NNG	O
까지	까지	JX	O
_	_	_	O
두루	두루	MAG	O
_	_	_	O
입	입	VV	O
으니	으니	EC	O
_	_	_	O
세대	세대	NNG	O
를	를	JKO	O
_	_	_	O
화해	화해	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 배우 박진희가 혼전임신 사실을 몰랐다고 털어놨다.
## 배우 <박진희:PER>가 혼전임신 사실을 몰랐다고 털어놨다.
배우	배우	NNG	O
_	_	_	O
박진희	박진희	NNP	B-PER
가	가	JKS	O
_	_	_	O
혼전	혼전	NNG	O
임신	임신	NNG	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
몰	모르	VV	O
랐	았	EP	O
다고	다고	EC	O
_	_	_	O
털어	털어놓	VV	O
