## 1
## 그러면서 복수의 관계자를 인용해 정우식 캐스팅 압력을 넣은 당사자로 A모 드라마본부장을 지목했다.
## 그러면서 복수의 관계자를 인용해 <정우식:PER> 캐스팅 압력을 넣은 당사자로 <A모:PER> 드라마본부장을 지목했다.
그러	그러	VV	O
면서	면서	EC	O
_	_	_	O
복수	복수	NNG	O
의	의	JKG	O
_	_	_	O
관계자	관계자	NNG	O
를	를	JKO	O
_	_	_	O
인용해	인용하+여	VV+EC	O
_	_	_	O
정우식	정우식	NNP	B-PER
_	_	_	O
캐스팅	캐스팅	NNG	O
_	_	_	O
압력	압력	NNG	O
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
은	은	ETM	O
_	_	_	O
당사자	당사자	NNG	O
로	로	JKB	O
_	_	_	O
A	A	SL	B-PER
모	모	MM	I-PER
_	_	_	O
드라마	드라마	NNG	O
본부	본부	NNG	O
장	장	XSN	O
을	을	JKO	O
_	_	_	O
지목	지목하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그러나 A 본부장은 “정윤회씨 아들인지는 몰랐다”며 “특정 배역에 캐스팅하라고 지시한 일은 없다”고 말했다.
## 그러나 <A:PER> 본부장은 “<정윤회:PER>씨 아들인지는 몰랐다”며 “특정 배역에 캐스팅하라고 지시한 일은 없다”고 말했다.
그러나	그러나	MAJ	O
_	_	_	O
A	A	SL	B-PER
_	_	_	O
본부	본부	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
정윤회	정윤회	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
아들	아들	NNG	O
인지	이+ㄴ지	VCP+EC	O
는	는	JX	O
_	_	_	O
몰	모르	VV	O
랐	았	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
특정	특정	NNG	O
_	_	_	O
배역	배역	NNG	O
에	에	JKB	O
_	_	_	O
캐스팅하	캐스팅하	VV	O
라고	라고	EC	O
_	_	_	O
지시한	지시하+ㄴ	VV+ETM	O
_	_	_	O
일	일	NNG	O
은	은	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 앞서 정우식은 지난 2일 한 매체와의 인터뷰를 통해 자신이 정윤회의 아들이라고 고백하며 "부친이 어머니와 이혼 한 뒤 가족들을 철저히 외면했다"고 주장했다.
## 앞서 <정우식:PER>은 지난 <2일:DAT> 한 매체와의 인터뷰를 통해 자신이 <정윤회:PER>의 아들이라고 고백하며 "부친이 어머니와 이혼 한 뒤 가족들을 철저히 외면했다"고 주장했다.
앞서	앞서	MAG	O
_	_	_	O
정우식	정우식	NNP	B-PER
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2	2	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
한	한	MM	O
_	_	_	O
매체	매체	NNG	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
정윤회	정윤회	NNP	B-PER
의	의	JKG	O
_	_	_	O
아들	아들	NNG	O
