## 1
## 매 학기가 시작되기 전에는 200만 원이 넘는 돈이 들어왔다.
## 매 학기가 시작되기 전에는 <200만 원:MNY>이 넘는 돈이 들어왔다.
매	매	MM	O
_	_	_	O
학기	학기	NNG	O
가	가	JKS	O
_	_	_	O
시작되	시작되	VV	O
기	기	ETN	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
200	200	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
돈	돈	NNG	O
이	이	JKS	O
_	_	_	O
들어	들어오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김 씨는 “예년에는 이틀 정도 덥다가도 비도 오고 저녁이면 온도가 낮아져 폐사율이 5% 정도밖에 안 됐는데 올해에는 1주일 이상 폭염과 열대야가 이어지면서 더 많은 닭이 죽어나가고 있다”라고 말했다.
## <김:PER> 씨는 “예년에는 이틀 정도 덥다가도 비도 오고 저녁이면 온도가 낮아져 폐사율이 <5%:PNT> 정도밖에 안 됐는데 올해에는 <1주일:DUR> 이상 폭염과 열대야가 이어지면서 더 많은 닭이 죽어나가고 있다”라고 말했다.
김	김	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
예년	예년	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
이틀	이틀	NNG	O
_	_	_	O
정도	정도	NNG	O
_	_	_	O
덥	덥	VA	O
다가	다가	EC	O
도	도	JX	O
_	_	_	O
비	비	NNG	O
도	도	JX	O
_	_	_	O
오	오	VV	O
고	고	EC	O
_	_	_	O
저녁	저녁	NNG	O
이	이	VCP	O
면	면	EC	O
_	_	_	O
온도	온도	NNG	O
가	가	JKS	O
_	_	_	O
낮	낮	VA	O
아	아	EC	O
져	지+어	VX+EC	O
_	_	_	O
폐사율	폐사율	NNG	O
이	이	JKS	O
_	_	_	O
5	5	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
정도	정도	NNG	O
밖에	밖에	JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
됐	+었	+EP	O
는데	는데	EC	O
_	_	_	O
올해	올해	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
1	1	SN	B-DUR
주일	주일	NNB	I-DUR
_	_	_	O
이상	이상	NNG	O
_	_	_	O
폭염	폭염	NNG	O
과	과	JC	O
_	_	_	O
열대야	열대야	NNG	O
가	가	JKS	O
_	_	_	O
이어지	이어지	VV	O
면서	면서	EC	O
_	_	_	O
더	더	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
닭	닭	NNG	O
이	이	JKS	O
_	_	_	O
죽	죽	VV	O
어	어	EC	O
나가	나가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그러나 여전히 1루수는 수비보다 타격이다.
## 그러나 여전히 <1루수:NOH>는 수비보다 타격이다.
그러나	그러나	MAJ	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
1	1	SN	B-NOH
루수	루수	NNG	I-NOH
는	는	JX	O
_	_	_	O
수비	수비	NNG	O
보다	보다	JKB	O
_	_	_	O
타격	타격	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 한국은 왜 잘 달리지 못할까? 체격조건이 좋지 않아서? 아니면 유전적 요인 때문에?체격적인 조건은 이미 문제가 되지 않음이 2015베이징 세계선수권대회에서 증명됐다.
## <한국:ORG>은 왜 잘 달리지 못할까? 체격조건이 좋지 않아서? 아니면 유전적 요인 때문에?체격적인 조건은 이미 문제가 되지 않음이 <2015:DAT><베이징 세계선수권대회:POH>에서 증명됐다.
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
왜	왜	MAG	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
달리	달리	VV	O
지	지	EC	O
_	_	_	O
못할까	못하+ㄹ까	VX+EF	O
?	?	SF	O
_	_	_	O
체격	체격	NNG	O
조건	조건	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아서	아서	EF	O
?	?	SF	O
_	_	_	O
아니	아니	VCN	O
면	면	EC	O
_	_	_	O
유전적	유전적	NNG	O
_	_	_	O
요인	요인	NNG	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
?	?	SF	O
체격	체격	NNG	O
적	적	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
조건	조건	NNG	O
은	은	JX	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
문제	문제	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
음	음	ETN	O
이	이	JKS	O
_	_	_	O
2015	2015	SN	B-DAT
베이징	베이징	NNP	B-POH
_	_	_	I-POH
세계	세계	NNG	I-POH
선수권	선수권	NNG	I-POH
대회	대회	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
증명	증명되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## '엠카운트다운' 엑소 시우민 "나 꿍꼬도, 엑소엘 꿍꼬또" …'남친돌' 등극
