## 1
## 기존 법인계약 시 중도금 융자가 불가능했던 것을 보완해 중도금 자납 희망자에게 이자에 해당하는 금액을 연 5% 금리로 지원한다.
## 기존 법인계약 시 중도금 융자가 불가능했던 것을 보완해 중도금 자납 희망자에게 이자에 해당하는 금액을 연 <5%:PNT> 금리로 지원한다.
기존	기존	NNG	O
_	_	_	O
법인	법인	NNG	O
계약	계약	NNG	O
_	_	_	O
시	시	NNG	O
_	_	_	O
중도금	중도금	NNG	O
_	_	_	O
융자	융자	NNG	O
가	가	JKS	O
_	_	_	O
불가능	불가능하	VA	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
보완해	보완하+여	VV+EC	O
_	_	_	O
중도금	중도금	NNG	O
_	_	_	O
자	자	XSN	O
납	납	NNG	O
_	_	_	O
희망자	희망자	NNG	O
에게	에게	JKB	O
_	_	_	O
이자	이자	NNG	O
에	에	JKB	O
_	_	_	O
해당하	해당하	VV	O
는	는	ETM	O
_	_	_	O
금액	금액	NNG	O
을	을	JKO	O
_	_	_	O
연	연	NNG	O
_	_	_	O
5	5	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
금리	금리	NNG	O
로	로	JKB	O
_	_	_	O
지원한다	지원하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## ‘성완종 리스트’ 연루 의혹으로 궁지에 몰린 이완구 국무총리가 사면초가다.
## ‘<성완종 리스트:POH>’ 연루 의혹으로 궁지에 몰린 <이완구:PER> 국무총리가 사면초가다.
‘	‘	SS	O
성완종	성완종	NNP	B-POH
_	_	_	I-POH
리스트	리스트	NNG	I-POH
’	’	SS	O
_	_	_	O
연루	연루	NNG	O
_	_	_	O
의혹	의혹	NNG	O
으로	으로	JKB	O
_	_	_	O
궁지	궁지	NNG	O
에	에	JKB	O
_	_	_	O
몰린	몰리+ㄴ	VV+ETM	O
_	_	_	O
이완구	이완구	NNP	B-PER
_	_	_	O
국무총리	국무총리	NNG	O
가	가	JKS	O
_	_	_	O
사면초가	사면초가+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘줴이’ 딥러닝 할 때 ‘돌바람’ 개발자는 생계용 SW 개발
## ‘<줴이:POH>’ 딥러닝 할 때 ‘<돌바람:POH>’ 개발자는 생계용 SW 개발
‘	‘	SS	O
줴	줴	MAG	B-POH
이	이	JKS	I-POH
’	’	SS	O
_	_	_	O
딥	딥	NNG	O
러닝	러닝	NNG	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
‘	‘	SS	O
돌바람	돌바람	NNG	B-POH
’	’	SS	O
_	_	_	O
개발자	개발자	NNG	O
는	는	JX	O
_	_	_	O
