## 1
## 웨이하이는 인천과 함께 ‘중·한 경제자유무역협력 지방경제 시범구’로 지정됐다.
## <웨이하이:LOC>는 <인천:LOC>과 함께 ‘<중·한 경제자유무역협력 지방경제 시범구:LOC>’로 지정됐다.
웨이하이	웨이하이	NNP	B-LOC
는	는	JX	O
_	_	_	O
인천	인천	NNP	B-LOC
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
‘	‘	SS	O
중	중	NNG	B-LOC
·	·	SP	I-LOC
한	한	MM	I-LOC
_	_	_	I-LOC
경제	경제	NNG	I-LOC
자유	자유	NNG	I-LOC
무역	무역	NNG	I-LOC
협력	협력	NNG	I-LOC
_	_	_	I-LOC
지방	지방	NNG	I-LOC
경제	경제	NNG	I-LOC
_	_	_	I-LOC
시범	시범	NNG	I-LOC
구	구	NNG	I-LOC
’	’	SS	O
로	로	JKB	O
_	_	_	O
지정	지정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 95마일 꽂혀야 주무기 체인지업 산다
## <95마일:NOH> 꽂혀야 주무기 체인지업 산다
95	95	SN	B-NOH
마일	마일	NNB	I-NOH
_	_	_	O
꽂혀야	꽂히+어야	VV+EC	O
_	_	_	O
주	주	MM	O
무기	무기	NNG	O
_	_	_	O
체인지업	체인지업	NNG	O
_	_	_	O
산다	살+ㄴ다	VV+EF	O

## 3
## 지난해 거래된 제주도 토지의 5분의 1을 서울 거주자가 사들일 정도로 외지인의 투자가 많았다.
## 지난해 거래된 <제주도:LOC> 토지의 <5분의 1:PNT>을 <서울:LOC> 거주자가 사들일 정도로 외지인의 투자가 많았다.
지난해	지난해	NNG	O
_	_	_	O
거래된	거래되+ㄴ	VV+ETM	O
_	_	_	O
제주도	제주도	NNP	B-LOC
_	_	_	O
토지	토지	NNG	O
의	의	JKG	O
_	_	_	O
5	5	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
1	1	SN	I-PNT
을	을	JKO	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
거주자	거주자	NNG	O
가	가	JKS	O
_	_	_	O
사들일	사들이+ㄹ	VV+ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
외지인	외지인	NNG	O
의	의	JKG	O
_	_	_	O
투자	투자	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 에릭♥나혜미 열애 인정…“열애 맞다”
## <에릭:PER>♥<나혜미:PER> 열애 인정…“열애 맞다”
에릭	에릭	NNP	B-PER
♥	♥	SW	O
나혜미	나혜미	NNP	B-PER
_	_	_	O
열애	열애	NNG	O
_	_	_	O
인정	인정	NNG	O
…	…	SE	O
“	“	SS	O
열애	열애	NNP	O
_	_	_	O
맞	맞	VV	O
다	다	EF	O
”	”	SS	O

## 5
## 올해엔 특히 김정은 북한 국방위원회 제1위원장의 방중을 포함, 시진핑(習近平) 국가주석과의 정상회담이 점쳐지고 있어 이 과정에서 리 내정자가 모종의 역할을 할 것으로 보인다.
## 올해엔 특히 <김정은:PER> <북한 국방위원회:ORG> <제1위원장:NOH>의 방중을 포함, <시진핑:PER>(<習近平:PER>) 국가주석과의 정상회담이 점쳐지고 있어 이 과정에서 <리:PER> 내정자가 모종의 역할을 할 것으로 보인다.
올해	올해	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
