## 1
## 전원합의체 사건을 형사, 민사, 특별(행정 및 특허) 사건 3가지로 나눠 분석한 결과 대표적 진보 그룹으로 분류된 김영란 전수안 박시환 이홍훈 김지형 전 대법관은 형사사건에서 진보성향(1, 2, 3, 5, 6위)이 뚜렷했지만 민사에서는 이합 집산했고, 행정사건에서는 오히려 보수적인 색채(1, 2, 3, 4, 8위)를 보였다.
## 전원합의체 사건을 형사, 민사, 특별(행정 및 특허) 사건 <3가지:NOH>로 나눠 분석한 결과 대표적 진보 그룹으로 분류된 <김영란:PER> <전수안:PER> <박시환:PER> <이홍훈:PER> <김지형:PER> 전 대법관은 형사사건에서 진보성향(<1:NOH>, <2:NOH>, <3:NOH>, <5:NOH>, <6위:NOH>)이 뚜렷했지만 민사에서는 이합 집산했고, 행정사건에서는 오히려 보수적인 색채(<1:NOH>, <2:NOH>, <3:NOH>, <4:NOH>, <8위:NOH>)를 보였다.
전원	전원	NNG	O
합의체	합의체	NNG	O
_	_	_	O
사건	사건	NNG	O
을	을	JKO	O
_	_	_	O
형사	형사	NNG	O
,	,	SP	O
_	_	_	O
민사	민사	NNG	O
,	,	SP	O
_	_	_	O
특별	특별	NNG	O
(	(	SS	O
행정	행정	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
특허	특허	NNG	O
)	)	SS	O
_	_	_	O
사건	사건	NNG	O
_	_	_	O
3	3	SN	B-NOH
가지	가지	NNB	I-NOH
로	로	JKB	O
_	_	_	O
나눠	나누+어	VV+EC	O
_	_	_	O
분석한	분석하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
대표적	대표적	NNG	O
_	_	_	O
진보	진보	NNG	O
_	_	_	O
그룹	그룹	NNG	O
으로	으로	JKB	O
_	_	_	O
분류된	분류되+ㄴ	VV+ETM	O
_	_	_	O
김영란	김영란	NNP	B-PER
_	_	_	O
전수안	전수안	NNP	B-PER
_	_	_	O
박시환	박시환	NNP	B-PER
_	_	_	O
이홍훈	이홍훈	NNP	B-PER
_	_	_	O
김지형	김지형	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대법관	대법관	NNG	O
은	은	JX	O
_	_	_	O
형사사건	형사사건	NNG	O
에서	에서	JKB	O
_	_	_	O
진보	진보	NNG	O
성향	성향	NNG	O
(	(	SS	O
1	1	SN	B-NOH
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
,	,	SP	O
_	_	_	O
5	5	SN	B-NOH
,	,	SP	O
_	_	_	O
6	6	SN	B-NOH
위	위	NNB	I-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
뚜렷	뚜렷하	VA	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
민사	민사	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
이합	이합	NNG	O
_	_	_	O
집산	집산하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
행정	행정	NNG	O
사건	사건	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
보수적	보수적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
색채	색채	NNG	O
(	(	SS	O
1	1	SN	B-NOH
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
,	,	SP	O
_	_	_	O
4	4	SN	B-NOH
,	,	SP	O
_	_	_	O
8	8	SN	B-NOH
위	위	NNB	I-NOH
)	)	SS	O
를	를	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이날 김상훈의 현장검증을 보러 모인 인파 속에는 부인 A 씨와 사망한 전남편 B 씨 사이에서 태어난 아들도 모습을 지켜보고 있었다.
## 이날 <김상훈:PER>의 현장검증을 보러 모인 인파 속에는 부인 <A:NOH> 씨와 사망한 전남편 <B:NOH> 씨 사이에서 태어난 아들도 모습을 지켜보고 있었다.
이날	이날	NNG	O
_	_	_	O
김상훈	김상훈	NNP	B-PER
의	의	JKG	O
_	_	_	O
현장검증	현장검증	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
러	러	EC	O
_	_	_	O
모인	모이+ㄴ	VV+ETM	O
_	_	_	O
인파	인파	NNG	O
_	_	_	O
