## 1
## 시민단체들은 이날 오전 서울 종로구 옛 일본대사관 앞에서 기자회견을 통해 ‘다케시마의 날’ 지정 철폐를 촉구했다.
## 시민단체들은 이날 오전 <서울:LOC> <종로구:LOC> 옛 <일본대사관:LOC> 앞에서 기자회견을 통해 ‘<다케시마의 날:POH>’ 지정 철폐를 촉구했다.
시민	시민	NNG	O
단체	단체	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
종로구	종로구	NNP	B-LOC
_	_	_	O
옛	옛	MM	O
_	_	_	O
일본	일본	NNP	B-LOC
대사관	대사관	NNG	I-LOC
_	_	_	O
앞	앞	NNG	O
에서	에서	JKB	O
_	_	_	O
기자	기자	NNG	O
회견	회견	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
다케시마	다케시마	NNP	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
날	날	NNG	I-POH
’	’	SS	O
_	_	_	O
지정	지정	NNG	O
_	_	_	O
철폐	철폐	NNG	O
를	를	JKO	O
_	_	_	O
촉구	촉구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 또 더블루K에 각종 지원을 하도록 지시했다는 의혹에 대해서는 “더블루K가 공익재단 일을 헌신적으로 도와주고 있는데, 대기업에 밀려 애로를 겪고 있다기에 중소기업 지원 차원에서 호의적 지원을 부탁한 것”이라고 주장했다.
## 또 <더블루K:ORG>에 각종 지원을 하도록 지시했다는 의혹에 대해서는 “<더블루K:ORG>가 공익재단 일을 헌신적으로 도와주고 있는데, 대기업에 밀려 애로를 겪고 있다기에 중소기업 지원 차원에서 호의적 지원을 부탁한 것”이라고 주장했다.
또	또	MAG	O
_	_	_	O
더블루	더블루	NNP	B-ORG
K	K	SL	I-ORG
에	에	JKB	O
_	_	_	O
각종	각종	NNG	O
_	_	_	O
지원	지원	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
도록	도록	EC	O
_	_	_	O
지시	지시하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
의혹	의혹	NNG	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
“	“	SS	O
더블루	더블루	NNP	B-ORG
K	K	SL	I-ORG
가	가	JKS	O
_	_	_	O
공익	공익	NNG	O
재단	재단	NNG	O
_	_	_	O
일	일	NNP	O
을	을	JKO	O
_	_	_	O
헌신적	헌신적	NNG	O
으로	으로	JKB	O
_	_	_	O
도와주	도와주	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
대기업	대기업	NNG	O
에	에	JKB	O
_	_	_	O
밀려	밀리+어	VV+EC	O
_	_	_	O
애로	애로	NNG	O
를	를	JKO	O
_	_	_	O
겪	겪	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다+하	EC+VV	O
기에	기에	EC	O
_	_	_	O
중소기업	중소기업	NNG	O
_	_	_	O
지원	지원	NNG	O
_	_	_	O
차원	차원	NNG	O
에서	에서	JKB	O
_	_	_	O
호의적	호의적	NNG	O
_	_	_	O
지원	지원	NNG	O
을	을	JKO	O
_	_	_	O
부탁한	부탁하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 시진핑(習近平) 국가주석 겸 당 총서기는 “비범하고 탁월한 올림픽을 만들겠다”고 선언했다.
## <시진핑:PER>(<習近平:PER>) 국가주석 겸 당 총서기는 “비범하고 탁월한 올림픽을 만들겠다”고 선언했다.
시진핑	시진핑	NNP	B-PER
(	(	SS	O
習近平	習近平	SH	B-PER
)	)	SS	O
_	_	_	O
국가주석	국가주석	NNG	O
_	_	_	O
겸	겸	NNB	O
_	_	_	O
당	당	NNG	O
_	_	_	O
총서기	총서기	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
비범하	비범하	VA	O
고	고	EC	O
_	_	_	O
탁월한	탁월하+ㄴ	VA+ETM	O
_	_	_	O
올림픽	올림픽	NNG	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
선언	선언하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 중국에서 2022년은 국내적으로나 국제적으로 의미가 각별한 해다.
## <중국:ORG>에서 <2022년:DAT>은 국내적으로나 국제적으로 의미가 각별한 해다.
중국	중국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
2022	2022	SN	B-DAT
년	년	NNB	I-DAT
은	은	JX	O
