## 1
## 소설가 오정희씨와의 만남을 기다리는 독자들이었다.
## 소설가 <오정희:PER>씨와의 만남을 기다리는 독자들이었다.
소설가	소설가	NNG	O
_	_	_	O
오정희	오정희	NNP	B-PER
씨	씨	NNB	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
만남	만남	NNG	O
을	을	JKO	O
_	_	_	O
기다리	기다리	VV	O
는	는	ETM	O
_	_	_	O
독자	독자	NNG	O
들	들	XSN	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 부산 삼정 더 파크에 있던 시베리아 호랑이를 모델 삼아 카메라와 비디오로 촬영 후 애꾸눈부터 항문까지 꼼꼼한 모델링을 거쳤다.
## <부산 삼정 더 파크:LOC>에 있던 시베리아 호랑이를 모델 삼아 카메라와 비디오로 촬영 후 애꾸눈부터 항문까지 꼼꼼한 모델링을 거쳤다.
부산	부산	NNP	B-LOC
_	_	_	I-LOC
삼정	삼정	NNG	I-LOC
_	_	_	I-LOC
더	더	MAG	I-LOC
_	_	_	I-LOC
파크	파크	NNP	I-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
던	던	ETM	O
_	_	_	O
시베리아	시베리아	NNP	O
_	_	_	O
호랑이	호랑이	NNG	O
를	를	JKO	O
_	_	_	O
모델	모델	NNG	O
_	_	_	O
삼	삼	VV	O
아	아	EC	O
_	_	_	O
카메라	카메라	NNG	O
와	와	JC	O
_	_	_	O
비디오	비디오	NNG	O
로	로	JKB	O
_	_	_	O
촬영	촬영	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
애꾸눈	애꾸눈	NNG	O
부터	부터	JX	O
_	_	_	O
항문	항문	NNG	O
까지	까지	JX	O
_	_	_	O
꼼꼼한	꼼꼼하+ㄴ	VA+ETM	O
_	_	_	O
모델링	모델링	NNG	O
을	을	JKO	O
_	_	_	O
거	거치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 중국이 18일 올해 말까지 북한에서 석탄 수입을 전면 금지한 것도 같은 연장선에 있다고 할 수 있다.
## <중국:ORG>이 <18일:DAT> 올해 말까지 <북한:ORG>에서 석탄 수입을 전면 금지한 것도 같은 연장선에 있다고 할 수 있다.
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
올해	올해	NNG	O
_	_	_	O
말	말	NNB	O
까지	까지	JX	O
_	_	_	O
북한	북한	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
석탄	석탄	NNG	O
_	_	_	O
수입	수입	NNG	O
을	을	JKO	O
_	_	_	O
전면	전면	NNG	O
_	_	_	O
금지한	금지하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
연장선	연장선	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
다고	다고	EC	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 힘들다는 말 한마디 안 하던 연습생 김광림 코치는 2006년 두산에 입단했던 ‘육성선수 김현수’를 생생히 기억하고 있다.
## 힘들다는 말 한마디 안 하던 연습생 <김광림:PER> 코치는 <2006년:DAT> <두산:ORG>에 입단했던 ‘육성선수 <김현수:PER>’를 생생히 기억하고 있다.
힘들	힘들	VA	O
다는	다는	ETM	O
_	_	_	O
말	말	NNG	O
_	_	_	O
한마디	한마디	NNG	O
_	_	_	O
안	안	MAG	O
_	_	_	O
하	하	VV	O
던	던	ETM	O
_	_	_	O
연습	연습	NNG	O
생	생	XSN	O
_	_	_	O
김광림	김광림	NNP	B-PER
_	_	_	O
코치	코치	NNG	O
는	는	JX	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
두산	두산	NNP	B-ORG
에	에	JKB	O
_	_	_	O
입단	입단하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
‘	‘	SS	O
육성	육성	NNG	O
선수	선수	NNG	O
_	_	_	O
김현수	김현수	NNP	B-PER
’	’	SS	O
를	를	JKO	O
_	_	_	O
생생히	생생히	MAG	O
_	_	_	O
기억하	기억하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 청와대 비아그라 구입? 조국 “비아그라·주사파(注射派) 정권!” 비난, 표창원도…
## <청와대:ORG> 비아그라 구입? <조국:PER> “비아그라·<주사파:ORG>(<注射派:ORG>) 정권!” 비난, <표창원:PER>도…
청와대	청와대	NNP	B-ORG
_	_	_	O
비아그라	비아그라	NNG	O
_	_	_	O
구입	구입	NNG	O
?	?	SF	O
_	_	_	O
조국	조국	NNG	B-PER
_	_	_	O
“	“	SS	O
비아그라	비아그라	NNG	O
·	·	SP	O
주사	주사	NNG	B-ORG
파	파	NNG	I-ORG
(	(	SS	O
注射派	注射派	SH	B-ORG
)	)	SS	O
_	_	_	O
정권	정권	NNG	O
!	!	SF	O
”	”	SS	O
_	_	_	O
비난	비난	NNG	O
,	,	SP	O
_	_	_	O
표창원	표창원	NNP	B-PER
도	도	JX	O
…	…	SE	O

## 6
## 5일 진 교수는 자신의 트위터 계정에 “정의당에서 이런 XX들 구속시키는 법 좀 만들었으면”이라는 글과 함께 관련 기사를 링크했다.
