## 1
## 로터스 빈야드 2010년산은 2012년에도 두 번째 로버트 파커 만점을 받았다.
## <로터스 빈야드:PER> <2010년산:NOH>은 <2012년:DAT>에도 <두 번째:NOH> <로버트 파커:POH> 만점을 받았다.
로터스	로터스	NNP	B-PER
_	_	_	I-PER
빈야드	빈야드	NNP	I-PER
_	_	_	O
2010	2010	SN	B-NOH
년	년	NNB	I-NOH
산	산	XSN	I-NOH
은	은	JX	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
도	도	JX	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
번째	번째	NNB	I-NOH
_	_	_	O
로버트	로버트	NNP	B-POH
_	_	_	I-POH
파커	파커	NNP	I-POH
_	_	_	O
만점	만점	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘7포 세대’라는 신조어가 생겨나고 ‘취업보다 하늘의 별을 따는 게 더 쉽다’는 말이 나올 정도로 취업 준비는 그야말로 고행길이다.
## ‘<7포 세대:POH>’라는 신조어가 생겨나고 ‘취업보다 하늘의 별을 따는 게 더 쉽다’는 말이 나올 정도로 취업 준비는 그야말로 고행길이다.
‘	‘	SS	O
7	7	SN	B-POH
포	포	NNG	I-POH
_	_	_	I-POH
세대	세대	NNG	I-POH
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
신조어	신조어	NNG	O
가	가	JKS	O
_	_	_	O
생겨나	생겨나	VV	O
고	고	EC	O
_	_	_	O
‘	‘	SS	O
취업	취업	NNG	O
보다	보다	JKB	O
_	_	_	O
하늘	하늘	NNG	O
의	의	JKG	O
_	_	_	O
별	별	NNG	O
을	을	JKO	O
_	_	_	O
따	따	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
쉽	쉽	VA	O
다	다	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
말	말	NNG	O
이	이	JKS	O
_	_	_	O
나올	나오+ㄹ	VV+ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
취업	취업	NNG	O
_	_	_	O
준비	준비	NNG	O
는	는	JX	O
_	_	_	O
그야말로	그야말로	MAG	O
_	_	_	O
고행	고행	NNG	O
길	길	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 2011년 289대의 차량이 스타클래스 인증을 받고 판매된 후 이듬해 364대, 2013년 399대에 이어 지난해에는 550대의 차가 스타클래스로 판매되는 등 매년 성장세를 보이고 있다.
## <2011년:DAT> <289대:NOH>의 차량이 스타클래스 인증을 받고 판매된 후 이듬해 <364대:NOH>, <2013년:DAT> <399대:NOH>에 이어 지난해에는 <550대:NOH>의 차가 스타클래스로 판매되는 등 매년 성장세를 보이고 있다.
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
289	289	SN	B-NOH
대	대	NNB	I-NOH
의	의	JKG	O
_	_	_	O
차량	차량	NNG	O
이	이	JKS	O
_	_	_	O
스타	스타	NNG	O
클래스	클래스	NNG	O
_	_	_	O
인증	인증	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
판매된	판매되+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
이듬해	이듬해	NNG	O
_	_	_	O
364	364	SN	B-NOH
대	대	NNB	I-NOH
,	,	SP	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
399	399	SN	B-NOH
대	대	NNB	I-NOH
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
지난해	지난해	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
550	550	SN	B-NOH
대	대	NNB	I-NOH
의	의	JKG	O
_	_	_	O
차	차	NNG	O
가	가	JKS	O
_	_	_	O
스타	스타	NNG	O
클래스	클래스	NNG	O
로	로	JKB	O
_	_	_	O
판매되	판매되	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
성장세	성장세	NNG	O
를	를	JKO	O
_	_	_	O
보이	보이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 가공치즈와 달리, 롯데리아 자연산 모차렐라 치즈는 섭씨 4도에서 1개월 간 숙성한 이탈리아 남부 콤파냐 산 100% 자연 치즈로 프리미엄, 차별화된 치즈 본연의 맛과 치즈가 늘어나는 ‘스트링’ 현상이 우수해 치즈 그 자체의 풍미를 느낄 수 있는 제품이다.
## 가공치즈와 달리, <롯데리아:ORG> 자연산 모차렐라 치즈는 <섭씨 4도:NOH>에서 <1개월:DUR> 간 숙성한 <이탈리아:LOC> 남부 <콤파냐:LOC> 산 <100%:PNT> 자연 치즈로 프리미엄, 차별화된 치즈 본연의 맛과 치즈가 늘어나는 ‘스트링’ 현상이 우수해 치즈 그 자체의 풍미를 느낄 수 있는 제품이다.
가공	가공	NNG	O
치즈	치즈	NNG	O
와	와	JKB	O
_	_	_	O
달리	달리	MAG	O
,	,	SP	O
_	_	_	O
롯데리아	롯데리아	NNP	B-ORG
_	_	_	O
자연산	자연산	NNG	O
_	_	_	O
모차렐라	모차렐라	NNP	O
_	_	_	O
치즈	치즈	NNG	O
는	는	JX	O
_	_	_	O
섭씨	섭씨	NNG	B-NOH
_	_	_	I-NOH
4	4	SN	I-NOH
도	도	NNB	I-NOH
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-DUR
개월	개월	NNB	I-DUR
_	_	_	O
간	간	NNB	O
_	_	_	O
숙성한	숙성하+ㄴ	VA+ETM	O
_	_	_	O
이탈리아	이탈리아	NNP	B-LOC
_	_	_	O
남부	남부	NNG	O
_	_	_	O
콤파	콤파+이	NNG+VCP	B-LOC
냐	냐	EC	I-LOC
_	_	_	O
산	산	NNG	O
_	_	_	O
100	100	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
자연	자연	NNG	O
_	_	_	O
치즈	치즈	NNG	O
로	로	JKB	O
_	_	_	O
프리미엄	프리미엄	NNG	O
,	,	SP	O
_	_	_	O
차별화된	차별화되+ㄴ	VV+ETM	O
_	_	_	O
치즈	치즈	NNG	O
_	_	_	O
본연	본연	NNG	O
의	의	JKG	O
_	_	_	O
맛	맛	NNG	O
과	과	JC	O
_	_	_	O
치즈	치즈	NNG	O
가	가	JKS	O
_	_	_	O
늘어나	늘어나	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
스트링	스트링	NNG	O
’	’	SS	O
_	_	_	O
현상	현상	NNG	O
이	이	JKS	O
_	_	_	O
우수해	우수하+여	VA+EC	O
_	_	_	O
치즈	치즈	NNG	O
_	_	_	O
그	그	MM	O
_	_	_	O
자체	자체	NNG	O
의	의	JKG	O
_	_	_	O
풍미	풍미	NNG	O
를	를	JKO	O
_	_	_	O
느낄	느끼+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
제품	제품	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 한편, 플랫포인트는 세라믹과 방향제부터 가구류까지 다양한 소재의 상품을 하나의 통일된 감성으로 디자인 및 생산하고 있는 국내 디자인그룹이다.
## 한편, 플랫포인트는 세라믹과 방향제부터 가구류까지 다양한 소재의 상품을 <하나:NOH>의 통일된 감성으로 디자인 및 생산하고 있는 국내 디자인그룹이다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
플랫	플랫	NNG	O
포인트	포인트	NNG	O
는	는	JX	O
_	_	_	O
세라믹	세라믹	NNG	O
과	과	JC	O
_	_	_	O
방향제	방향제	NNG	O
부터	부터	JX	O
_	_	_	O
가구	가구	NNG	O
류	류	XSN	O
까지	까지	JX	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
소재	소재	NNG	O
의	의	JKG	O
_	_	_	O
상품	상품	NNG	O
을	을	JKO	O
_	_	_	O
하나	하나	NR	B-NOH
의	의	JKG	O
_	_	_	O
통일된	통일되+ㄴ	VV+ETM	O
_	_	_	O
감성	감성	NNG	O
으로	으로	JKB	O
_	_	_	O
디자인	디자인	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
생산하	생산하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
디자인	디자인	NNG	O
그룹	그룹	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 트럼프 대통령이 해당 글을 남기면서 고맙다고 언급한 이유를 설명하진 않았지만, 첫 의회 연설에서 호평이 이어지자 이러한 멘션을 남긴 것으로 보인다.
## <트럼프:PER> 대통령이 해당 글을 남기면서 고맙다고 언급한 이유를 설명하진 않았지만, 첫 의회 연설에서 호평이 이어지자 이러한 멘션을 남긴 것으로 보인다.
트럼프	트럼프	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
해당	해당	NNG	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
남기	남기	VV	O
면서	면서	EC	O
_	_	_	O
고맙	고맙	VA	O
다고	다고	EC	O
_	_	_	O
언급한	언급하+ㄴ	VV+ETM	O
_	_	_	O
이유	이유	NNG	O
를	를	JKO	O
_	_	_	O
설명하	설명하	VV	O
진	지+ㄴ	EC+JX	O
_	_	_	O
않	않	VX	O
았	았	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
의회	의회	NNG	O
_	_	_	O
연설	연설	NNG	O
에서	에서	JKB	O
_	_	_	O
호평	호평	NNG	O
이	이	JKS	O
_	_	_	O
이어지	이어지	VV	O
자	자	EC	O
_	_	_	O
이러한	이러하+ㄴ	VA+ETM	O
_	_	_	O
멘션	멘션	NNG	O
을	을	JKO	O
_	_	_	O
남긴	남기+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 실제 미국 CNN에 따르면 의회연설 시청자 509명을 상대로 여론조사를 한 결과, 57%가 ‘매우 긍정’, 21%가 ‘다소 긍정’이라고 답했다.
## 실제 <미국:ORG> <CNN:ORG>에 따르면 의회연설 시청자 <509명:NOH>을 상대로 여론조사를 한 결과, <57%:PNT>가 ‘매우 긍정’, <21%:PNT>가 ‘다소 긍정’이라고 답했다.
실제	실제	NNG	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
CNN	CNN	SL	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
의회	의회	NNG	O
연설	연설	NNG	O
_	_	_	O
시청자	시청자	NNG	O
_	_	_	O
509	509	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
여론	여론	NNG	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
,	,	SP	O
_	_	_	O
57	57	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
매우	매우	MAG	O
_	_	_	O
긍정	긍정	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
21	21	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
