## 1
## 이과대학에 속했던 컴퓨터과학부가 공대로 이전해 컴퓨터과학전공(60명), 소프트웨어융합전공(30명)과 같은 세부전공을 두는 소프트웨어학부로 확대 개편된다.
## 이과대학에 속했던 컴퓨터과학부가 공대로 이전해 컴퓨터과학전공(<60명:NOH>), 소프트웨어융합전공(<30명:NOH>)과 같은 세부전공을 두는 소프트웨어학부로 확대 개편된다.
이과	이과	NNG	O
대학	대학	NNG	O
에	에	JKB	O
_	_	_	O
속	속하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
컴퓨터	컴퓨터	NNG	O
과학	과학	NNG	O
부	부	NNG	O
가	가	JKS	O
_	_	_	O
공대	공대	NNG	O
로	로	JKB	O
_	_	_	O
이전해	이전하+여	VV+EC	O
_	_	_	O
컴퓨터	컴퓨터	NNG	O
과학	과학	NNG	O
전공	전공	NNG	O
(	(	SS	O
60	60	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
소프트웨어	소프트웨어	NNG	O
융합	융합	NNG	O
전공	전공	NNG	O
(	(	SS	O
30	30	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
세부	세부	NNG	O
전공	전공	NNG	O
을	을	JKO	O
_	_	_	O
두	두	VV	O
는	는	ETM	O
_	_	_	O
소프트웨어	소프트웨어	NNG	O
학부	학부	NNG	O
로	로	JKB	O
_	_	_	O
확대	확대	NNG	O
_	_	_	O
개편된다	개편되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 평론가 김나영씨는 “시인이나 시를 읽는 독자들이나 창문이나 바다라는 단어를 더 이상 무심코 지나치지 못한다”고 말했다.
## 평론가 <김나영:PER>씨는 “시인이나 시를 읽는 독자들이나 창문이나 바다라는 단어를 더 이상 무심코 지나치지 못한다”고 말했다.
평론가	평론가	NNG	O
_	_	_	O
김나영	김나영	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
시인	시인	NNG	O
이나	이나	JC	O
_	_	_	O
시	시	NNG	O
를	를	JKO	O
_	_	_	O
읽	읽	VV	O
는	는	ETM	O
_	_	_	O
독자	독자	NNG	O
들	들	XSN	O
이나	이나	JC	O
_	_	_	O
창문	창문	NNG	O
이나	이나	JC	O
_	_	_	O
바다	바다+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
단어	단어	NNG	O
를	를	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
무심코	무심코	MAG	O
_	_	_	O
지나치	지나치	VV	O
지	지	EC	O
_	_	_	O
못한다	못하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그러나 오승택이 뜻밖에도 4월 시즌 시작 후 얼마 안돼 큰 골절부상을 당하며 생각보다 기회가 빨리 찾아왔다.
## 그러나 <오승택:PER>이 뜻밖에도 <4월:DAT> 시즌 시작 후 얼마 안돼 큰 골절부상을 당하며 생각보다 기회가 빨리 찾아왔다.
그러나	그러나	MAJ	O
_	_	_	O
오승택	오승택	NNP	B-PER
이	이	JKS	O
_	_	_	O
뜻밖에	뜻밖에	MAG	O
도	도	JX	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
시작	시작	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
얼마	얼마	NNG	O
_	_	_	O
안돼	안되+어	VV+EC	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
골절	골절	NNG	O
부상	부상	NNG	O
을	을	JKO	O
_	_	_	O
당하	당하	VV	O
며	며	EC	O
_	_	_	O
생각	생각	NNG	O
보다	보다	JKB	O
_	_	_	O
기회	기회	NNG	O
가	가	JKS	O
_	_	_	O
빨리	빨리	MAG	O
_	_	_	O
찾아	찾아오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 아프기 전까지 주전 유격수로서 32 경기에서 26안타(타율 0.310·12타점)를 쳐냈다.
## 아프기 전까지 주전 유격수로서 <32 경기:NOH>에서 <26안타:NOH>(타율 <0.310:PNT>·<12타점:NOH>)를 쳐냈다.
아프	아프	VA	O
기	기	ETN	O
_	_	_	O
전	전	NNG	O
까지	까지	JX	O
_	_	_	O
주전	주전	NNG	O
_	_	_	O
유격수	유격수	NNG	O
로서	로서	JKB	O
_	_	_	O
32	32	SN	B-NOH
_	_	_	I-NOH
경기	경기	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
26	26	SN	B-NOH
안타	안타	NNG	I-NOH
(	(	SS	O
타율	타율	NNG	O
_	_	_	O
0.310	0.310	SN	B-PNT
·	·	SP	O
12	12	SN	B-NOH
타점	타점	NNG	I-NOH
)	)	SS	O
를	를	JKO	O
_	_	_	O
쳐냈	쳐내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 여성 상대 범죄인데다 피해자가 외국인이어서 자칫하면 한국의 이미지에 해를 입힐 수도 있다는 판단에서다.
## 여성 상대 범죄인데다 피해자가 외국인이어서 자칫하면 <한국:ORG>의 이미지에 해를 입힐 수도 있다는 판단에서다.
여성	여성	NNG	O
_	_	_	O
상대	상대	NNG	O
_	_	_	O
범죄	범죄	NNG	O
인데	이+ㄴ데	VCP+EC	O
다	다	JX	O
_	_	_	O
피해자	피해자	NNG	O
가	가	JKS	O
_	_	_	O
외국인	외국인	NNG	O
이	이	VCP	O
어서	어서	EC	O
_	_	_	O
자칫하	자칫하	VV	O
면	면	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
이미지	이미지	NNG	O
에	에	JKB	O
_	_	_	O
해	해	NNG	O
를	를	JKO	O
_	_	_	O
입힐	입히+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
판단	판단	NNG	O
에서	에서+이	JKB+VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 평범한 주부에서 김치 전문가로 1999년 6월 24일. 그녀가 남은 인생을 김치에 걸기로 결심한 날이다.
## 평범한 주부에서 김치 전문가로 <1999년 6월 24일:DAT>. 그녀가 남은 인생을 김치에 걸기로 결심한 날이다.
평범한	평범하+ㄴ	VA+ETM	O
_	_	_	O
주부	주부	NNG	O
에서	에서	JKB	O
_	_	_	O
김치	김치	NNG	O
_	_	_	O
전문가	전문가	NNG	O
로	로	JKB	O
_	_	_	O
1999	1999	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
24	24	SN	I-DAT
일	일	NNB	I-DAT
.	.	SF	O
_	_	_	O
그녀	그녀	NP	O
가	가	JKS	O
_	_	_	O
남	남	VV	O
은	은	ETM	O
_	_	_	O
인생	인생	NNG	O
을	을	JKO	O
_	_	_	O
김치	김치	NNG	O
에	에	JKB	O
_	_	_	O
걸	걸	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
결심한	결심하+ㄴ	VV+ETM	O
_	_	_	O
날	날	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 윤상현, 이르면 22일 무소속 출마 선언
## <윤상현:PER>, 이르면 <22일:DAT> 무소속 출마 선언
윤상현	윤상현	NNP	B-PER
,	,	SP	O
_	_	_	O
이르	이르	VV	O
면	면	EC	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
무소속	무소속	NNG	O
_	_	_	O
출마	출마	NNG	O
_	_	_	O
선언	선언	NNG	O

## 8
## 포브스는 2015년 전 세계 억만장자는 총 1826명으로 사상 최대를 기록했다고 보도했다.
## <포브스:ORG>는 <2015년:DAT> 전 세계 억만장자는 총 <1826명:NOH>으로 사상 최대를 기록했다고 보도했다.
포브스	포브스	NNP	B-ORG
는	는	JX	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
전	전	NNG	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
억만장자	억만장자	NNG	O
는	는	JX	O
_	_	_	O
총	총	MM	O
_	_	_	O
1826	1826	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
사상	사상	NNG	O
_	_	_	O
최대	최대	NNG	O
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 평소 축구를 워낙 좋아한 이씨는 2007년 전역 후 복학 전까지 포르투갈 프로축구팀 벤피카 마케팅팀 인턴을 했고, 2009년 피스컵 안달루시아 조직위원회에서 인턴을 했다.
## 평소 축구를 워낙 좋아한 <이:PER>씨는 <2007년:DAT> 전역 후 복학 전까지 <포르투갈:ORG> 프로축구팀 <벤피카:ORG> 마케팅팀 인턴을 했고, <2009년:DAT> <피스컵 안달루시아 조직위원회:ORG>에서 인턴을 했다.
평소	평소	NNG	O
_	_	_	O
축구	축구	NNG	O
를	를	JKO	O
_	_	_	O
워낙	워낙	MAG	O
_	_	_	O
좋아한	좋아하+ㄴ	VV+ETM	O
_	_	_	O
이	이	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
전역	전역	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
복학	복학	NNG	O
_	_	_	O
전	전	NNG	O
까지	까지	JX	O
_	_	_	O
포르투갈	포르투갈	NNP	B-ORG
_	_	_	O
프로	프로	NNG	O
축구팀	축구팀	NNG	O
_	_	_	O
벤피카	벤피카	NNP	B-ORG
_	_	_	O
마케팅	마케팅	NNG	O
팀	팀	NNG	O
_	_	_	O
인턴	인턴	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
2009	2009	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
피스	피스	NNG	B-ORG
컵	컵	NNG	I-ORG
_	_	_	I-ORG
