## 1
## 총 지점 수는 30개로 늘어난다.
## 총 지점 수는 <30개:NOH>로 늘어난다.
총	총	MM	O
_	_	_	O
지점	지점	NNG	O
_	_	_	O
수	수	NNG	O
는	는	JX	O
_	_	_	O
30	30	SN	B-NOH
개	개	NNB	I-NOH
로	로	JKB	O
_	_	_	O
늘어난다	늘어나+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 6월부터는 외국환은행의 업무 자율화도 크게 확대돼 갑­을류 제도가 폐지되고 일정규모이상 각 은행들의 해외차입및 해외대출업무가 당국과의 사전협의에서 사전보고로 바뀌게 된다.
## <6월:DAT>부터는 외국환은행의 업무 자율화도 크게 확대돼 갑­을류 제도가 폐지되고 일정규모이상 각 은행들의 해외차입및 해외대출업무가 당국과의 사전협의에서 사전보고로 바뀌게 된다.
6	6	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
는	는	JX	O
_	_	_	O
외국환	외국환	NNG	O
은행	은행	NNG	O
의	의	JKG	O
_	_	_	O
업무	업무	NNG	O
_	_	_	O
자율	자율	NNG	O
화	화	XSN	O
도	도	JX	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
확대돼	확대되+어	VV+EC	O
_	_	_	O
갑	갑	NNG	O
­	­	SS	O
을류	을류	NNG	O
_	_	_	O
제도	제도	NNG	O
가	가	JKS	O
_	_	_	O
폐지되	폐지되	VV	O
고	고	EC	O
_	_	_	O
일정	일정	NNG	O
규모	규모	NNG	O
이상	이상	NNG	O
_	_	_	O
각	각	MM	O
_	_	_	O
은행	은행	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
해외	해외	NNG	O
차입	차입	NNG	O
및	및	MAG	O
_	_	_	O
해외	해외	NNG	O
대출	대출	NNG	O
업무	업무	NNG	O
가	가	JKS	O
_	_	_	O
당국	당국	NNG	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
사전	사전	NNG	O
협의	협의	NNG	O
에서	에서	JKB	O
_	_	_	O
사전	사전	NNG	O
보고	보고	NNG	O
로	로	JKB	O
_	_	_	O
바뀌	바뀌	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 카디자는 매춘부, 마약상들이 우글거리는 거리의 쓰레기더미에서 살았지만 아침마다 헝클어진 머리를 다듬어 깨끗한 모습으로 학교에 갔다고 합니다.
