## 1
## 반도체 종목은 지난해 초 이후 거의 3배 올랐다.
## 반도체 종목은 지난해 초 이후 거의 <3배:PNT> 올랐다.
반도체	반도체	NNG	O
_	_	_	O
종목	종목	NNG	O
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
초	초	NNB	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
3	3	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 수도권 대중교통 이용시 지하철↔버스 환승 이용객이 511만5000명으로 가장 많았고 지하철↔지하철 환승 이용객은 437만3000명으로 뒤따랐다.
## <수도권:LOC> 대중교통 이용시 지하철↔버스 환승 이용객이 <511만5000명:NOH>으로 가장 많았고 지하철↔지하철 환승 이용객은 <437만3000명:NOH>으로 뒤따랐다.
수도권	수도권	NNG	B-LOC
_	_	_	O
대중교통	대중교통	NNG	O
_	_	_	O
이용	이용	NNG	O
시	시	NNB	O
_	_	_	O
지하철	지하철	NNG	O
↔	↔	SW	O
버스	버스	NNG	O
_	_	_	O
환승	환승	NNG	O
_	_	_	O
이용객	이용객	NNG	O
이	이	JKS	O
_	_	_	O
511	511	SN	B-NOH
만	만	NR	I-NOH
5000	5000	SN	I-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
았	았	EP	O
고	고	EC	O
_	_	_	O
지하철	지하철	NNG	O
↔	↔	SW	O
지하철	지하철	NNG	O
_	_	_	O
환승	환승	NNG	O
_	_	_	O
이용객	이용객	NNG	O
은	은	JX	O
_	_	_	O
437	437	SN	B-NOH
만	만	NR	I-NOH
3000	3000	SN	I-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
뒤따	뒤따르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 페이코는 이전에도 가수 이진아, 지코, 우쿨렐레 피크닉 등을 앞세운 ‘니나노송’ 광고로 브랜드를 각인시킨 바 있다.
## <페이코:ORG>는 이전에도 가수 <이진아:PER>, <지코:PER>, <우쿨렐레 피크닉:ORG> 등을 앞세운 ‘<니나노송:POH>’ 광고로 브랜드를 각인시킨 바 있다.
페이	페이	NNG	B-ORG
코	코	NNG	I-ORG
는	는	JX	O
_	_	_	O
이전	이전	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
이진아	이진아	NNP	B-PER
,	,	SP	O
_	_	_	O
지코	지코	NNP	B-PER
,	,	SP	O
_	_	_	O
우쿨렐레	우쿨렐레	NNG	B-ORG
_	_	_	I-ORG
피크닉	피크닉	NNG	I-ORG
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
앞세운	앞세우+ㄴ	VV+ETM	O
_	_	_	O
