## 1
## ”임종룡 경제부총리 인준 서두르라 ―미국 트럼프 시대가 열린다.
## ”<임종룡:PER> 경제부총리 인준 서두르라 ―<미국:LOC> <트럼프:PER> 시대가 열린다.
”	”	SS	O
임종룡	임종룡	NNP	B-PER
_	_	_	O
경제	경제	NNG	O
부총리	부총리	NNG	O
_	_	_	O
인준	인준	NNG	O
_	_	_	O
서두르	서두르	VV	O
라	라	EC	O
_	_	_	O
―	―	SS	O
미국	미국	NNP	B-LOC
_	_	_	O
트럼프	트럼프	NNP	B-PER
_	_	_	O
시대	시대	NNG	O
가	가	JKS	O
_	_	_	O
열린다	열리+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 온라인 중앙일보 [사진 영국 데일리메일 홈페이지]
## <온라인 중앙일보:ORG> [사진 <영국 데일리메일:ORG> 홈페이지]
온라인	온라인	NNG	B-ORG
_	_	_	I-ORG
중앙일보	중앙일보	NNP	I-ORG
_	_	_	O
[	[	SS	O
사진	사진	NNG	O
_	_	_	O
영국	영국	NNP	B-ORG
_	_	_	I-ORG
데일리메일	데일리메일	NNP	I-ORG
_	_	_	O
홈페이지	홈페이지	NNG	O
]	]	SS	O

## 3
## 과거엔 금융당국 인가를 받아야 사모펀드를 운용할 수 있었지만 이제 자기자본 20억원, 전문 인력 3명만 있으면 사모펀드 운용사로 등록할 수 있다.
## 과거엔 금융당국 인가를 받아야 사모펀드를 운용할 수 있었지만 이제 자기자본 <20억원:MNY>, 전문 인력 <3명:NOH>만 있으면 사모펀드 운용사로 등록할 수 있다.
과거	과거	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
금융	금융	NNG	O
당국	당국	NNG	O
_	_	_	O
인가	인가	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
아야	아야	EC	O
_	_	_	O
사모	사모	NNG	O
펀드	펀드	NNG	O
를	를	JKO	O
_	_	_	O
운용할	운용하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
지만	지만	EC	O
_	_	_	O
이제	이제	MAG	O
_	_	_	O
자기	자기	NNG	O
자본	자본	NNG	O
_	_	_	O
20	20	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
전문	전문	NNG	O
_	_	_	O
인력	인력	NNG	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
만	만	JX	O
_	_	_	O
있	있	VA	O
으면	으면	EC	O
_	_	_	O
사모	사모	NNG	O
펀드	펀드	NNG	O
_	_	_	O
운용	운용	NNG	O
사	사	XSN	O
로	로	JKB	O
_	_	_	O
등록할	등록하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 헌법학자 고바야시 교수 회견
## 헌법학자 <고바야시:PER> 교수 회견
헌법학	헌법학	NNG	O
자	자	XSN	O
_	_	_	O
고바야시	고바야시	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
_	_	_	O
회견	회견	NNG	O

