## 1
## 미터에 찍힌 금액은 4100원. 기사가 도착 버튼을 눌렀다.
## 미터에 찍힌 금액은 <4100원:MNY>. 기사가 도착 버튼을 눌렀다.
미터	미터	NNB	O
에	에	JKB	O
_	_	_	O
찍힌	찍히+ㄴ	VV+ETM	O
_	_	_	O
금액	금액	NNG	O
은	은	JX	O
_	_	_	O
4100	4100	SN	B-MNY
원	원	NNB	I-MNY
.	.	SF	O
_	_	_	O
기사	기사	NNG	O
가	가	JKS	O
_	_	_	O
도착	도착	NNG	O
_	_	_	O
버튼	버튼	NNG	O
을	을	JKO	O
_	_	_	O
눌	누르	VV	O
렀	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 박 대표, 김 대표, 신 부사장 등 3명의 창업자는 1990년대 말부터 약 10년 동안 휴대전화용 지도 및 위치정보 서비스를 만드는 업체에서 일한 경력이 있다.
## <박:PER> 대표, <김:PER> 대표, <신:PER> 부사장 등 <3명:NOH>의 창업자는 <1990년대:DUR> 말부터 약 <10년 동안:DUR> 휴대전화용 지도 및 위치정보 서비스를 만드는 업체에서 일한 경력이 있다.
박	박	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
,	,	SP	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
,	,	SP	O
_	_	_	O
신	신	NNG	B-PER
_	_	_	O
부사장	부사장	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
창업자	창업자	NNG	O
는	는	JX	O
_	_	_	O
1990	1990	SN	B-DUR
년대	년대	NNB	I-DUR
_	_	_	O
말	말	NNB	O
부터	부터	JX	O
_	_	_	O
약	약	MM	O
_	_	_	O
10	10	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
동안	동안	NNG	I-DUR
_	_	_	O
휴대	휴대	NNG	O
전화	전화	NNG	O
용	용	XSN	O
_	_	_	O
지도	지도	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
위치	위치	NNG	O
정보	정보	NNG	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
만드	만들	VV	O
는	는	ETM	O
_	_	_	O
업체	업체	NNG	O
에서	에서	JKB	O
_	_	_	O
일한	일하+ㄴ	VV+ETM	O
_	_	_	O
경력	경력	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 박주호(도르트문트)와 김진수(호펜하임) 등 기존 자원들이 소속팀에서의 부침으로 인해 대표팀에 합류하지 못한 상황에서, 왼쪽 측면을 책임진 오재석(감바 오사카)의 전·후반 경기력은 확연히 달랐다.
## <박주호:PER>(<도르트문트:ORG>)와 <김진수:PER>(<호펜하임:ORG>) 등 기존 자원들이 소속팀에서의 부침으로 인해 대표팀에 합류하지 못한 상황에서, 왼쪽 측면을 책임진 <오재석:PER>(<감바 오사카:ORG>)의 전·후반 경기력은 확연히 달랐다.
박주호	박주호	NNP	B-PER
(	(	SS	O
도르트문트	도르트문트	NNP	B-ORG
)	)	SS	O
와	와	JKB	O
_	_	_	O
김진수	김진수	NNP	B-PER
(	(	SS	O
호펜하임	호펜하임	NNP	B-ORG
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
기존	기존	NNG	O
_	_	_	O
자원	자원	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
소속	소속	NNG	O
팀	팀	NNG	O
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
부침	부침	NNG	O
으로	으로	JKB	O
_	_	_	O
인해	인하+여	VV+EC	O
_	_	_	O
대표	대표	NNG	O
팀	팀	NNG	O
에	에	JKB	O
_	_	_	O
합류하	합류하	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
,	,	SP	O
_	_	_	O
왼쪽	왼쪽	NNG	O
_	_	_	O
측면	측면	NNG	O
을	을	JKO	O
_	_	_	O
책임진	책임지+ㄴ	VV+ETM	O
_	_	_	O
오재석	오재석	NNP	B-PER
(	(	SS	O
감바	감바	NNP	B-ORG
_	_	_	I-ORG
오사카	오사카	NNP	I-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
전	전	MM	O
·	·	SP	O
후반	후반	NNG	O
_	_	_	O
경기력	경기력	NNG	O
은	은	JX	O
_	_	_	O
확연히	확연히	MAG	O
_	_	_	O
달	다르	VA	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 영화에는 아이돌 그룹 엑소의 멤버 도경수와의 ‘키스인 듯 키스 아닌 키스신’도 등장한다.
## 영화에는 아이돌 그룹 <엑소:ORG>의 멤버 <도경수:PER>와의 ‘키스인 듯 키스 아닌 키스신’도 등장한다.
