## 1
## 무릎을 꿇은 손흥민(24·토트넘)은 그라운드에 얼굴을 파묻고 눈물을 쏟았다.
## 무릎을 꿇은 <손흥민:PER>(<24:NOH>·<토트넘:ORG>)은 그라운드에 얼굴을 파묻고 눈물을 쏟았다.
무릎	무릎	NNG	O
을	을	JKO	O
_	_	_	O
꿇	꿇	VV	O
은	은	ETM	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
(	(	SS	O
24	24	SN	B-NOH
·	·	SP	O
토트넘	토트넘	NNP	B-ORG
)	)	SS	O
은	은	JX	O
_	_	_	O
그라운드	그라운드	NNG	O
에	에	JKB	O
_	_	_	O
얼굴	얼굴	NNG	O
을	을	JKO	O
_	_	_	O
파묻	파묻	VV	O
고	고	EC	O
_	_	_	O
눈물	눈물	NNG	O
을	을	JKO	O
_	_	_	O
쏟	쏟	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 하지만 전담 인력은 4, 5명에 불과했다.
## 하지만 전담 인력은 <4:NOH>, <5명:NOH>에 불과했다.
하지만	하지만	MAJ	O
_	_	_	O
전담	전담	NNG	O
_	_	_	O
인력	인력	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-NOH
,	,	SP	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
불과	불과하	VA	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 기부를 시작한 2006년 한 해에 전달한 신발은 1만 켤레. 탐스는 ‘착한 신발’로 알려지면서 창립 8년 만에 신발 총 3500만 켤레를 판매했다.
## 기부를 시작한 <2006년:DAT> <한 해:NOH>에 전달한 신발은 <1만 켤레:NOH>. <탐스:ORG>는 ‘착한 신발’로 알려지면서 창립 <8년:DUR> 만에 신발 총 <3500만 켤레:NOH>를 판매했다.
기부	기부	NNG	O
를	를	JKO	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
해	해	NNB	I-NOH
에	에	JKB	O
_	_	_	O
전달한	전달하+ㄴ	VV+ETM	O
_	_	_	O
신발	신발	NNG	O
은	은	JX	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
켤레	켤레	NNB	I-NOH
.	.	SF	O
_	_	_	O
