## 1
## 반면 한국을 이긴 일본은 2승1패를 기록했다 .
## 반면 <한국:ORG>을 이긴 <일본:ORG>은 <2승:NOH><1패:NOH>를 기록했다 .
반면	반면	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
이긴	이기+ㄴ	VV+ETM	O
_	_	_	O
일본	일본	NNP	B-ORG
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
승	승	NNB	I-NOH
1	1	SN	B-NOH
패	패	NNB	I-NOH
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 2
## 2세트 들어 한국은 분위기를 반전시켰다 .
## <2세트:NOH> 들어 <한국:ORG>은 분위기를 반전시켰다 .
2	2	SN	B-NOH
세트	세트	NNG	I-NOH
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
분위기	분위기	NNG	O
를	를	JKO	O
_	_	_	O
반전	반전	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 3
## 하지만 문성민의 공격과 상대 속공 범실이 이어지면서 한국은 극적으로 16-16까지 따라붙었다 .
## 하지만 <문성민:PER>의 공격과 상대 속공 범실이 이어지면서 <한국:ORG>은 극적으로 <16-16:NOH>까지 따라붙었다 .
하지만	하지만	MAJ	O
_	_	_	O
문성민	문성민	NNP	B-PER
의	의	JKG	O
_	_	_	O
공격	공격	NNG	O
과	과	JKB	O
_	_	_	O
상대	상대	NNG	O
_	_	_	O
속공	속공	NNG	O
_	_	_	O
범실	범실	NNG	O
이	이	JKS	O
_	_	_	O
이어지	이어지	VV	O
면서	면서	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
극적	극적	NNG	O
으로	으로	JKB	O
_	_	_	O
16	16	SN	B-NOH
-	-	SO	I-NOH
16	16	SN	I-NOH
까지	까지	JX	O
_	_	_	O
따라붙	따라붙	VV	O
었	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 4
## 한국의 수비가 흔들리면서 번번히 공격이 일본의 높은 블로킹에 걸렸다 .
## <한국:ORG>의 수비가 흔들리면서 번번히 공격이 <일본:ORG>의 높은 블로킹에 걸렸다 .
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
수비	수비	NNG	O
가	가	JKS	O
_	_	_	O
흔들리	흔들리	VV	O
면서	면서	EC	O
_	_	_	O
번번히	번번히	MAG	O
_	_	_	O
공격	공격	NNG	O
이	이	JKS	O
_	_	_	O
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
블로킹	블로킹	NNG	O
에	에	JKB	O
_	_	_	O
걸	걸리	VV	O
렸	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 5
## 이날 한국은 코시카와와 야마모토 등 일본 공격수들의 강서브에 서브포인트를 5개나 내주고 말았다 .
## 이날 <한국:ORG>은 <코시카와:PER>와 <야마모토:PER> 등 <일본:ORG> 공격수들의 강서브에 서브포인트를 <5개:NOH>나 내주고 말았다 .
이날	이날	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
코시카와	코시카와	NNG	B-PER
와	와	JC	O
_	_	_	O
야마모토	야마모토	NNP	B-PER
_	_	_	O
등	등	NNB	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	O
공격수	공격수	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
강	강	XPN	O
서브	서브	NNG	O
에	에	JKB	O
_	_	_	O
서브	서브	NNG	O
포인트	포인트	NNG	O
를	를	JKO	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
나	나	JX	O
_	_	_	O
내주	내주	VV	O
고	고	EC	O
_	_	_	O
말	말	VX	O
았	았	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 6
## 한국 남자대표팀은 3일 도쿄 메트로폴리탄 체육관에서 벌어진 2008 베이징올림픽 세계 최종예선 겸 아시아대륙예선 3차전에서 일본에 1-3(21-25 25-21 23-25 19-25)으로 패했다 .
## <한국:ORG> 남자대표팀은 <3일:DAT> <도쿄 메트로폴리탄 체육관:LOC>에서 벌어진 <2008:DAT> <베이징올림픽:POH> 세계 최종예선 겸 <아시아대륙:LOC>예선 <3차:NOH>전에서 <일본:ORG>에 <1-3:NOH>(<21-25:NOH> <25-21:NOH> <23-25:NOH> <19-25:NOH>)으로 패했다 .
한국	한국	NNP	B-ORG
_	_	_	O
남자	남자	NNG	O
대표	대표	NNG	O
팀	팀	NNG	O
은	은	JX	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
도쿄	도쿄	NNP	B-LOC
_	_	_	I-LOC
메트로폴리탄	메트로폴리탄	NNG	I-LOC
_	_	_	I-LOC
체육관	체육관	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
벌어진	벌어지+ㄴ	VV+ETM	O
_	_	_	O
2008	2008	SN	B-DAT
_	_	_	O
베이징	베이징	NNP	B-POH
올림픽	올림픽	NNG	I-POH
_	_	_	O
세계	세계	NNG	O
_	_	_	O
최종	최종	NNG	O
예선	예선	NNG	O
_	_	_	O
겸	겸	NNB	O
_	_	_	O
아시아	아시아	NNP	B-LOC
대륙	대륙	NNG	I-LOC
예선	예선	NNG	O
_	_	_	O
3	3	SN	B-NOH
차	차	NNB	I-NOH
전	전	XSN	O
에서	에서	JKB	O
_	_	_	O
일본	일본	NNP	B-ORG
에	에	JKB	O
_	_	_	O
1	1	SN	B-NOH
-	-	SO	I-NOH
3	3	SN	I-NOH
(	(	SS	O
21	21	SN	B-NOH
-	-	SO	I-NOH
25	25	SN	I-NOH
_	_	_	O
25	25	SN	B-NOH
-	-	SO	I-NOH
21	21	SN	I-NOH
_	_	_	O
23	23	SN	B-NOH
-	-	SO	I-NOH
25	25	SN	I-NOH
_	_	_	O
19	19	SN	B-NOH
-	-	SO	I-NOH
25	25	SN	I-NOH
)	)	SS	O
으로	으로	JKB	O
_	_	_	O
패	패하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 7
## 일본 주포 이시지마와 고시카와 유의 고공 스파이크에 뚫리며 19-23으로 몰린 한국은 이경수의 투혼으로 23-24까지 따라붙었지만 더이상 뒷심을 발휘하지 못했고 4세트도 19-25로 손쉽게 내줬다 .
## <일본:ORG> 주포 <이시지마:PER>와 <고시카와 유:PER>의 고공 스파이크에 뚫리며 <19-23:NOH>으로 몰린 <한국:ORG>은 <이경수:PER>의 투혼으로 <23-24:NOH>까지 따라붙었지만 더이상 뒷심을 발휘하지 못했고 <4세트:NOH>도 <19-25:NOH>로 손쉽게 내줬다 .
일본	일본	NNP	B-ORG
_	_	_	O
주포	주포	NNG	O
_	_	_	O
이시	이시	NNG	B-PER
지마	지마	NNG	I-PER
와	와	JC	O
_	_	_	O
고시카	고시카	NNP	B-PER
와	와	JC	I-PER
_	_	_	I-PER
유	유	NNG	I-PER
의	의	JKG	O
_	_	_	O
고공	고공	NNG	O
_	_	_	O
스파이크	스파이크	NNG	O
에	에	JKB	O
_	_	_	O
뚫리	뚫리	VV	O
며	며	EC	O
_	_	_	O
19	19	SN	B-NOH
-	-	SO	I-NOH
23	23	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
몰린	몰리+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
이경수	이경수	NNP	B-PER
의	의	JKG	O
_	_	_	O
투혼	투혼	NNG	O
으로	으로	JKB	O
_	_	_	O
23	23	SN	B-NOH
-	-	SO	I-NOH
24	24	SN	I-NOH
까지	까지	JX	O
_	_	_	O
따라붙	따라붙	VV	O
었	었	EP	O
지만	지만	EC	O
_	_	_	O
더	더	MAG	O
이상	이상	NNG	O
_	_	_	O
뒷심	뒷심	NNG	O
을	을	JKO	O
_	_	_	O
발휘하	발휘하	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
고	고	EC	O
_	_	_	O
4	4	SN	B-NOH
세트	세트	NNG	I-NOH
도	도	JX	O
_	_	_	O
19	19	SN	B-NOH
-	-	SO	I-NOH
25	25	SN	I-NOH
로	로	JKB	O
_	_	_	O
손쉽	손쉽	VA	O
게	게	EC	O
_	_	_	O
내	내+어	VV+EC	O
줬	주+었	VX+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 8
## 김 씨는 "양가 모두 이왕하는 결혼인데 빨리 시키자는데 공감했다 ．
## <김:PER> 씨는 "<양:NOH>가 모두 이왕하는 결혼인데 빨리 시키자는데 공감했다 ．
김	김	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
"	"	SS	O
양가	양가	NNG	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
이왕하	이왕하	NNP	O
는	는	JX	O
_	_	_	O
결혼	결혼	NNG	O
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
빨리	빨리	MAG	O
_	_	_	O
시키	시키	XSV	O
자는	자는	ETM	O
데	데	NNB	O
_	_	_	O
공감	공감하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
．	．	SF	O

## 9
## 1999년부터 미국여자프로골프(LPGA)투어에서 활약해온 김미현은 통산 8승을 기록중이다 ．
## <1999년:DAT>부터 <미국여자프로골프:POH>(<LPGA:POH>)투어에서 활약해온 <김미현:PER>은 통산 <8승:NOH>을 기록중이다 ．
1999	1999	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
미국	미국	NNP	B-POH
여자	여자	NNG	I-POH
프로	프로	NNG	I-POH
골프	골프	NNG	I-POH
(	(	SS	O
LPGA	LPGA	SL	B-POH
)	)	SS	O
투어	투어	NNG	O
에서	에서	JKB	O
_	_	_	O
활약해	활약하+여	VV+EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
김미현	김미현	NNP	B-PER
은	은	JX	O
_	_	_	O
통산	통산	NNG	O
_	_	_	O
8	8	SN	B-NOH
승	승	NNB	I-NOH
을	을	JKO	O
_	_	_	O
기록	기록	NNG	O
중	중	NNB	O
이	이	VCP	O
다	다	EC	O
_	_	_	O
．	．	SF	O

## 10
## 대회 마지막 날인 이날 강원도선수단은 금4 은6 동6개를 추가하며 전남과의 순위 경쟁에서 극적으로 승리했다 .
## 대회 마지막 날인 이날 <강원도선수단:ORG>은 금<4:NOH> 은<6:NOH> 동<6개:NOH>를 추가하며 <전남:ORG>과의 순위 경쟁에서 극적으로 승리했다 .
대회	대회	NNG	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
날	날	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
강원도	강원도	NNP	B-ORG
선수단	선수단	NNG	I-ORG
은	은	JX	O
_	_	_	O
금	금	NNG	O
4	4	SN	B-NOH
_	_	_	O
은	은	JX	O
6	6	SN	B-NOH
_	_	_	O
동	동	NNG	O
6	6	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
추가하	추가하	VV	O
며	며	EC	O
_	_	_	O
전남	전남	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
순위	순위	NNG	O
_	_	_	O
경쟁	경쟁	NNG	O
에서	에서	JKB	O
_	_	_	O
극적	극적	NNG	O
으로	으로	JKB	O
_	_	_	O
승리	승리하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 11
## 원주 단구초는 초등부 농구 최강인 서울 대방초를 상대로 선전하며 연장전에 돌입했으나 결국 28대 29로 아쉽게 1점차로 패하며 은메달에 만족해야 했다 .
## <원주 단구초:ORG>는 초등부 농구 최강인 <서울 대방초:ORG>를 상대로 선전하며 연장전에 돌입했으나 결국 <28대 29:NOH>로 아쉽게 <1점:NOH>차로 패하며 은메달에 만족해야 했다 .
원주	원주	NNP	B-ORG
_	_	_	I-ORG
단구	단구	NNG	I-ORG
초	초	NNB	I-ORG
는	는	JX	O
_	_	_	O
초등	초등	NNG	O
부	부	XSN	O
_	_	_	O
농구	농구	NNG	O
_	_	_	O
최강	최강	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
서울	서울	NNP	B-ORG
_	_	_	I-ORG
대방	대방	NNP	I-ORG
초	초	NNB	I-ORG
를	를	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
선전하	선전하	VV	O
며	며	EC	O
_	_	_	O
연장전	연장전	NNG	O
에	에	JKB	O
_	_	_	O
돌입	돌입하	VV	O
했	였	EP	O
으나	으나	EC	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
28	28	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	I-NOH
29	29	SN	I-NOH
로	로	JKB	O
_	_	_	O
아쉽	아쉽	VA	O
게	게	EC	O
_	_	_	O
1	1	SN	B-NOH
점	점	NNB	I-NOH
차	차	NNG	O
로	로	JKB	O
_	_	_	O
패하	패하	VV	O
며	며	EC	O
_	_	_	O
은메달	은메달	NNG	O
에	에	JKB	O
_	_	_	O
만족해야	만족하+여야	VA+EC	O
_	_	_	O
했	+였	+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 12
## 오초아 '가자, 그랜드슬램~'
## <오초아:PER> '가자, 그랜드슬램~'
오초아	오초아	NNP	B-PER
_	_	_	O
'	'	SS	O
가	가	VV	O
자	자	EC	O
,	,	SP	O
_	_	_	O
그랜드슬램	그랜드슬램	NNG	O
~	~	SO	O
'	'	SS	O

## 13
## 격전의 무대는 미국 메릴랜드주 하브드그레이스의 불록골프장(파72 ㆍ 6596야드)이다 .
## 격전의 무대는 <미국:LOC> <메릴랜드주:LOC> <하브드그레이스:LOC>의 <불록골프장:LOC>(<파72:NOH> ㆍ <6596야드:NOH>)이다 .
격전	격전	NNG	O
의	의	JKG	O
_	_	_	O
무대	무대	NNG	O
는	는	JX	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
메릴랜드	메릴랜드	NNP	B-LOC
주	주	NNG	I-LOC
_	_	_	O
하브	하브	NNG	B-LOC
드	들	VV	I-LOC
그레이스	그레이스	NNP	I-LOC
의	의	JKG	O
_	_	_	O
불록	불록	NNG	B-LOC
골프장	골프장	NNG	I-LOC
(	(	SS	O
파	파	NNG	B-NOH
72	72	SN	I-NOH
_	_	_	O
ㆍ	ㆍ	SP	O
_	_	_	O
6596	6596	SN	B-NOH
야드	야드	NNB	I-NOH
)	)	SS	O
이	이	VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 14
## 그리 큰 체구는 아니지만 어린시절부터 등산을 즐긴 오초아는 에코톤(산악종주 경기)과 철인3종 경기 등 극한스포츠로 몸과 마음을 연마했다 .
## 그리 큰 체구는 아니지만 어린시절부터 등산을 즐긴 <오초아:PER>는 에코톤(산악종주 경기)과 철인<3종:NOH> 경기 등 극한스포츠로 몸과 마음을 연마했다 .
그리	그리	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
체구	체구	NNG	O
는	는	JX	O
_	_	_	O
아니	아니	VCN	O
지만	지만	EC	O
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
시절	시절	NNG	O
부터	부터	JX	O
_	_	_	O
등산	등산	NNG	O
을	을	JKO	O
_	_	_	O
즐긴	즐기+ㄴ	VV+ETM	O
_	_	_	O
오초아	오초아	NNP	B-PER
는	는	JX	O
_	_	_	O
에코	에코	NNG	O
톤	톤	NNG	O
(	(	SS	O
산악	산악	NNG	O
종주	종주	NNG	O
_	_	_	O
경기	경기	NNP	O
)	)	SS	O
과	과	JKB	O
_	_	_	O
철인	철인	NNG	O
3	3	SN	B-NOH
종	종	NNG	I-NOH
_	_	_	O
경기	경기	NNP	O
_	_	_	O
등	등	NNB	O
_	_	_	O
극한	극한	NNG	O
스포츠	스포츠	NNG	O
로	로	JKB	O
_	_	_	O
몸	몸	NNG	O
과	과	JC	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
연마	연마하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 15
## 우즈도 지난 2006년 아버지의 죽음 이후 첫 출전한 US오픈에서 '컷 오프'된 적이 있다 .
## <우즈:PER>도 지난 <2006년:DAT> 아버지의 죽음 이후 첫 출전한 <US오픈:POH>에서 '컷 오프'된 적이 있다 .
우즈	우즈	NNP	B-PER
도	도	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
아버지	아버지	NNG	O
의	의	JKG	O
_	_	_	O
죽음	죽음	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
출전한	출전하+ㄴ	VV+ETM	O
_	_	_	O
US	US	SL	B-POH
오픈	오픈	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
'	'	SS	O
컷	컷	NNG	O
_	_	_	O
오프	오프	NNG	O
'	'	SS	O
된	되+ㄴ	XSV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
