## 1
## 이수 하차, "나가수3 하차 MBC의 일방적인 결정…관객 반응 뜨거웠는데"
## <이수:PER> 하차, "<나가수3:POH> 하차 <MBC:ORG>의 일방적인 결정…관객 반응 뜨거웠는데"
이수	이수	NNG	B-PER
_	_	_	O
하차	하차	NNG	O
,	,	SP	O
_	_	_	O
"	"	SS	O
나가수	나가수	NNG	B-POH
3	3	SN	I-POH
_	_	_	O
하차	하차	NNG	O
_	_	_	O
MBC	MBC	SL	B-ORG
의	의	JKG	O
_	_	_	O
일방적	일방적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
결정	결정	NNG	O
…	…	SE	O
관객	관객	NNG	O
_	_	_	O
반응	반응	NNG	O
_	_	_	O
뜨거	뜨겁	VA	O
웠	었	EP	O
는데	는데	EF	O
"	"	SS	O

## 2
## 특히 바리스타는 컵커피 시장의 리딩 브랜드로서 최근 3년간 비약적인 성장을 하며 매일유업의 컵커피 시장 점유율 1위를 이끌고 있다(시장조사기관 닐슨 기준) 소비자들의 미각을 사로잡고 있는 매일유업의 컵커피 브랜드의 비결은 무엇일까.
## 특히 <바리스타:ORG>는 컵커피 시장의 리딩 브랜드로서 최근 <3년간:DUR> 비약적인 성장을 하며 <매일유업:ORG>의 컵커피 시장 점유율 <1위:NOH>를 이끌고 있다(시장조사기관 <닐슨:ORG> 기준) 소비자들의 미각을 사로잡고 있는 <매일유업:ORG>의 컵커피 브랜드의 비결은 무엇일까.
특히	특히	MAG	O
_	_	_	O
바리스타	바리스타	NNG	B-ORG
는	는	JX	O
_	_	_	O
컵	컵	NNG	O
커피	커피	NNG	O
_	_	_	O
시장	시장	NNG	O
의	의	JKG	O
_	_	_	O
리딩	리딩	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
로서	로서	JKB	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
3	3	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
비약적	비약적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
성장	성장	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
며	며	EC	O
_	_	_	O
매일유업	매일유업	NNP	B-ORG
의	의	JKG	O
_	_	_	O
컵	컵	NNG	O
커피	커피	NNG	O
_	_	_	O
시장	시장	NNG	O
_	_	_	O
점유율	점유율	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
이끌	이끌	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
(	(	SS	O
시장	시장	NNG	O
조사	조사	NNG	O
기관	기관	NNG	O
_	_	_	O
닐슨	닐슨	NNP	B-ORG
_	_	_	O
기준	기준	NNG	O
)	)	SS	O
_	_	_	O
소비자	소비자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
미각	미각	NNG	O
을	을	JKO	O
_	_	_	O
사로잡	사로잡	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
매일유업	매일유업	NNP	B-ORG
의	의	JKG	O
_	_	_	O
컵	컵	NNG	O
커피	커피	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
의	의	JKG	O
_	_	_	O
비결	비결	NNG	O
은	은	JX	O
_	_	_	O
무엇	무엇	NP	O
일까	이+ㄹ까	VCP+EF	O
.	.	SF	O

## 3
## 우리의 추측은 북한이 다시 핵사찰을 받게 되기까지의 미­북협상에서 북한이 이 문제를 들고나와 집요하게 요구했을 가능성이다.
## 우리의 추측은 <북한:ORG>이 다시 핵사찰을 받게 되기까지의 <미­북:ORG>협상에서 <북한:ORG>이 이 문제를 들고나와 집요하게 요구했을 가능성이다.
우리	우리	NP	O
의	의	JKG	O
_	_	_	O
추측	추측	NNG	O
은	은	JX	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
핵	핵	NNG	O
사찰	사찰	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
게	게	EC	O
_	_	_	O
되	되	VV	O
기	기	ETN	O
까지	까지	JX	O
의	의	JKG	O
_	_	_	O
미	미	NNP	B-ORG
­	­	SS	I-ORG
북	북	NNP	I-ORG
협상	협상	NNG	O
에서	에서	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
이	이	MM	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
고	고	EC	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
집요하	집요하	VA	O
게	게	EC	O
_	_	_	O
요구	요구하	VV	O
했	였	EP	O
을	을	ETM	O
_	_	_	O
가능성	가능성	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
