## 1
## 그 후 서울시교육청은 13년 동안 특수학교를 세우려 했지만 번번이 건립 예정지역 주민들의 반대에 부딪혔다.
## 그 후 <서울시교육청:ORG>은 <13년 동안:DUR> 특수학교를 세우려 했지만 번번이 건립 예정지역 주민들의 반대에 부딪혔다.
그	그	MM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
서울시교육청	서울시교육청	NNP	B-ORG
은	은	JX	O
_	_	_	O
13	13	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
동안	동안	NNG	I-DUR
_	_	_	O
특수학교	특수학교	NNG	O
를	를	JKO	O
_	_	_	O
세우	세우	VV	O
려	려	EC	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
번번이	번번이	MAG	O
_	_	_	O
건립	건립	NNG	O
_	_	_	O
예정	예정	NNG	O
지역	지역	NNG	O
_	_	_	O
주민	주민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
반대	반대	NNG	O
에	에	JKB	O
_	_	_	O
부딪	부딪히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김태준 원장은 “임질에 감염된 후 증상이 없다고 괜찮은 게 아니다”며 “이같은 문제로 사람이 죽고 사는 정도는 아니지만 불임을 유발하는 등 심각한 문제로 이어질 소지가 있다”고 말했다.
## <김태준:PER> 원장은 “임질에 감염된 후 증상이 없다고 괜찮은 게 아니다”며 “이같은 문제로 사람이 죽고 사는 정도는 아니지만 불임을 유발하는 등 심각한 문제로 이어질 소지가 있다”고 말했다.
김태준	김태준	NNP	B-PER
_	_	_	O
원장	원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
임질	임질	NNG	O
에	에	JKB	O
_	_	_	O
감염된	감염되+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
증상	증상	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다고	다고	EC	O
_	_	_	O
괜찮	괜찮	VA	O
은	은	ETM	O
_	_	_	O
게	것+이	NNB+JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
문제	문제	NNG	O
로	로	JKB	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
죽	죽	VV	O
고	고	EC	O
_	_	_	O
사	살	VV	O
는	는	ETM	O
_	_	_	O
정도	정도	NNG	O
는	는	JX	O
_	_	_	O
아니	아니	VCN	O
지만	지만	EC	O
_	_	_	O
불임	불임	NNG	O
을	을	JKO	O
_	_	_	O
유발하	유발하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
심각한	심각하+ㄴ	VA+ETM	O
_	_	_	O
문제	문제	NNG	O
로	로	JKB	O
_	_	_	O
이어질	이어지+ㄹ	VV+ETM	O
_	_	_	O
소지	소지	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그로저는 1세트에만 10점을 올렸고, 공격성공률은 무려 90%에 달했다.
## <그로저:PER>는 <1세트:NOH>에만 <10점:NOH>을 올렸고, 공격성공률은 무려 <90%:PNT>에 달했다.
그로저	그로저	NNP	B-PER
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
세트	세트	NNG	I-NOH
에	에	JKB	O
만	만	JX	O
_	_	_	O
10	10	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
공격	공격	NNG	O
성공률	성공률	NNG	O
은	은	JX	O
_	_	_	O
무려	무려	MAG	O
_	_	_	O
90	90	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
달	달하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 4일 목함지뢰 도발로 촉발된 남북 대치가 25일 새벽 극적인 남북 합의로 일단락됐다.
## <4일:DAT> 목함지뢰 도발로 촉발된 <남:ORG><북:ORG> 대치가 <25일:DAT> 새벽 극적인 <남:ORG><북:ORG> 합의로 일단락됐다.
4	4	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
목함지뢰	목함지뢰	NNG	O
_	_	_	O
도발	도발	NNG	O
로	로	JKB	O
_	_	_	O
촉발된	촉발되+ㄴ	VV+ETM	O
_	_	_	O
남북	남북	NNP	B-ORG
_	_	_	O
대치	대치	NNG	O
가	가	JKS	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
새벽	새벽	NNG	O
_	_	_	O
극적	극적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
남북	남북	NNP	B-ORG
_	_	_	O
합의	합의	NNG	O
로	로	JKB	O
_	_	_	O
일단락	일단락되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 중국의 정전위 철수(사설)
## <중국:ORG>의 정전위 철수(사설)
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
정전	정전	NNG	O
위	위	NNG	O
_	_	_	O
철수	철수	NNG	O
(	(	SS	O
사설	사설	NNG	O
)	)	SS	O

## 6
## 주요언론도 백악관 입장을 지지하는 듯한 분위기다.
## 주요언론도 <백악관:ORG> 입장을 지지하는 듯한 분위기다.
주요	주요	NNG	O
언론	언론	NNG	O
도	도	JX	O
_	_	_	O
백악관	백악관	NNP	B-ORG
_	_	_	O
입장	입장	NNG	O
을	을	JKO	O
_	_	_	O
지지하	지지하	VV	O
는	는	ETM	O
_	_	_	O
듯한	듯하+ㄴ	VX+ETM	O
_	_	_	O
분위기	분위기+이	NNG+VCP	O
