## 1
## 일자리가 늘어나는 대한민국을 실행에 옮기기 위한 세부 공약은 ‘청년들이 쉽게 취업할 수 있고, 엄마들이 걱정 없이 일할 수 있는 사회시스템 구축’ 등이었다.
## 일자리가 늘어나는 <대한민국:ORG>을 실행에 옮기기 위한 세부 공약은 ‘청년들이 쉽게 취업할 수 있고, 엄마들이 걱정 없이 일할 수 있는 사회시스템 구축’ 등이었다.
일자리	일자리	NNG	O
가	가	JKS	O
_	_	_	O
늘어나	늘어나	VV	O
는	는	ETM	O
_	_	_	O
대한민국	대한민국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
실행	실행	NNG	O
에	에	JKB	O
_	_	_	O
옮기	옮기	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
세부	세부	NNG	O
_	_	_	O
공약	공약	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
청년	청년	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
쉽	쉽	VA	O
게	게	EC	O
_	_	_	O
취업할	취업하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
엄마	엄마	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
걱정	걱정	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
일할	일하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
사회	사회	NNG	O
시스템	시스템	NNG	O
_	_	_	O
구축	구축	NNG	O
’	’	SS	O
_	_	_	O
등	등	NNB	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한데 근간의 미국 매미는 유럽 매미처럼 처절하지 않다.
## 한데 근간의 <미국:LOC> 매미는 <유럽:LOC> 매미처럼 처절하지 않다.
한데	한데	MAJ	O
_	_	_	O
근간	근간	NNG	O
의	의	JKG	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
매미	매미	NNG	O
는	는	JX	O
_	_	_	O
유럽	유럽	NNP	B-LOC
_	_	_	O
매미	매미	NNG	O
처럼	처럼	JKB	O
_	_	_	O
처절하	처절하	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 이날 ‘두시의 데이트’에는 가수 주니엘과 에릭남이 출연했다.
## 한편 이날 ‘<두시의 데이트:POH>’에는 가수 <주니엘:PER>과 <에릭남:PER>이 출연했다.
한편	한편	MAG	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
‘	‘	SS	O
두	두	MM	B-POH
시	시	NNB	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
데이트	데이트	NNG	I-POH
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
주니엘	주니엘	NNP	B-PER
과	과	JC	O
_	_	_	O
에릭	에릭	NNP	B-PER
남	남	NNG	I-PER
이	이	JKS	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 서로 보호를 해줘야하는데, 이라크이라크 선수들이 너무 거칠었다"며 아쉬움을 전했다.
## 서로 보호를 해줘야하는데, <이라크:ORG><이라크:ORG> 선수들이 너무 거칠었다"며 아쉬움을 전했다.
서로	서로	MAG	O
_	_	_	O
보호	보호	NNG	O
를	를	JKO	O
_	_	_	O
해	하+여	VV+EC	O
