## 1
## 기재부 관계자는 “앞으로도 매년 10조∼14조 원의 당기순이익을 거둘 것으로 예상되며, 흑자 기관도 2014년 30개에서 2019년 32개로 늘어날 것으로 전망된다”고 말했다.
## <기재부:ORG> 관계자는 “앞으로도 매년 <10조:MNY>∼<14조 원:MNY>의 당기순이익을 거둘 것으로 예상되며, 흑자 기관도 <2014년:DAT> <30개:NOH>에서 <2019년:DAT> <32개:NOH>로 늘어날 것으로 전망된다”고 말했다.
기재부	기재부	NNG	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
앞	앞	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
10	10	SN	B-MNY
조	조	NNG	I-MNY
∼	∼	SO	O
14	14	SN	B-MNY
조	조	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
당기순이익	당기순이익	NNG	O
을	을	JKO	O
_	_	_	O
거둘	거두+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예상되	예상되	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
흑자	흑자	NNG	O
_	_	_	O
기관	기관	NNG	O
도	도	JX	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
30	30	SN	B-NOH
개	개	NNB	I-NOH
에서	에서	JKB	O
_	_	_	O
2019	2019	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
32	32	SN	B-NOH
개	개	NNB	I-NOH
로	로	JKB	O
_	_	_	O
늘어날	늘어나+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전망된다	전망되+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김선웅 선수협 사무국장은 “현재까지 나온 안을 보면 변호사 외에도 선수 출신, 스포츠 마케팅 관련 업무 경력자, 구단 프런트 출신, 다른 종목 공인 에이전트 등에게도 자격을 줄 가능성이 높다.
## <김선웅:PER> <선수협:ORG> 사무국장은 “현재까지 나온 안을 보면 변호사 외에도 선수 출신, 스포츠 마케팅 관련 업무 경력자, 구단 프런트 출신, 다른 종목 공인 에이전트 등에게도 자격을 줄 가능성이 높다.
김선웅	김선웅	NNP	B-PER
_	_	_	O
선수	선수	NNG	B-ORG
협	협	NNG	I-ORG
_	_	_	O
사무국	사무국	NNG	O
장	장	XSN	O
