## 1
## 노트 한 권만으로 시험 대비가 가능하게 말이다.
## 노트 <한 권:NOH>만으로 시험 대비가 가능하게 말이다.
노트	노트	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
권	권	NNB	I-NOH
만	만	JX	O
으로	으로	JKB	O
_	_	_	O
시험	시험	NNG	O
_	_	_	O
대비	대비	NNG	O
가	가	JKS	O
_	_	_	O
가능하	가능하	VA	O
게	게	EC	O
_	_	_	O
말	말	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 삼성측은 “이번 투명 OLED는 일반 유리에 가까운 투과율을 자랑한다”고 설명했다.
## <삼성:ORG>측은 “이번 투명 OLED는 일반 유리에 가까운 투과율을 자랑한다”고 설명했다.
삼성	삼성	NNP	B-ORG
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
이번	이번	NNG	O
_	_	_	O
투명	투명	NNG	O
_	_	_	O
OLED	OLED	SL	O
는	는	JX	O
_	_	_	O
일반	일반	NNG	O
_	_	_	O
유리	유리	NNG	O
에	에	JKB	O
_	_	_	O
가까	가깝	VA	O
운	ㄴ	ETM	O
_	_	_	O
투과율	투과율	NNG	O
을	을	JKO	O
_	_	_	O
자랑한다	자랑하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 향후 서울 전 지역 복지관으로의 확대를 목표로 하고 있다는 것이 한국암웨이 측의 설명이다.
## 향후 <서울:LOC> 전 지역 복지관으로의 확대를 목표로 하고 있다는 것이 <한국암웨이:ORG> 측의 설명이다.
향후	향후	NNG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
전	전	MM	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
복지	복지	NNG	O
관	관	XSN	O
으로	으로	JKB	O
의	의	JKG	O
_	_	_	O
확대	확대	NNG	O
를	를	JKO	O
_	_	_	O
목표	목표	NNG	O
로	로	JKB	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
한국	한국	NNP	B-ORG
암웨이	암웨이	NNP	I-ORG
_	_	_	O
측	측	NNB	O
의	의	JKG	O
_	_	_	O
설명	설명	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 신흥국과 중국의 경제불안 등 불안요소가 있어 기업들이 보수적인 채용계획을 세우고 있다”고 말했다.
## 신흥국과 <중국:ORG>의 경제불안 등 불안요소가 있어 기업들이 보수적인 채용계획을 세우고 있다”고 말했다.
신흥	신흥	NNG	O
국	국	XSN	O
과	과	JKB	O
_	_	_	O
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
경제	경제	NNG	O
불안	불안	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
불안	불안	NNG	O
요소	요소	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
기업	기업	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
보수적	보수적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
채용	채용	NNG	O
계획	계획	NNG	O
을	을	JKO	O
_	_	_	O
세우	세우	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 독일은 외국 자본이 프로축구 구단의 지분을 49%까지만 소유할 수 있도록 하고, 외국 자본이 운영한 뒤 20년이 지나야 지분 51% 이상을 가질 수 있도록 규정하고 있다.
## <독일:ORG>은 외국 자본이 프로축구 구단의 지분을 <49%:PNT>까지만 소유할 수 있도록 하고, 외국 자본이 운영한 뒤 <20년:DUR>이 지나야 지분 <51%:PNT> 이상을 가질 수 있도록 규정하고 있다.
독일	독일	NNP	B-ORG
은	은	JX	O
_	_	_	O
외국	외국	NNG	O
_	_	_	O
자본	자본	NNG	O
이	이	JKS	O
_	_	_	O
프로	프로	NNG	O
축구	축구	NNG	O
_	_	_	O
구단	구단	NNG	O
의	의	JKG	O
_	_	_	O
지분	지분	NNG	O
을	을	JKO	O
_	_	_	O
49	49	SN	B-PNT
%	%	SW	I-PNT
까지	까지	JX	O
만	만	JX	O
_	_	_	O
소유할	소유하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
하	하	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
외국	외국	NNG	O
_	_	_	O
자본	자본	NNG	O
이	이	JKS	O
_	_	_	O
운영한	운영하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
20	20	SN	B-DUR
년	년	NNB	I-DUR
이	이	JKS	O
_	_	_	O
지나야	지나+아야	VV+EC	O
_	_	_	O
지분	지분	NNG	O
_	_	_	O
51	51	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
가질	가지+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
규정하	규정하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 아모레퍼시픽 ‘뷰티풀 라이프’, 여성가장 지원에 30억원 기탁
## <아모레퍼시픽:ORG> ‘<뷰티풀 라이프:POH>’, 여성가장 지원에 <30억원:MNY> 기탁
아모레퍼시픽	아모레퍼시픽	NNP	B-ORG
_	_	_	O
‘	‘	SS	O
뷰티풀	뷰티풀	NNG	B-POH
_	_	_	I-POH
라이프	라이프	NNG	I-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
여성	여성	NNG	O
가장	가장	NNG	O
_	_	_	O
지원	지원	NNG	O
에	에	JKB	O
