## 1
## 상선에서 일본을 제쳤듯이 특화시킬 만한 것을 찾아야 한다는 것이다.
## 상선에서 <일본:ORG>을 제쳤듯이 특화시킬 만한 것을 찾아야 한다는 것이다.
상선	상선	NNG	O
에서	에서	JKB	O
_	_	_	O
일본	일본	NNP	B-ORG
을	을	JKO	O
_	_	_	O
제	제치	VV	O
쳤	었	EP	O
듯이	듯이	EC	O
_	_	_	O
특화	특화	NNG	O
시킬	시키+ㄹ	XSV+ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
아야	아야	EC	O
_	_	_	O
한다는	하+ㄴ다는	VX+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 그러므로 선진국 영향하에 있는 신흥국들은 영향을 덜 받고 중국에 대한 시각은 최근에 급격하게 추락하는 느낌이다.
## 그러므로 선진국 영향하에 있는 신흥국들은 영향을 덜 받고 <중국:ORG>에 대한 시각은 최근에 급격하게 추락하는 느낌이다.
그러므로	그러므로	MAJ	O
_	_	_	O
선진국	선진국	NNG	O
_	_	_	O
영향	영향	NNG	O
하	하	XSN	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
신흥	신흥	NNG	O
국	국	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
덜	덜	MAG	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
중국	중국	NNP	B-ORG
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
시각	시각	NNG	O
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
에	에	JKB	O
_	_	_	O
급격하	급격하	VA	O
게	게	EC	O
_	_	_	O
추락하	추락하	VV	O
는	는	ETM	O
_	_	_	O
느낌	느낌	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘억대 사기 혐의로 기소’ 이주노, 피해자에게 서태지 언급했다?
## ‘억대 사기 혐의로 기소’ <이주노:PER>, 피해자에게 <서태지:PER> 언급했다?
‘	‘	SS	O
억	억	NR	O
대	대	XSN	O
_	_	_	O
사기	사기	NNG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
기소	기소	NNG	O
’	’	SS	O
_	_	_	O
이주노	이주노	NNP	B-PER
,	,	SP	O
_	_	_	O
피해자	피해자	NNG	O
에게	에게	JKB	O
_	_	_	O
서태지	서태지	NNP	B-PER
_	_	_	O
언급	언급하	VV	O
했	였	EP	O
다	다	EF	O
?	?	SF	O

## 4
## [신공항 대신 ‘김해공항 확장’]공항 확장 배경-향후 일정
## [신공항 대신 ‘<김해공항:LOC> 확장’]공항 확장 배경-향후 일정
[	[	SS	O
신	신	XPN	O
공항	공항	NNG	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
‘	‘	SS	O
김해	김해	NNP	B-LOC
공항	공항	NNG	I-LOC
_	_	_	O
확장	확장	NNG	O
’	’	SS	O
]	]	SS	O
공항	공항	NNG	O
_	_	_	O
확장	확장	NNG	O
_	_	_	O
배경	배경	NNG	O
-	-	SO	O
향후	향후	NNG	O
_	_	_	O
일정	일정	NNG	O

## 5
## ‘라디오스타’가 독특한 개성의 네 사람을 한 데 모아 웃음꽃을 피워냈다.
## ‘<라디오스타:POH>’가 독특한 개성의 <네 사람:NOH>을 한 데 모아 웃음꽃을 피워냈다.
‘	‘	SS	O
라디오스타	라디오스타	NNP	B-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
독특한	독특하+ㄴ	VA+ETM	O
_	_	_	O
개성	개성	NNG	O
의	의	JKG	O
_	_	_	O
네	네	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
을	을	JKO	O
_	_	_	O
한	한	MM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
모	모으	VV	O
아	아	EC	O
_	_	_	O
웃음꽃	웃음꽃	NNG	O
을	을	JKO	O
_	_	_	O
피	피우	VV	O
워	어	EC	O
냈	내+었	VX+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 재판부는 김 씨에게 적용된 살인미수와 외국사절폭행, 업무 방해 혐의는 유죄로 인정하면서도 국가보안법 위반 혐의는 무죄로 봤다.
## 재판부는 <김:PER> 씨에게 적용된 살인미수와 외국사절폭행, 업무 방해 혐의는 유죄로 인정하면서도 국가보안법 위반 혐의는 무죄로 봤다.
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
적용된	적용되+ㄴ	VV+ETM	O
_	_	_	O
살인	살인	NNG	O
미수	미수	NNG	O
와	와	JC	O
_	_	_	O
외국	외국	NNG	O
사절	사절	NNG	O
폭행	폭행	NNG	O
,	,	SP	O
_	_	_	O
업무	업무	NNG	O
_	_	_	O
방해	방해	NNG	O
_	_	_	O
혐의	혐의	NNG	O
는	는	JX	O
_	_	_	O
