## 1
## 해외 투자자들도 한국의 기술창업에 대해 주목하고 있으며, 투자 기회를 발굴하기 위한 발걸음이 잦아지고 있다.
## 해외 투자자들도 <한국:ORG>의 기술창업에 대해 주목하고 있으며, 투자 기회를 발굴하기 위한 발걸음이 잦아지고 있다.
해외	해외	NNG	O
_	_	_	O
투자자	투자자	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
기술	기술	NNG	O
창업	창업	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
주목하	주목하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
투자	투자	NNG	O
_	_	_	O
기회	기회	NNG	O
를	를	JKO	O
_	_	_	O
발굴하	발굴하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
발걸음	발걸음	NNG	O
이	이	JKS	O
_	_	_	O
잦아지	잦아지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 20년 전에는 혼인지속기간이 길수록 이혼이 줄었으나 최근에는 20년 이상 된 부부의 이혼이 늘어 지난해에는 전체 이혼의 30.4%를 차지했습니다.
## <20년:NOH> 전에는 혼인지속기간이 길수록 이혼이 줄었으나 최근에는 <20년:DUR> 이상 된 부부의 이혼이 늘어 지난해에는 전체 이혼의 <30.4%:PNT>를 차지했습니다.
20	20	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
혼인	혼인	NNG	O
지속	지속	NNG	O
기간	기간	NNG	O
이	이	JKS	O
_	_	_	O
길수록	길+ㄹ수록	VA+EC	O
_	_	_	O
이혼	이혼	NNG	O
이	이	JKS	O
_	_	_	O
줄	줄	VV	O
었	었	EP	O
으나	으나	EC	O
_	_	_	O
최근	최근	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
20	20	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
이상	이상	NNG	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
부부	부부	NNG	O
의	의	JKG	O
_	_	_	O
이혼	이혼	NNG	O
이	이	JKS	O
_	_	_	O
늘	늘	VV	O
어	어	EC	O
_	_	_	O
지난해	지난해	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
이혼	이혼	NNG	O
의	의	JKG	O
_	_	_	O
30.4	30.4	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
차지	차지하	VV	O
했	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 3
## 페이스걸 대변인 브래들리 샤베는 “모든 건 5~10분 내에 다 끝난다”고 말했다.
## <페이스걸:ORG> 대변인 <브래들리 샤베:PER>는 “모든 건 <5~10분:DUR> 내에 다 끝난다”고 말했다.
페이스	페이스	NNG	B-ORG
걸	것+ㄹ	NNB+JKO	I-ORG
_	_	_	O
대변인	대변인	NNG	O
_	_	_	O
브래들리	브래들리	NNP	B-PER
_	_	_	I-PER
샤베	샤베	NNG	I-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
모든	모든	MM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
5	5	SN	B-DUR
~	~	SO	I-DUR
10	10	SN	I-DUR
분	분	NNB	I-DUR
_	_	_	O
내	내	NNB	O
에	에	JKB	O
_	_	_	O
다	다	MAG	O
_	_	_	O
끝난다	끝나+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
