## 1
## 산악자전거 타기처럼 기존 휠체어로는 도저히 불가능한 레포츠를 즐기기를 원하는 선진국 장애인들의 니즈를 파악하고 산악 스포츠용 휠체어로 제품을 개선한 것. 미국에서 판매 중인 GRIT 프리덤체어 가격은 대당 3000달러가 넘는다.
## 산악자전거 타기처럼 기존 휠체어로는 도저히 불가능한 레포츠를 즐기기를 원하는 선진국 장애인들의 니즈를 파악하고 산악 스포츠용 휠체어로 제품을 개선한 것. <미국:LOC>에서 판매 중인 <GRIT 프리덤체어:POH> 가격은 대당 <3000달러:MNY>가 넘는다.
산악자전거	산악자전거	NNG	O
_	_	_	O
타	타	VV	O
기	기	ETN	O
처럼	처럼	JKB	O
_	_	_	O
기존	기존	NNG	O
_	_	_	O
휠체어	휠체어	NNG	O
로	로	JKB	O
는	는	JX	O
_	_	_	O
도저히	도저히	MAG	O
_	_	_	O
불가능한	불가능하+ㄴ	VA+ETM	O
_	_	_	O
레포츠	레포츠	NNG	O
를	를	JKO	O
_	_	_	O
즐기	즐기	VV	O
기	기	ETN	O
를	를	JKO	O
_	_	_	O
원하	원하	VV	O
는	는	ETM	O
_	_	_	O
선진국	선진국	NNG	O
_	_	_	O
장애인	장애인	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
니즈	니즈	NNG	O
를	를	JKO	O
_	_	_	O
파악하	파악하	VV	O
고	고	EC	O
_	_	_	O
산악	산악	NNG	O
_	_	_	O
스포츠	스포츠	NNG	O
용	용	XSN	O
_	_	_	O
휠체어	휠체어	NNG	O
로	로	JKB	O
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
개선한	개선하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
_	_	_	O
미국	미국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
GRIT	GRIT	SL	B-POH
_	_	_	I-POH
프리덤	프리덤	NNG	I-POH
체어	체어	NNG	I-POH
_	_	_	O
가격	가격	NNG	O
은	은	JX	O
_	_	_	O
대	대	NNG	O
당	당	XSN	O
_	_	_	O
3000	3000	SN	B-MNY
달러	달러	NNB	I-MNY
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
는다	는다	EF	O
.	.	SF	O

## 2
## 케리 장관은 “북한이 비핵화 협상에 응한다면 궁극적으로 평화협정을 체결할 수 있다”고 했다.
## <케리:PER> 장관은 “<북한:ORG>이 비핵화 협상에 응한다면 궁극적으로 평화협정을 체결할 수 있다”고 했다.
케리	케리	NNP	B-PER
_	_	_	O
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
비	비	XPN	O
핵	핵	NNG	O
화	화	XSN	O
_	_	_	O
협상	협상	NNG	O
에	에	JKB	O
_	_	_	O
응한다면	응하+ㄴ다면	VV+EC	O
_	_	_	O
궁극적	궁극적	NNG	O
으로	으로	JKB	O
_	_	_	O
평화	평화	NNG	O
협정	협정	NNG	O
을	을	JKO	O
_	_	_	O
체결할	체결하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
