## 1
## 김광열 베세토국제학교 이사장
## <김광열:PER> <베세토국제학교:ORG> 이사장
김광열	김광열	NNP	B-PER
_	_	_	O
베세토	베세토	NNP	B-ORG
국제	국제	NNG	I-ORG
학교	학교	NNG	I-ORG
_	_	_	O
이사장	이사장	NNG	O

## 2
## 박근혜 대통령은 미국을 방문한 16일 로이드 넬슨 핸드 전 미 국무부 의전장(86)에게서 50년 전 박 전 대통령 부부의 방미 사진이 담긴 사진첩을 선물 받았다.
## <박근혜:PER> 대통령은 <미국:ORG>을 방문한 <16일:DAT> <로이드 넬슨 핸드:PER> 전 <미:ORG> 국무부 의전장(<86:NOH>)에게서 <50년:NOH> 전 <박:PER> 전 대통령 부부의 방미 사진이 담긴 사진첩을 선물 받았다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
방문한	방문하+ㄴ	VV+ETM	O
_	_	_	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
로이드	로이드	NNP	B-PER
_	_	_	I-PER
넬슨	넬슨	NNP	I-PER
_	_	_	I-PER
핸드	핸드	NNG	I-PER
_	_	_	O
전	전	MM	O
_	_	_	O
미	미	NNP	B-ORG
_	_	_	O
국무부	국무부	NNG	O
_	_	_	O
의전	의전	NNG	O
장	장	XSN	O
(	(	SS	O
86	86	SN	B-NOH
)	)	SS	O
에게서	에게서	JKB	O
_	_	_	O
50	50	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
부부	부부	NNG	O
의	의	JKG	O
_	_	_	O
방	방	NNG	O
미	미	NNP	O
_	_	_	O
사진	사진	NNG	O
이	이	JKS	O
_	_	_	O
담긴	담기+ㄴ	VV+ETM	O
_	_	_	O
사진첩	사진첩	NNG	O
을	을	JKO	O
_	_	_	O
선물	선물	NNG	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 대한근대5종연맹은 정진화를 포함해 올림픽 출전 자격을 얻은 남자 선수 4명 가운데 최종 출전자 2명을 가릴 계획이다.
## <대한근대5종연맹:ORG>은 <정진화:PER>를 포함해 올림픽 출전 자격을 얻은 남자 선수 <4명:NOH> 가운데 최종 출전자 <2명:NOH>을 가릴 계획이다.
대한	대한	NNP	B-ORG
근대	근대	NNG	I-ORG
5	5	SN	I-ORG
종	종	NNG	I-ORG
연맹	연맹	NNG	I-ORG
은	은	JX	O
_	_	_	O
정진화	정진화	NNP	B-PER
를	를	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
올림픽	올림픽	NNG	O
_	_	_	O
출전	출전	NNG	O
_	_	_	O
자격	자격	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
은	은	ETM	O
_	_	_	O
남자	남자	NNG	O
_	_	_	O
선수	선수	NNG	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
출전자	출전자	NNG	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
가릴	가리+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 한편, 방탄소년단은 29일 0시 세 번째 미니앨범 ‘화양연화 pt.1’을 발매할 예정이다.
## 한편, <방탄소년단:ORG>은 <29일:DAT> <0시:TIM> 세 번째 미니앨범 ‘<화양연화 pt.1:POH>’을 발매할 예정이다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
방탄소년단	방탄소년단	NNP	B-ORG
은	은	JX	O
_	_	_	O
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
0	0	SN	B-TIM
시	시	NNB	I-TIM
_	_	_	O
세	세	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
미니	미니	NNG	O
앨범	앨범	NNG	O
_	_	_	O
‘	‘	SS	O
화양연화	화양연화	NNP	B-POH
_	_	_	I-POH
pt	pt	SL	I-POH
.1	.1	SN	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
발매할	발매하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 지난 11일 민주당 우상호 원내대표는 “야권이 분열하면 (대선에서) 진다”며 야권 통합카드를 꺼냈다.
## 지난 <11일:DAT> <민주당:ORG> <우상호:PER> 원내대표는 “야권이 분열하면 (대선에서) 진다”며 야권 통합카드를 꺼냈다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
민주당	민주당	NNP	B-ORG
_	_	_	O
우상호	우상호	NNP	B-PER
_	_	_	O
원내	원내	NNG	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
야권	야권	NNG	O
이	이	JKS	O
_	_	_	O
분열하	분열하	VV	O
면	면	EC	O
_	_	_	O
(	(	SS	O
대선	대선	NNG	O
에서	에서	JKB	O
)	)	SS	O
_	_	_	O
진다	지+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
야권	야권	NNG	O
_	_	_	O
통합	통합	NNG	O
카드	카드	NNG	O
를	를	JKO	O
_	_	_	O
꺼냈	꺼내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## [라이프 트렌드]강원도 폐광 지역 청소년 꿈 키우다
## [<라이프 트렌드:POH>]<강원도:LOC> 폐광 지역 청소년 꿈 키우다
[	[	SS	O
라이프	라이프	NNP	B-POH
_	_	_	I-POH
트렌드	트렌드	NNG	I-POH
]	]	SS	O
강원도	강원도	NNP	B-LOC
_	_	_	O
폐광	폐광	NNG	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
청소년	청소년	NNG	O
_	_	_	O
꿈	꿈	NNG	O
_	_	_	O
키우	키우	VV	O
다	다	EF	O

## 7
## 국내 이동통신사 중에서는 KT가 2012년 스마트폰과 연동해 사용하는 ‘스파이더 랩톱’을 선보인 이후 처음이다.
## 국내 이동통신사 중에서는 <KT:ORG>가 <2012년:DAT> 스마트폰과 연동해 사용하는 ‘<스파이더 랩톱:POH>’을 선보인 이후 처음이다.
국내	국내	NNG	O
_	_	_	O
이동통신	이동통신	NNG	O
사	사	XSN	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
KT	KT	SL	B-ORG
