## 1
## 윤석민은 계속된 기회를 놓치지 않았다.
## <윤석민:PER>은 계속된 기회를 놓치지 않았다.
윤석민	윤석민	NNG	B-PER
은	은	JX	O
_	_	_	O
계속된	계속되+ㄴ	VV+ETM	O
_	_	_	O
기회	기회	NNG	O
를	를	JKO	O
_	_	_	O
놓치	놓치	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김민재는 추운 날씨에도 밤낮없이 촬영에 매진하는 ‘마을-아치아라의 비밀’ 스태프들을 위해 따뜻한 커피 등 각종 음료를 준비했다.
## <김민재:PER>는 추운 날씨에도 밤낮없이 촬영에 매진하는 ‘<마을-아치아라의 비밀:POH>’ 스태프들을 위해 따뜻한 커피 등 각종 음료를 준비했다.
김민재	김민재	NNP	B-PER
는	는	JX	O
_	_	_	O
추	춥	VA	O
운	ㄴ	ETM	O
_	_	_	O
날씨	날씨	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
밤낮없이	밤낮없이	MAG	O
_	_	_	O
촬영	촬영	NNG	O
에	에	JKB	O
_	_	_	O
매진하	매진하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
마을	마을	NNG	B-POH
-	-	SO	I-POH
아치	아치	NNG	I-POH
아라	아라	NNP	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
비밀	비밀	NNG	I-POH
’	’	SS	O
_	_	_	O
스태프	스태프	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
따뜻한	따뜻하+ㄴ	VA+ETM	O
_	_	_	O
커피	커피	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
각종	각종	NNG	O
_	_	_	O
음료	음료	NNG	O
를	를	JKO	O
_	_	_	O
준비	준비하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 헌재는 지난해 5월 교원노조법 2조에 대해 합헌 결정을 내렸고, 대법원은 정부 측의 손을 들어주는 내용의 판결을 한 뒤 가처분 사건을 서울고법으로 돌려보냈다.
## <헌재:ORG>는 지난해 <5월:DAT> 교원노조법 <2조:NOH>에 대해 합헌 결정을 내렸고, <대법원:ORG>은 정부 측의 손을 들어주는 내용의 판결을 한 뒤 가처분 사건을 <서울고법:ORG>으로 돌려보냈다.
헌재	헌재	NNG	B-ORG
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
교원	교원	NNG	O
노조	노조	NNG	O
법	법	NNG	O
_	_	_	O
2	2	SN	B-NOH
조	조	NNB	I-NOH
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
합헌	합헌	NNG	O
_	_	_	O
결정	결정	NNG	O
을	을	JKO	O
_	_	_	O
내	내리	VV	O
렸	었	EP	O
