## 1
## 신임 김재원 충남지방경찰청장은 29일 “어린 시절 자랐고 성장하는 동안 항상 응원해준 고향의 치안 책임을 맡는다는 것이 무엇보다 큰 기쁨이면서도 큰 부담”이라며 이같이 밝혔다.
## 신임 <김재원:PER> <충남지방경찰청:ORG>장은 <29일:DAT> “어린 시절 자랐고 성장하는 동안 항상 응원해준 고향의 치안 책임을 맡는다는 것이 무엇보다 큰 기쁨이면서도 큰 부담”이라며 이같이 밝혔다.
신임	신임	NNG	O
_	_	_	O
김재원	김재원	NNP	B-PER
_	_	_	O
충남	충남	NNP	B-ORG
지방	지방	NNG	I-ORG
경찰청	경찰청	NNG	I-ORG
장	장	XSN	O
은	은	JX	O
_	_	_	O
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
자랐	자라+았	VV+EP	O
고	고	EC	O
_	_	_	O
성장하	성장하	VV	O
는	는	ETM	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
항상	항상	MAG	O
_	_	_	O
응원해	응원하+여	VV+EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
고향	고향	NNG	O
의	의	JKG	O
_	_	_	O
치안	치안	NNG	O
_	_	_	O
책임	책임	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
는다는	는다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
무엇	무엇	NP	O
보다	보다	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
기쁨	기쁨	NNG	O
이	이	VCP	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
부담	부담	NNG	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
이같이	이같이	MAG	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그래도 제주기지는 평화로워 보였다.
## 그래도 <제주:LOC>기지는 평화로워 보였다.
그래도	그리하+여도	VV+EC	O
_	_	_	O
제주	제주	NNP	B-LOC
기지	기지	NNG	O
는	는	JX	O
_	_	_	O
평화로	평화롭	VA	O
워	어	EC	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 수출물가 5개월 만에 하락…수입물가지수도 석달 연속 감소세
## 수출물가 <5개월:DUR> 만에 하락…수입물가지수도 <석달:DUR> 연속 감소세
수출	수출	NNG	O
물가	물가	NNG	O
_	_	_	O
5	5	SN	B-DUR
개월	개월	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
하락	하락	NNG	O
…	…	SE	O
수입	수입	NNG	O
물가	물가	NNG	O
지수	지수	NNG	O
도	도	JX	O
_	_	_	O
석	석	MM	B-DUR
달	달	NNB	I-DUR
_	_	_	O
연속	연속	NNG	O
_	_	_	O
감소세	감소세	NNG	O

## 4
