## 1
## 한국은행 관계자는 “기업이 본격적으로 김영란법을 영업 예산에 반영하는 올해 초부터 법카 사용 추이에 변동이 생길 수 있다”고 말했다.
## <한국은행:ORG> 관계자는 “기업이 본격적으로 김영란법을 영업 예산에 반영하는 올해 초부터 법카 사용 추이에 변동이 생길 수 있다”고 말했다.
한국은행	한국은행	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
기업	기업	NNG	O
이	이	JKS	O
_	_	_	O
본격적	본격적	NNG	O
으로	으로	JKB	O
_	_	_	O
김영란	김영란	NNP	O
법	법	XSN	O
을	을	JKO	O
_	_	_	O
영업	영업	NNG	O
_	_	_	O
예산	예산	NNG	O
에	에	JKB	O
_	_	_	O
반영하	반영하	VV	O
는	는	ETM	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
초	초	NNB	O
부터	부터	JX	O
_	_	_	O
법	법	NNG	O
카	카	NNG	O
_	_	_	O
사용	사용	NNG	O
_	_	_	O
추이	추이	NNG	O
에	에	JKB	O
_	_	_	O
변동	변동	NNG	O
이	이	JKS	O
_	_	_	O
생길	생기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 더스틴 니퍼트~마이클 보우덴~유희관~장원준까지 선발 4명은 꽉 찬 두산이다.
## <더스틴 니퍼트:PER>~<마이클 보우덴:PER>~<유희관:PER>~<장원준:PER>까지 선발 <4명:NOH>은 꽉 찬 <두산:ORG>이다.
더스틴	더스틴	NNP	B-PER
_	_	_	I-PER
니퍼트	니퍼트	NNP	I-PER
~	~	SO	O
마이클	마이클	NNP	B-PER
_	_	_	I-PER
보우	보우	NNG	I-PER
덴	덴	NNG	I-PER
~	~	SO	O
유희관	유희관	NNP	B-PER
~	~	SO	O
장원준	장원준	NNP	B-PER
까지	까지	JX	O
_	_	_	O
선발	선발	NNG	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
꽉	꽉	MAG	O
_	_	_	O
찬	차+ㄴ	VV+ETM	O
_	_	_	O
두산	두산	NNP	B-ORG
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 나는 ‘이번에 북한에 가지 못하면 앞으로 많이 후회할 것 같다’
## 나는 ‘이번에 <북한:LOC>에 가지 못하면 앞으로 많이 후회할 것 같다’
나	나	VV	O
는	는	ETM	O
_	_	_	O
