## 1
## 예를 들어 전기차의 생명인 배터리 부문의 세계적 기업 LG화학과 삼성SDI가 수혜를 보는 방식이다.
## 예를 들어 전기차의 생명인 배터리 부문의 세계적 기업 <LG화학:ORG>과 <삼성SDI:ORG>가 수혜를 보는 방식이다.
예	예	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
전기	전기	NNG	O
차	차	NNG	O
의	의	JKG	O
_	_	_	O
생명	생명	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
배터리	배터리	NNG	O
_	_	_	O
부문	부문	NNG	O
의	의	JKG	O
_	_	_	O
세계적	세계적	NNG	O
_	_	_	O
기업	기업	NNG	O
_	_	_	O
LG	LG	SL	B-ORG
화학	화학	NNG	I-ORG
과	과	JC	O
_	_	_	O
삼성	삼성	NNP	B-ORG
SDI	SDI	SL	I-ORG
가	가	JKS	O
_	_	_	O
수혜	수혜	NNP	O
를	를	JKO	O
_	_	_	O
보	보	VV	O
는	는	ETM	O
_	_	_	O
방식	방식	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## [인천/경기]인천공항 환승객 대상 ‘맞춤형 의료관광’ 뜬다
## [<인천:LOC>/<경기:LOC>]<인천공항:LOC> 환승객 대상 ‘맞춤형 의료관광’ 뜬다
[	[	SS	O
인천	인천	NNP	B-LOC
/	/	SP	O
경기	경기	NNG	B-LOC
]	]	SS	O
인천	인천	NNP	B-LOC
공항	공항	NNG	I-LOC
_	_	_	O
환승객	환승객	NNG	O
_	_	_	O
대상	대상	NNG	O
_	_	_	O
‘	‘	SS	O
맞춤	맞춤	NNG	O
형	형	XSN	O
_	_	_	O
의료	의료	NNG	O
관광	관광	NNG	O
’	’	SS	O
_	_	_	O
뜬다	뜨+ㄴ다	VV+EF	O

## 3
## 경찰대학 5기 출신인 조 대장은 지난 12일 대구 수성경찰서에서 근무하다가 자원해 울릉경비대장이 됐다.
## <경찰대학:ORG> <5기:NOH> 출신인 <조:PER> 대장은 <지난 12일:DAT> <대구 수성경찰서:ORG>에서 근무하다가 자원해 울릉경비대장이 됐다.
경찰	경찰	NNG	B-ORG
대학	대학	NNG	I-ORG
_	_	_	O
5	5	SN	B-NOH
기	기	NNG	I-NOH
_	_	_	O
출신	출신	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
조	조	NNG	B-PER
_	_	_	O
대장	대장	NNG	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	B-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
대구	대구	NNP	B-ORG
_	_	_	I-ORG
수성	수성	NNP	I-ORG
경찰서	경찰서	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
근무하	근무하	VV	O
다가	다가	EC	O
_	_	_	O
자원해	자원하+여	VV+EC	O
_	_	_	O
울릉	울릉	NNP	O
경비	경비	NNG	O
대장	대장	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 트럼프는 “롬니는 4년 전인 2012년 대선 때 내게 지지해달라고 애걸복걸했다”며 “4년 전에 나는 롬니에게 무릎을 꿇으라고 할 수 있었고 그는 무릎을 꿇을 수도 있었다”이라고 비아냥거렸다.
## <트럼프:PER>는 “<롬니:PER>는 <4년:NOH> 전인 <2012년:DAT> 대선 때 내게 지지해달라고 애걸복걸했다”며 “<4년:NOH> 전에 나는 <롬니:PER>에게 무릎을 꿇으라고 할 수 있었고 그는 무릎을 꿇을 수도 있었다”이라고 비아냥거렸다.
트럼프	트럼프	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
롬니	롬니	NNP	B-PER
는	는	JX	O
_	_	_	O
4	4	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
대선	대선	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
내게	나+에게	NP+JKB	O
_	_	_	O
지지해	지지하+여	VV+EC	O
달	달	VX	O
라고	라고	EC	O
_	_	_	O
애걸복걸	애걸복걸하	VV	O
했	였	EP	O
다	다	EF	O
