## 1
## 말로만 듣던 100세 시대가 코앞으로 다가온 것이다.
## 말로만 듣던 <100세:NOH> 시대가 코앞으로 다가온 것이다.
말	말	NNG	O
로	로	JKB	O
만	만	JX	O
_	_	_	O
듣	듣	VV	O
던	던	ETM	O
_	_	_	O
100	100	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
시대	시대	NNG	O
가	가	JKS	O
_	_	_	O
코앞	코앞	NNG	O
으로	으로	JKB	O
_	_	_	O
다가온	다가오+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘NoNoNo’, ‘Mr.Chu’로 2013년과 2014년 연간차트에서 상위권에 올라 걸그룹 음원성적 1위를 기록했다.
## ‘<NoNoNo:POH>’, ‘<Mr.Chu:POH>’로 <2013년:DAT>과 <2014년:DAT> 연간차트에서 상위권에 올라 걸그룹 음원성적 <1위:NOH>를 기록했다.
‘	‘	SS	O
NoNoNo	NoNoNo	SL	B-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
Mr	Mr	SL	B-POH
.	.	SF	I-POH
Chu	Chu	SL	I-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
과	과	JC	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
연간	연간	NNG	O
차트	차트	NNG	O
에서	에서	JKB	O
_	_	_	O
상위권	상위권	NNG	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
라	아	EC	O
_	_	_	O
걸그룹	걸그룹	NNG	O
_	_	_	O
음원	음원	NNG	O
성적	성적	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## “대전 소닉붐, 사전에 고지했으면 참 좋았을 텐데”, “대전 소닉붐, 소방본부도 당황했을 듯” 등의 반응을 보였다.
## “<대전 소닉붐:POH>, 사전에 고지했으면 참 좋았을 텐데”, “<대전 소닉붐:POH>, 소방본부도 당황했을 듯” 등의 반응을 보였다.
“	“	SS	O
대전	대전	NNP	B-POH
_	_	_	I-POH
소닉붐	소닉붐	NNG	I-POH
,	,	SP	O
_	_	_	O
사전	사전	NNG	O
에	에	JKB	O
_	_	_	O
고지	고지하	VV	O
했	였	EP	O
으면	으면	EC	O
_	_	_	O
참	참	MAG	O
_	_	_	O
좋	좋	VA	O
았	았	EP	O
을	을	ETM	O
_	_	_	O
텐데	터+이+ㄴ데	NNB+VCP+EF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
대전	대전	NNP	B-POH
_	_	_	I-POH
소닉붐	소닉붐	NNG	I-POH
,	,	SP	O
_	_	_	O
소방	소방	NNG	O
본부	본부	NNG	O
도	도	JX	O
_	_	_	O
당황	당황하	VV	O
했	었	EP	O
을	을	ETM	O
_	_	_	O
듯	듯	NNB	O
”	”	SS	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 최자 연인 설리, 외모 콤플렉스 고백…“짝눈이라 오해 받는다”힙합 그룹 다이나믹 듀오 멤버 최자가 27일 JTBC ‘투유 프로젝트-슈가맨’에 출연해 화제가 된 가운데, 그의 연인인 그룹 Fx 출신 설리의 과거 발언이 화제다.
## <최자:PER> 연인 <설리:PER>, 외모 콤플렉스 고백…“짝눈이라 오해 받는다”힙합 그룹 <다이나믹 듀오:ORG> 멤버 <최자:PER>가 <27일:DAT> <JTBC:POH> ‘<투유 프로젝트-슈가맨:POH>’에 출연해 화제가 된 가운데, 그의 연인인 그룹 <Fx:ORG> 출신 <설리:PER>의 과거 발언이 화제다.
최자	최자	NNP	B-PER
_	_	_	O
연인	연인	NNG	O
_	_	_	O
설리	설리	NNG	B-PER
,	,	SP	O
_	_	_	O
외모	외모	NNG	O
_	_	_	O
콤플렉스	콤플렉스	NNG	O
_	_	_	O
고백	고백	NNG	O
…	…	SE	O
“	“	SS	O
짝눈	짝눈이	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
오해	오해	NNG	O
_	_	_	O
받	받	VV	O
는다	는다	EF	O
”	”	SS	O
힙합	힙합	NNG	O
_	_	_	O
그룹	그룹	NNG	O
