## 1
## 트럼프의 실언? 시진핑 속내?… 한국에 대한 시각 드러내
## <트럼프:PER>의 실언? <시진핑:PER> 속내?… <한국:ORG>에 대한 시각 드러내
트럼프	트럼프	NNG	B-PER
의	의	JKG	O
_	_	_	O
실언	실언	NNG	O
?	?	SF	O
_	_	_	O
시진핑	시진핑	NNP	B-PER
_	_	_	O
속내	속내	NNG	O
?	?	SF	O
…	…	SE	O
_	_	_	O
한국	한국	NNP	B-ORG
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
시각	시각	NNG	O
_	_	_	O
드러내	드러내+어	VV+EC	O

## 2
## 이런 마당에 북핵을 머리에 이고 있는 한국이 국회법 문제를 놓고 아웅다웅한다는 것이 한가롭게 보이지 않는가.
## 이런 마당에 북핵을 머리에 이고 있는 <한국:ORG>이 국회법 문제를 놓고 아웅다웅한다는 것이 한가롭게 보이지 않는가.
이런	이런	MM	O
_	_	_	O
마당	마당	NNB	O
에	에	JKB	O
_	_	_	O
북	북	NNP	O
핵	핵	NNG	O
을	을	JKO	O
_	_	_	O
머리	머리	NNG	O
에	에	JKB	O
_	_	_	O
이	이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
국회법	국회법	NNG	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
놓	놓	VV	O
고	고	EC	O
_	_	_	O
아웅다웅	아웅다웅	MAG	O
한다는	하+ㄴ다는	XSV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
한가롭	한가롭	VA	O
게	게	EC	O
_	_	_	O
보이	보이	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는가	는가	EF	O
.	.	SF	O

## 3
## 집에서도 이나니와우동을 맛볼 수 있도록 면과 소스를 판매하고 있다.
## 집에서도 <이나니와우동:POH>을 맛볼 수 있도록 면과 소스를 판매하고 있다.
집	집	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
이나니	이나니	NNP	B-POH
와우동	와우동	NNP	I-POH
을	을	JKO	O
_	_	_	O
맛볼	맛보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
면	면	NNG	O
과	과	JC	O
_	_	_	O
소스	소스	NNG	O
를	를	JKO	O
_	_	_	O
판매하	판매하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 하루 10~15그릇의 ‘점심 한정 특선메뉴’를 판매한다.
## 하루 <10:NOH>~<15그릇:NOH>의 ‘점심 한정 특선메뉴’를 판매한다.
하루	하루	NNG	O
_	_	_	O
10	10	SN	B-NOH
~	~	SO	O
15	15	SN	B-NOH
그릇	그릇	NNG	I-NOH
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
점심	점심	NNG	O
_	_	_	O
한정	한정	NNG	O
_	_	_	O
특선	특선	NNG	O
메뉴	메뉴	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
판매한다	판매하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 대한산부인과의사회 “산부인과처럼 다 벌려? 성적 모욕감”…송민호 사과 심경은?대한산부인과의사회가 케이블채널 엠넷의 ‘쇼미더머니4’에 등장한 랩 가사에 유감을 표명하고 사과를 요구했다.
## <대한산부인과의사회:ORG> “산부인과처럼 다 벌려? 성적 모욕감”…<송민호:PER> 사과 심경은?<대한산부인과의사회:ORG>가 케이블채널 <엠넷:ORG>의 ‘<쇼미더머니4:POH>’에 등장한 랩 가사에 유감을 표명하고 사과를 요구했다.
대한	대한	NNP	B-ORG
산부인과의	산부인과의	NNG	I-ORG
사회	사회	NNG	I-ORG
_	_	_	O
“	“	SS	O
산부인과	산부인과	NNG	O
처럼	처럼	JKB	O
_	_	_	O
다	다	MAG	O
_	_	_	O
벌려	벌리+어	VV+EF	O
?	?	SF	O
_	_	_	O
성적	성적	NNG	O
_	_	_	O
모욕감	모욕감	NNG	O
”	”	SS	O
…	…	SE	O
송민호	송민호	NNP	B-PER
_	_	_	O
사과	사과	NNG	O
_	_	_	O
심경	심경	NNG	O
은	은	JX	O
?	?	SF	O
대한	대한	NNP	B-ORG
산부인과의	산부인과의	NNG	I-ORG
사회	사회	NNG	I-ORG
가	가	JKS	O
_	_	_	O
케이블	케이블	NNG	O
채널	채널	NNG	O
_	_	_	O
엠넷	엠넷	NNP	B-ORG
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
