## 1
## 낙동강 옆에 조성 중인 대구 달성군 구지면 국가산업단지. 10일 이곳에서 ‘국가 물 산업 클러스터’(KWC) 착공식이 열렸다.
## <낙동강:LOC> 옆에 조성 중인 <대구:LOC> <달성군:LOC> <구지면:LOC> <국가산업단지:LOC>. <10일:DAT> 이곳에서 ‘<국가 물 산업 클러스터:ORG>’(<KWC:ORG>) 착공식이 열렸다.
낙동강	낙동강	NNP	B-LOC
_	_	_	O
옆	옆	NNG	O
에	에	JKB	O
_	_	_	O
조성	조성	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
대구	대구	NNP	B-LOC
_	_	_	O
달성군	달성군	NNP	B-LOC
_	_	_	O
구지면	구지면	NNP	B-LOC
_	_	_	O
국가	국가	NNG	B-LOC
산업	산업	NNG	I-LOC
단지	단지	NNG	I-LOC
.	.	SF	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
이곳	이곳	NP	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
국가	국가	NNG	B-ORG
_	_	_	I-ORG
물	물	NNG	I-ORG
_	_	_	I-ORG
산업	산업	NNG	I-ORG
_	_	_	I-ORG
클러스터	클러스터	NNG	I-ORG
’	’	SS	O
(	(	SS	O
KWC	KWC	SL	B-ORG
)	)	SS	O
_	_	_	O
착공식	착공식	NNG	O
이	이	JKS	O
_	_	_	O
열	열리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그런 그녀의 두 번째 소설 ‘가서 파수꾼을 세워라(Go Set a Watchman·이하 파수꾼)’가 55년 만인 다음 달 14일 전 세계에서 동시 출간되면서 세계인의 관심이 뜨거워진 상태다.
## 그런 그녀의 <두 번째:NOH> 소설 ‘<가서 파수꾼을 세워라:POH>(<Go Set a Watchman:POH>·이하 <파수꾼:POH>)’가 <55년:NOH> 만인 다음 달 <14일:DAT> 전 세계에서 동시 출간되면서 세계인의 관심이 뜨거워진 상태다.
그런	그런	MM	O
_	_	_	O
그녀	그녀	NP	O
의	의	JKG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
번째	번째	NNB	I-NOH
_	_	_	O
소설	소설	NNG	O
_	_	_	O
‘	‘	SS	O
가서	가+아서	VV+EC	B-POH
_	_	_	I-POH
파수꾼	파수꾼	NNG	I-POH
을	을	JKO	I-POH
_	_	_	I-POH
세	세우	VV	I-POH
워라	어라	EF	I-POH
(	(	SS	O
Go	Go	SL	B-POH
_	_	_	I-POH
Set	Set	SL	I-POH
_	_	_	I-POH
a	a	SL	I-POH
_	_	_	I-POH
Watchman	Watchman	SL	I-POH
·	·	SP	O
이하	이하	NNG	O
_	_	_	O
파수꾼	파수꾼	NNG	B-POH
)	)	SS	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
55	55	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
만	만	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
달	달	NNG	O
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
에서	에서	JKB	O
_	_	_	O
동시	동시	NNG	O
_	_	_	O
출간되	출간되	VV	O
면서	면서	EC	O
_	_	_	O
세계인	세계인	NNG	O
의	의	JKG	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
뜨거워진	뜨거워지+ㄴ	VV+ETM	O
_	_	_	O
상태	상태+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 성인 국가대표 첫 경기였던 3월 대만전에서 2도움, 10월 북한전에서 1득점, 1도움을 기록했다.
## 성인 국가대표 <첫 경기:NOH>였던 <3월:DAT> <대만:ORG>전에서 <2도움:NOH>, <10월:DAT> <북한:ORG>전에서 <1득점:NOH>, <1도움:NOH>을 기록했다.
성인	성인	NNG	O
_	_	_	O
국가	국가	NNG	O
대표	대표	NNG	O
_	_	_	O
첫	첫	MM	B-NOH
_	_	_	I-NOH
경기	경기+이	NNG+VCP	I-NOH
였	었	EP	O
던	던	ETM	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
대만	대만	NNP	B-ORG
전	전	NNG	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
도움	도움	NNG	I-NOH
,	,	SP	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
북한	북한	NNP	B-ORG
전	전	XSN	O
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
득점	득점	NNG	I-NOH
,	,	SP	O
_	_	_	O
1	1	SN	B-NOH
도움	도움	NNG	I-NOH
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 16곡의 뮤지컬 넘버 하나하나가 까다롭지만 가장 역동적인 「프롤로그」와 「우리는 제트파」 2곡이 무척 힘들더군요.』
## <16곡:NOH>의 뮤지컬 넘버 <하나:NOH><하나:NOH>가 까다롭지만 가장 역동적인 「<프롤로그:POH>」와 「<우리는 제트파:POH>」 <2곡:NOH>이 무척 힘들더군요.』
16	16	SN	B-NOH
곡	곡	NNG	I-NOH
의	의	JKG	O
_	_	_	O
뮤지컬	뮤지컬	NNG	O
_	_	_	O
넘버	넘버	NNG	O
_	_	_	O
하나하나	하나하나	NNG	B-NOH
가	가	JKS	O
_	_	_	O
까다롭	까다롭	VA	O
지만	지만	EC	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
역동적	역동적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
「	「	SS	O
프롤로그	프롤로그	NNG	B-POH
」	」	SS	O
와	와	JC	O
_	_	_	O
「	「	SS	O
우리	우리	NP	B-POH
는	는	JX	I-POH
_	_	_	I-POH
제트	제트	NNG	I-POH
파	파	NNG	I-POH
」	」	SS	O
_	_	_	O
2	2	SN	B-NOH
곡	곡	NNG	I-NOH
이	이	JKS	O
_	_	_	O
무척	무척	MAG	O
_	_	_	O
힘들	힘들	VA	O
더군요	더군요	EF	O
.	.	SF	O
』	』	SS	O

## 5
## 이 연구위원은 “이 시스템으로 하수관로 손상으로 인한 지반 함몰에 대비할 수 있다”며 “각 지방자치단체에서 현장 조사를 진행한 결과를 모아 데이터베이스를 쌓으면 지반 함몰 위험도 평가의 정확도를 높일 수 있을 것으로 기대한다”고 말했다.
## <이:PER> 연구위원은 “이 시스템으로 하수관로 손상으로 인한 지반 함몰에 대비할 수 있다”며 “각 지방자치단체에서 현장 조사를 진행한 결과를 모아 데이터베이스를 쌓으면 지반 함몰 위험도 평가의 정확도를 높일 수 있을 것으로 기대한다”고 말했다.
이	이	MM	B-PER
_	_	_	O
연구	연구	NNG	O
위원	위원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
이	이	MM	O
_	_	_	O
시스템	시스템	NNG	O
으로	으로	JKB	O
_	_	_	O
하수관	하수관	NNG	O
로	로	XSN	O
_	_	_	O
손상	손상	NNG	O
으로	으로	JKB	O
_	_	_	O
인한	인하+ㄴ	VV+ETM	O
_	_	_	O
지반	지반	NNG	O
_	_	_	O
함몰	함몰	NNG	O
에	에	JKB	O
_	_	_	O
대비할	대비하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
각	각	MM	O
_	_	_	O
지방	지방	NNG	O
자치	자치	NNG	O
단체	단체	NNG	O
에서	에서	JKB	O
_	_	_	O
현장	현장	NNG	O
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
