## 1
## 제작사 측 변호를 맡은 법무법인 세종의 임상혁 변호사는 “일방적인 주장으로 흠집을 내려는 행위가 받아들여져선 안 된다”며 “불순한 의도를 가진 것으로 판단되면 추후 명예훼손 등 강력히 대응할 것”이라고 말했다.
## 제작사 측 변호를 맡은 법무법인 <세종:ORG>의 <임상혁:PER> 변호사는 “일방적인 주장으로 흠집을 내려는 행위가 받아들여져선 안 된다”며 “불순한 의도를 가진 것으로 판단되면 추후 명예훼손 등 강력히 대응할 것”이라고 말했다.
제작사	제작사	NNG	O
_	_	_	O
측	측	NNB	O
_	_	_	O
변호	변호	NNG	O
를	를	JKO	O
_	_	_	O
맡	맡	VV	O
은	은	ETM	O
_	_	_	O
법무	법무	NNG	O
법인	법인	NNG	O
_	_	_	O
세종	세종	NNP	B-ORG
의	의	JKG	O
_	_	_	O
임상혁	임상혁	NNP	B-PER
_	_	_	O
변호사	변호사	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
일방적	일방적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
주장	주장	NNG	O
으로	으로	JKB	O
_	_	_	O
흠집	흠집	NNG	O
을	을	JKO	O
_	_	_	O
내	내	VV	O
려는	려는	ETM	O
_	_	_	O
행위	행위	NNG	O
가	가	JKS	O
_	_	_	O
받아들	받아들이	VV	O
여	어	EC	O
져선	지+어서+ㄴ	VX+EC+JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
불순한	불순하+ㄴ	VA+ETM	O
_	_	_	O
의도	의도	NNG	O
를	를	JKO	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
판단되	판단되	VV	O
면	면	EC	O
_	_	_	O
추후	추후	NNG	O
_	_	_	O
명예	명예	NNG	O
훼손	훼손	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
강력히	강력히	MAG	O
_	_	_	O
대응할	대응하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 항일 투쟁 운동을 소재로 한 영화 ‘암살’은 지난달 22일 개봉해 이달 11일까지 932만9000여명의 관객을 동원했다.
## 항일 투쟁 운동을 소재로 한 영화 ‘<암살:POH>’은 지난달 <22일:DAT> 개봉해 이달 <11일:DAT>까지 <932만9000여명:NOH>의 관객을 동원했다.
항일	항일	NNG	O
_	_	_	O
투쟁	투쟁	NNG	O
_	_	_	O
운동	운동	NNG	O
을	을	JKO	O
_	_	_	O
소재	소재	NNG	O
로	로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
암살	암살	NNG	B-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
개봉해	개봉하+여	VV+EC	O
_	_	_	O
이달	이달	NNG	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
932	932	SN	B-NOH
만	만	NR	I-NOH
9000	9000	SN	I-NOH
여	여	XSN	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
관객	관객	NNG	O
을	을	JKO	O
_	_	_	O
동원	동원하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 최종림 씨는 1996년 만화가 허영만 씨를 상대로 만화 ‘아스팔트 사나이’가 자신의 소설 ‘사하라 일기’의 저작권을 침해하고 만화 속 주인공이 허락 없이 자신의 과거 인터뷰를 토대로 만들어져 인격권을 침해했다며 손해배상 소송을 제기해 2400만 원을 배상받은 과거가 있다.
## 한편 <최종림:PER> 씨는 <1996년:DAT> 만화가 <허영만:PER> 씨를 상대로 만화 ‘<아스팔트 사나이:POH>’가 자신의 소설 ‘<사하라 일기:POH>’의 저작권을 침해하고 만화 속 주인공이 허락 없이 자신의 과거 인터뷰를 토대로 만들어져 인격권을 침해했다며 손해배상 소송을 제기해 <2400만 원:MNY>을 배상받은 과거가 있다.
한편	한편	MAG	O
_	_	_	O
최종림	최종림	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
1996	1996	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
만화가	만화가	NNG	O
_	_	_	O
허영만	허영만	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
를	를	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
만화	만화	NNG	O
_	_	_	O
‘	‘	SS	O
아스팔트	아스팔트	NNG	B-POH
_	_	_	I-POH
사나이	사나이	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
소설	소설	NNG	O
_	_	_	O
‘	‘	SS	O
사하라	사하라	NNP	B-POH
_	_	_	I-POH
일기	일기	NNG	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
저작권	저작권	NNG	O
을	을	JKO	O
_	_	_	O
침해하	침해하	VV	O
고	고	EC	O
_	_	_	O
만화	만화	NNG	O
_	_	_	O
속	속	NNG	O
_	_	_	O
주인공	주인공	NNG	O
이	이	JKS	O
_	_	_	O
허락	허락	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
를	를	JKO	O
_	_	_	O
토대	토대	NNG	O
로	로	JKB	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
져	지+어	VX+EC	O
_	_	_	O
인격권	인격권	NNG	O
을	을	JKO	O
_	_	_	O
침해	침해하	VV	O
했	였	EP	O
다며	다며	EC	O
_	_	_	O
손해	손해	NNG	O
배상	배상	NNG	O
_	_	_	O
소송	소송	NNG	O
을	을	JKO	O
_	_	_	O
제기해	제기하+여	VV+EC	O
_	_	_	O
2400	2400	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
