## 1
## 최순실(60·최서원으로 개명)씨의 딸 정유라(20)씨에 대한 특혜 의혹을 겨냥해 “나, 어제도 밤샜다”로 시작한 이 대자보는 “학점은 낮아도 너보다 당당하다” “내 벗들과 맞설 수 있어 기쁘고 자랑스럽다” 등의 표현으로 공감을 샀다.
## <최순실:PER>(<60:NOH>·<최서원:PER>으로 개명)씨의 딸 <정유라:PER>(<20:NOH>)씨에 대한 특혜 의혹을 겨냥해 “나, 어제도 밤샜다”로 시작한 이 대자보는 “학점은 낮아도 너보다 당당하다” “내 벗들과 맞설 수 있어 기쁘고 자랑스럽다” 등의 표현으로 공감을 샀다.
최순실	최순실	NNP	B-PER
(	(	SS	O
60	60	SN	B-NOH
·	·	SP	O
최서원	최서원	NNP	B-PER
으로	으로	JKB	O
_	_	_	O
개명	개명	NNG	O
)	)	SS	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
딸	딸	NNG	O
_	_	_	O
정유라	정유라	NNP	B-PER
(	(	SS	O
20	20	SN	B-NOH
)	)	SS	O
씨	씨	NNB	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
특혜	특혜	NNG	O
_	_	_	O
의혹	의혹	NNG	O
을	을	JKO	O
_	_	_	O
겨냥해	겨냥하+여	VV+EC	O
_	_	_	O
“	“	SS	O
나	나	NP	O
,	,	SP	O
_	_	_	O
어제	어제	NNG	O
도	도	JX	O
_	_	_	O
밤	밤	NNG	O
샜	새+었	VV+EP	O
다	다	EF	O
”	”	SS	O
로	로	JKB	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
대자보	대자보	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
학점	학점	NNG	O
은	은	JX	O
_	_	_	O
낮	낮	VA	O
아도	아도	EC	O
_	_	_	O
너	너	NP	O
보다	보다	JKB	O
_	_	_	O
당당하	당당하	VA	O
다	다	EF	O
”	”	SS	O
_	_	_	O
“	“	SS	O
내	나+의	NP+JKG	O
_	_	_	O
벗	벗	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
맞설	맞서+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
기쁘	기쁘	VA	O
고	고	EC	O
_	_	_	O
자랑스럽	자랑스럽	VA	O
다	다	EF	O
”	”	SS	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
표현	표현	NNG	O
으로	으로	JKB	O
_	_	_	O
공감	공감	NNG	O
을	을	JKO	O
_	_	_	O
샀	사+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 《네팔을 제2의 고향이라고 여기는 산악인들과 기업들이 잇달아 발생한 지진으로 큰 피해를 본 네팔 돕기에 나섰다.
## 《<네팔:ORG>을 <제2:NOH>의 고향이라고 여기는 산악인들과 기업들이 잇달아 발생한 지진으로 큰 피해를 본 <네팔:ORG> 돕기에 나섰다.
《	《	SS	O
네팔	네팔	NNP	B-ORG
을	을	JKO	O
_	_	_	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
의	의	JKG	O
_	_	_	O
고향	고향	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
여기	여기	VV	O
는	는	ETM	O
_	_	_	O
산악인	산악인	NNG	O
들	들	XSN	O
과	과	JC	O
_	_	_	O
기업	기업	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
잇달	잇달	VV	O
아	아	EC	O
_	_	_	O
발생한	발생하+ㄴ	VV+ETM	O
_	_	_	O
지진	지진	NNG	O
으로	으로	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
피해	피해	NNG	O
를	를	JKO	O
_	_	_	O
본	보+ㄴ	VV+ETM	O
_	_	_	O
네팔	네팔	NNP	B-ORG
_	_	_	O
