## 1
## 명종은 임금에게 충성하며 문신과 무신의 균형을 통해 국가의 질서를 바로잡으려던 무신정권의 세 번째 집권자 경대승도 외면했다.
## <명종:PER>은 임금에게 충성하며 문신과 무신의 균형을 통해 국가의 질서를 바로잡으려던 무신정권의 세 번째 집권자 <경대승:PER>도 외면했다.
명종	명종	NNP	B-PER
은	은	JX	O
_	_	_	O
임금	임금	NNG	O
에게	에게	JKB	O
_	_	_	O
충성하	충성하	VV	O
며	며	EC	O
_	_	_	O
문신	문신	NNG	O
과	과	JC	O
_	_	_	O
무신	무신	NNG	O
의	의	JKG	O
_	_	_	O
균형	균형	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
국가	국가	NNG	O
의	의	JKG	O
_	_	_	O
질서	질서	NNG	O
를	를	JKO	O
_	_	_	O
바로잡	바로잡	VV	O
으려던	으려던	ETM	O
_	_	_	O
무신	무신	NNG	O
정권	정권	NNG	O
의	의	JKG	O
_	_	_	O
세	세	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
집권자	집권자	NNG	O
_	_	_	O
경대승	경대승	NNP	B-PER
도	도	JX	O
_	_	_	O
외면	외면하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이달 말까지 열리는 금원산 얼음축제에 가면 얼음 조각 원숭이를 볼 수 있다.
## 이달 말까지 열리는 <금원산 얼음축제:POH>에 가면 얼음 조각 원숭이를 볼 수 있다.
이달	이달	NNG	O
_	_	_	O
말	말	NNB	O
까지	까지	JX	O
_	_	_	O
열리	열리	VV	O
는	는	ETM	O
_	_	_	O
금원산	금원산	NNP	B-POH
_	_	_	I-POH
얼음	얼음	NNG	I-POH
축제	축제	NNG	I-POH
에	에	JKB	O
_	_	_	O
가	가	VV	O
면	면	EC	O
_	_	_	O
얼음	얼음	NNG	O
_	_	_	O
조각	조각	NNG	O
_	_	_	O
원숭이	원숭이	NNG	O
를	를	JKO	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 끊임없는 혁명에 동참하도록 마오쩌둥 주석이 강한 드라이브를 걸었다.
## 끊임없는 혁명에 동참하도록 <마오쩌둥:PER> 주석이 강한 드라이브를 걸었다.
끊임없	끊임없	VA	O
는	는	ETM	O
_	_	_	O
혁명	혁명	NNG	O
에	에	JKB	O
_	_	_	O
동참하	동참하	VV	O
도록	도록	EC	O
_	_	_	O
마오쩌둥	마오쩌둥	NNP	B-PER
_	_	_	O
주석	주석	NNG	O
이	이	JKS	O
_	_	_	O
강한	강하+ㄴ	VA+ETM	O
_	_	_	O
드라이브	드라이브	NNG	O
를	를	JKO	O
_	_	_	O
걸	걸	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
