## 1
## 마지막 7km를 남긴 지점이 승부처가 될 것으로 예상된다.
## 마지막 <7km:NOH>를 남긴 지점이 승부처가 될 것으로 예상된다.
마지막	마지막	NNG	O
_	_	_	O
7	7	SN	B-NOH
km	km	SL	I-NOH
를	를	JKO	O
_	_	_	O
남긴	남기+ㄴ	VV+ETM	O
_	_	_	O
지점	지점	NNG	O
이	이	JKS	O
_	_	_	O
승부처	승부처	NNG	O
가	가	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예상된다	예상되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## KT도 오전 9시 예약 판매를 시작한 지 15분이 채 되지 않아 5만 대 사전 예약이 끝났다.
## <KT:ORG>도 <오전 9시:TIM> 예약 판매를 시작한 지 <15분:DUR>이 채 되지 않아 <5만 대:NOH> 사전 예약이 끝났다.
KT	KT	SL	B-ORG
도	도	JX	O
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
9	9	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	O
예약	예약	NNG	O
_	_	_	O
판매	판매	NNG	O
를	를	JKO	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
15	15	SN	B-DUR
분	분	NNB	I-DUR
이	이	JKC	O
_	_	_	O
채	채	MAG	O
_	_	_	O
되	되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
5	5	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
대	대	NNG	I-NOH
_	_	_	O
사전	사전	NNG	O
_	_	_	O
예약	예약	NNG	O
이	이	JKS	O
_	_	_	O
끝났	끝나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘인공지능의 미래’의 저자인 캐플런 교수는 한국이 4차 산업혁명 선도 국가로 도약하기 위한 전략을 제시한다.
## ‘<인공지능의 미래:POH>’의 저자인 <캐플런:PER> 교수는 <한국:ORG>이 <4차 산업혁명:POH> 선도 국가로 도약하기 위한 전략을 제시한다.
‘	‘	SS	O
인공	인공	NNG	B-POH
지능	지능	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
미래	미래	NNG	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
저자	저자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
캐플런	캐플런	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
4	4	SN	B-POH
차	차	NNB	I-POH
_	_	_	I-POH
산업혁명	산업혁명	NNG	I-POH
_	_	_	O
선도	선도	NNG	O
_	_	_	O
국가	국가	NNG	O
로	로	JKB	O
_	_	_	O
도약하	도약하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
전략	전략	NNG	O
을	을	JKO	O
_	_	_	O
제시한다	제시하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 야간에 이동한 뒤 발사하면 천하무적의 미국 항공모함 전단도 불시에 기습 공격을 받을 수 있다.
## 야간에 이동한 뒤 발사하면 천하무적의 <미국:ORG> 항공모함 전단도 불시에 기습 공격을 받을 수 있다.
야간	야간	NNG	O
에	에	JKB	O
_	_	_	O
이동한	이동하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
발사하	발사하	VV	O
면	면	EC	O
_	_	_	O
천하무적	천하무적	NNG	O
의	의	JKG	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
항공모함	항공모함	NNG	O
_	_	_	O
전단	전단	NNG	O
도	도	JX	O
_	_	_	O
불시	불시	NNG	O
에	에	JKB	O
_	_	_	O
기습	기습	NNG	O
_	_	_	O
공격	공격	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 벌칸 API의 경우 안드로이드 기기가 성능이 우수함에도 3D 게임 등에서 조금은 아쉬운 모습을 보여준 것을 대폭 개선할 수 있는 기술인 만큼 콘솔급의 게임을 모바일 기기에서 즐기는 시대의 막을 열어줄 기술로 기대를 모으고 있다.
